chr_name	start	end	band_color
hs1	0	2300000	gneg
hs1	2300000	5400000	gpos25
hs1	5400000	7200000	gneg
hs1	7200000	9200000	gpos25
hs1	9200000	12700000	gneg
hs1	12700000	16200000	gpos50
hs1	16200000	20400000	gneg
hs1	20400000	23900000	gpos25
hs1	23900000	28000000	gneg
hs1	28000000	30200000	gpos25
hs1	30200000	32400000	gneg
hs1	32400000	34600000	gpos25
hs1	34600000	40100000	gneg
hs1	40100000	44100000	gpos25
hs1	44100000	46800000	gneg
hs1	46800000	50700000	gpos75
hs1	50700000	56100000	gneg
hs1	56100000	59000000	gpos50
hs1	59000000	61300000	gneg
hs1	61300000	68900000	gpos50
hs1	68900000	69700000	gneg
hs1	69700000	84900000	gpos100
hs1	84900000	88400000	gneg
hs1	88400000	92000000	gpos75
hs1	92000000	94700000	gneg
hs1	94700000	99700000	gpos75
hs1	99700000	102200000	gneg
hs1	102200000	107200000	gpos100
hs1	107200000	111800000	gneg
hs1	111800000	116100000	gpos50
hs1	116100000	117800000	gneg
hs1	117800000	120600000	gpos50
hs1	120600000	121500000	gneg
hs1	121500000	125000000	acen
hs1	125000000	128900000	acen
hs1	128900000	142600000	gvar
hs1	142600000	147000000	gneg
hs1	147000000	150300000	gpos50
hs1	150300000	155000000	gneg
hs1	155000000	156500000	gpos50
hs1	156500000	159100000	gneg
hs1	159100000	160500000	gpos50
hs1	160500000	165500000	gneg
hs1	165500000	167200000	gpos50
hs1	167200000	170900000	gneg
hs1	170900000	172900000	gpos75
hs1	172900000	176000000	gneg
hs1	176000000	180300000	gpos50
hs1	180300000	185800000	gneg
hs1	185800000	190800000	gpos100
hs1	190800000	193800000	gneg
hs1	193800000	198700000	gpos100
hs1	198700000	207200000	gneg
hs1	207200000	211500000	gpos25
hs1	211500000	214500000	gneg
hs1	214500000	224100000	gpos100
hs1	224100000	224600000	gneg
hs1	224600000	227000000	gpos25
hs1	227000000	230700000	gneg
hs1	230700000	234700000	gpos50
hs1	234700000	236600000	gneg
hs1	236600000	243700000	gpos75
hs1	243700000	249250621	gneg
hs2	0	4400000	gneg
hs2	4400000	7100000	gpos50
hs2	7100000	12200000	gneg
hs2	12200000	16700000	gpos75
hs2	16700000	19200000	gneg
hs2	19200000	24000000	gpos75
hs2	24000000	27900000	gneg
hs2	27900000	30000000	gpos25
hs2	30000000	32100000	gneg
hs2	32100000	36600000	gpos75
