chr_name	start	end	val	color
chr1	45000000	54999999	0.064102783	red
chr1	55000000	59999999	1.252963426	red
chr1	60000000	69999999	0.32259385	red
chr1	70000000	74999999	0.113639049	red
chr1	75000000	79999999	0.17798866	red
chr1	80000000	84999999	0.296138394	red
chr1	85000000	94999999	1.764183505	red
chr1	95000000	99999999	0.866575263	red
chr1	100000000	104999999	2.293544145	red
chr1	105000000	109999999	3.882317703	red
chr1	110000000	114999999	0.192300437	red
chr1	115000000	139999999	0.834416126	red
chr1	140000000	149999999	0.014943483	red
chr1	150000000	154999999	1.097097097	red
chr1	155000000	159999999	0.409186189	red
chr1	160000000	164999999	0.007338771	red
chr1	165000000	169999999	0.277805592	red
chr1	170000000	174999999	0.93963931	red
chr1	175000000	179999999	0.24534296	red
chr1	180000000	184999999	0.15035221	red
chr1	185000000	189999999	0.308806569	red
chr1	190000000	194999999	0.230403787	red
chr1	195000000	204999999	2.229393167	red
chr1	205000000	214999999	0.176666831	red
chr2	0	14999999	0.04047232	red
chr2	15000000	19999999	1.338952826	red
chr2	20000000	49999999	0.545437716	red
chr2	50000000	54999999	0.415420838	red
chr2	55000000	64999999	0.520442677	red
chr2	65000000	74999999	0.393448489	red
chr2	75000000	79999999	1.942958027	red
chr2	80000000	114999999	0.121637167	red
chr2	115000000	134999999	0.301375875	red
chr2	135000000	139999999	0.411790215	red
chr2	140000000	144999999	0.525217433	red
chr2	145000000	149999999	3.133639888	red
chr2	150000000	154999999	0.093600965	red
chr2	155000000	159999999	0.314387011	red
chr2	160000000	164999999	2.495588308	red
chr2	165000000	174999999	0.980845619	red
chr2	175000000	179999999	2.930342753	red
chr2	180000000	184999999	0.105082995	red
chr2	185000000	189999999	0.631391858	red
chr2	190000000	194999999	3.024415756	red
chr2	195000000	204999999	0.659232025	red
chr2	205000000	209999999	1.882294071	red
chr2	210000000	214999999	0.565937069	red
chr2	215000000	219999999	2.107743735	red
chr2	220000000	239999999	1.200037144	red
chr3	0	14999999	0.138762722	red
chr3	15000000	39999999	0.57530572	red
chr3	40000000	44999999	0.06259114	red
chr3	45000000	49999999	0.333264777	red
chr3	50000000	59999999	1.373304612	red
chr3	60000000	64999999	0.056480756	red
chr3	65000000	69999999	1.100118046	red
chr3	70000000	74999999	0.282355312	red
chr3	75000000	79999999	0.012180733	red
chr3	80000000	84999999	0.330066321	red
chr3	85000000	89999999	0.396529855	red
chr3	90000000	94999999	0.399407208	red
chr3	95000000	99999999	0.445262699	red
chr3	100000000	104999999	0.194207874	red
chr3	105000000	109999999	1.063896264	red
chr3	110000000	114999999	0.188430346	red
chr3	115000000	119999999	0.410331835	red
chr3	120000000	129999999	0.134033699	red
chr3	130000000	134999999	0.518222619	red
chr3	135000000	139999999	2.961188636	red
chr3	140000000	144999999	2.324702591	red
chr3	145000000	154999999	0.260720455	red
chr3	155000000	159999999	0.364181967	red
chr3	160000000	164999999	2.850964675	red
chr4	5000000	9999999	0.416476791	red
chr4	10000000	14999999	0.225838909	red
chr4	15000000	19999999	0.150678159	red
chr4	20000000	29999999	1.49030108	red
chr4	30000000	44999999	0.574591912	red
chr4	45000000	49999999	0.843730297	red
chr4	50000000	54999999	1.001787115	red
chr4	55000000	59999999	1.061254911	red
chr4	60000000	64999999	1.094700142	red
chr4	65000000	69999999	0.169322413	red
chr4	70000000	94999999	1.801717885	red
chr4	95000000	99999999	1.081713677	red
chr4	100000000	104999999	0.599904756	red
chr4	105000000	109999999	0.116840449	red
chr4	110000000	114999999	0.385036113	red
chr4	115000000	119999999	0.718012488	red
chr4	120000000	124999999	1.390339935	red
chr4	125000000	129999999	0.423694065	red
chr4	130000000	134999999	6.499124309	red
chr4	135000000	154999999	1.667749606	red
chr4	155000000	164999999	1.749266704	red
chr4	165000000	169999999	0.456483179	red
chr4	170000000	174999999	0.292160103	red
chr4	175000000	179999999	0.059390633	red
chr4	180000000	189999999	0.330989452	red
chr5	0	19999999	1.668355486	red
chr5	20000000	24999999	0.778967918	red
chr5	25000000	34999999	1.988649031	red
chr5	35000000	39999999	1.917876766	red
chr5	40000000	44999999	0.526131497	red
chr5	45000000	49999999	0.454779004	red
chr5	50000000	54999999	0.018414247	red
chr5	55000000	59999999	0.35577776	red
chr5	60000000	64999999	1.207937545	red
chr5	65000000	79999999	0.755933598	red
chr5	80000000	84999999	0.241512971	red
chr5	85000000	89999999	0.006473066	red
chr5	90000000	94999999	0.297789382	red
chr5	95000000	99999999	2.104731504	red
chr5	100000000	104999999	2.441319549	red
chr5	105000000	109999999	0.293686942	red
chr5	110000000	114999999	0.069689477	red
chr5	115000000	119999999	0.006728318	red
chr5	120000000	124999999	1.610778202	red
chr5	125000000	139999999	1.125514976	red
chr5	140000000	159999999	0.858633363	red
chr5	160000000	164999999	0.352244355	red
chr6	5000000	24999999	0.756864022	red
chr6	25000000	29999999	3.254501145	red
chr6	30000000	44999999	3.028996708	red
chr6	45000000	49999999	0.407908597	red
chr6	50000000	54999999	0.99646813	red
