chr_name	start	end	val
chr1	0	4999999	-0.455033
chr1	5000000	9999999	-0.465549
chr1	10000000	14999999	-0.359985
chr1	15000000	19999999	-0.34386
chr1	20000000	24999999	-0.363782
chr1	25000000	29999999	-0.400896
chr1	30000000	34999999	-0.154363
chr1	35000000	39999999	-0.122774
chr1	40000000	44999999	-0.046821
chr1	50000000	54999999	-0.113029
chr1	65000000	69999999	-0.00657
chr1	90000000	94999999	-0.031386
chr1	120000000	124999999	-0.02436
chr1	145000000	149999999	-0.231238
chr1	200000000	204999999	-0.266508
chr1	210000000	214999999	-0.033249
chr1	220000000	224999999	-0.248996
chr1	225000000	229999999	-0.229485
chr1	230000000	234999999	-0.172159
chr1	235000000	239999999	-0.059945
chr1	240000000	244999999	-0.173164
chr1	245000000	249999999	-0.216653
chr2	5000000	9999999	-0.095444
chr2	10000000	14999999	-0.02081
chr2	25000000	29999999	-0.129111
chr2	30000000	34999999	-0.061344
chr2	35000000	39999999	-0.021796
chr2	40000000	44999999	-0.02831
chr2	45000000	49999999	-0.013114
chr2	60000000	64999999	-0.05537
chr2	70000000	74999999	-0.063127
chr2	85000000	89999999	-0.175387
chr2	90000000	94999999	-0.150323
chr2	95000000	99999999	-0.077111
chr2	100000000	104999999	-0.037582
chr2	105000000	109999999	-0.134865
chr2	110000000	114999999	-0.062095
chr2	120000000	124999999	-0.04383
chr2	125000000	129999999	-0.128402
chr2	130000000	134999999	-0.040468
chr2	170000000	174999999	-0.020563
chr2	200000000	204999999	-0.133047
chr2	225000000	229999999	-0.005616
chr2	230000000	234999999	-0.217513
chr2	235000000	239999999	-0.261351
chr3	5000000	9999999	-0.054912
chr3	10000000	14999999	-0.217959
chr3	20000000	24999999	-0.039959
chr3	25000000	29999999	-0.023381
chr3	30000000	34999999	-0.029102
chr3	35000000	39999999	-0.00048
chr3	55000000	59999999	-0.0291
chr3	125000000	129999999	-0.182221
chr3	150000000	154999999	-0.01933
chr3	170000000	174999999	-0.046508
chr3	175000000	179999999	-0.011072
chr3	180000000	184999999	-0.047349
chr3	185000000	189999999	-0.158422
chr3	190000000	194999999	-0.007016
chr3	195000000	199999999	-0.465566
chr4	0	4999999	-0.391678
chr4	25000000	29999999	-0.002378
chr4	35000000	39999999	-0.141253
