chr1_name	chr1_start	chr1_end	chr_name	chr2_start	chr2_end
hs1	82251	125233	hs1	222162622	222206156
hs1	317362	320898	hs4	120543675	120547130
hs1	321853	342609	hs2	242710710	242731833
hs1	329868	332219	hs1	226217483	226219853
hs1	412298	426539	hsY	25878228	25892367
hs1	658236	661619	hs7	64937420	64940825
hs1	792972	794789	hs3	199387298	199389098
hs1	793230	794706	hs2	3455	5234
hs1	8876145	8877253	hs7	121383544	121384619
hs1	12970109	12975585	hs1	13520971	13526470
hs1	26836957	26841332	hs1	26845233	26849746
hs1	27405913	27407804	hs11	74467638	74468917
hs1	44341301	44342964	hsX	151398769	151400407
hs1	58286113	58287613	hs16	50237168	50238518
hs1	81664694	81665901	hs3	75346355	75347489
hs1	83420445	83728015	hs7	76118638	76413515
hs1	102118344	102120211	hs12	31324785	31326651
hs1	104661053	104663525	hs12	40760686	40763445
hs1	120183041	120189220	hs1	146708116	146713980
hs1	142612526	142617577	hs1	147721217	147726269
hs1	143245633	143278674	hs2	5682196	5714899
hs1	144743482	144751017	hs1	146616450	146623990
hs1	144989180	144992445	hs8	100312675	100315863
hs1	146020797	146034766	hs1	147315755	147336197
hs1	146177098	146178861	hs1	146616514	146618049
hs1	146927829	146935872	hs2	91610247	91618297
hs1	147089709	147097439	hs9	69092189	69099922
hs1	147097780	147109954	hs10	41972741	41981250
hs1	147271085	147283019	hs7	53191310	53201227
hs1	147271085	147279177	hs7	64593143	64601168
hs1	149143110	149144136	hsY	15561993	15563024
hs1	150474940	150476336	hs2	162665984	162667406
hs1	174914203	174916063	hs13	53377210	53379067
hs1	192424656	192426322	hs7	22516529	22518207
hs1	195371718	195374683	hs4	119781277	119784262
hs1	195371718	195374683	hs4	119781277	119784262
hs1	220712421	220737477	hs7	51423084	51445943
hs1	222180910	222200461	hs8	121955	140991
hs1	233770760	233772309	hs2	203189954	203191839
hs1	235049483	235050521	hs8	81633583	81634625
hs1	239149552	239150874	hsX	118238749	118240065
hs1	240478005	240479830	hs10	38715981	38717801
hs1	241254752	241274803	hs4	165400198	165420269
hs1	245459800	245461988	hsX	120164433	120166614
hs1	247187142	247199719	hs22	49571730	49586448
hs2	17429827	17431329	hs12	18736952	18738464
hs2	24315334	24318483	hs15	88640052	88643275
hs2	33715275	33716371	hs8	83366081	83367174
hs2	41237201	41238537	hs3	39351433	39352770
hs2	62226955	62227970	hs15	50965023	50966037
hs2	70883699	70884890	hs5	75572775	75573974
hs2	71091345	71092687	hs4	3877859	3879176
hs2	87022648	87090408	hs2	109909065	109981614
hs2	88097435	88103457	hs9	65849607	65855362
hs2	89175113	89181484	hs2	89192495	89198967
hs2	90979741	90991904	hs16	32988488	33000857
hs2	91000158	91002664	hs17	22815063	22817554
hs2	91334097	91350614	hs13	17975598	17999194
hs2	91595510	91612088	hs7	64204427	64220865
hs2	91626801	91631356	hs16	34033337	34038127
hs2	97177063	97181675	hs16	33441886	33445891
hs2	108670650	108674385	hs2	109905324	109909066
hs2	110727023	110827232	hs2	111008549	111108661
hs2	113895509	113974876	hs9	69667081	69746355
hs2	127030482	127031521	hs11	3948362	3949895
hs2	131650661	131653883	hs17	33564036	33565162
hs2	132062742	132110327	hs14	18620043	18667548
hs2	132189127	132190554	hs13	34468690	34470138
hs2	132512795	132523115	hs7	57933060	57943250
hs2	159423009	159442265	hs4	3859032	3879153
hs2	171165913	171167087	hs20	55496403	55497592
hs2	178123723	178126432	hs2	178189661	178192420
hs2	189884164	189885550	hsY	5501142	5502539
hs2	208327703	208329143	hs6	15954227	15955700
hs2	218333027	218334279	hs16	30455236	30457074
hs2	218773299	218774823	hs20	55496392	55497592
hs2	242710713	242743952	hs4	119779142	119812010
hs3	37293083	37294647	hs8	55041669	55043227
hs3	39351473	39352765	hs17	2156806	2158091
hs3	40268652	40270262	hs17	19443314	19445553
hs3	41797968	41800029	hs15	20250410	20252477
