chr_name	start	end	CNV
chr6	87000001	88000000	1.000026405
chr3	216000001	217000000	1.000035545
chr3	210000001	211000000	1.000046017
chr6	166000001	167000000	1.000112322
chr2	86000001	87000000	1.000463736
chr2	91000001	92000000	1.000807579
chr10	115000001	116000000	1.0009732435
chr4	86000001	87000000	1.0010095995
chr4	188000001	189000000	1.001147942
chr1	100000001	101000000	1.001152202
chr5	96000001	97000000	1.0013678115
chr6	47000001	48000000	1.0014403075
chr2	146000001	147000000	1.0015557975
chr3	145000001	146000000	1.0017934595
chr4	128000001	129000000	1.0018912975
chr3	18000001	19000000	1.0020694685
chr5	147000001	148000000	1.0021076775
chr4	84000001	85000000	1.0021539455
chr4	144000001	145000000	1.002382773
chr4	29000001	30000000	1.002446766
chr5	35000001	36000000	1.0025528365
chr2	112000001	113000000	1.0026929975
chr9	157000001	158000000	1.002720694
chr1	112000001	113000000	1.002893888
chr6	101000001	102000000	1.0029882065
chr6	155000001	156000000	1.0030266845
chr4	231000001	232000000	1.0030763695
chr8	37000001	38000000	1.003637355
chr6	66000001	67000000	1.0037849455
chr4	52000001	53000000	1.003843041
chr6	139000001	140000000	1.0039803885
chr4	166000001	167000000	1.004133184
chr10	54000001	55000000	1.004184894
chr4	133000001	134000000	1.0043565765
chr8	34000001	35000000	1.004414379
chr10	50000001	51000000	1.0044558535
chr4	199000001	200000000	1.0045890965
chr3	213000001	214000000	1.004821965
chr5	138000001	139000000	1.0049009505
chr10	146000001	147000000	1.005016266
chr2	33000001	34000000	1.00524263
chr7	21000001	22000000	1.0052483205
chr4	236000001	237000000	1.005282032
chr4	79000001	80000000	1.005370452
chr2	181000001	182000000	1.005386621
chr4	192000001	193000000	1.005644117
chr6	61000001	62000000	1.0058802035
chr4	196000001	197000000	1.0059821365
chr4	68000001	69000000	1.0060242785
chr6	167000001	168000000	1.0061868275
chr1	86000001	87000000	1.006261746
chr5	99000001	100000000	1.0064637175
chr4	174000001	175000000	1.0066596475
chr5	49000001	50000000	1.0067826385
chr2	232000001	233000000	1.006820201
chr2	164000001	165000000	1.0070405665
chr7	173000001	174000000	1.0070985795
chr7	40000001	41000000	1.0071600585
chr4	145000001	146000000	1.007185902
chr5	91000001	92000000	1.0072258545
chr4	136000001	137000000	1.007233773
chr4	183000001	184000000	1.007384359
chr9	113000001	114000000	1.007416895
chr1	136000001	137000000	1.0075077795
chr5	94000001	95000000	1.007509966
chr9	47000001	48000000	1.007529209
chr3	226000001	227000000	1.0076662475
chr7	60000001	61000000	1.007724169
chr1	92000001	93000000	1.007901977
chr6	52000001	53000000	1.007952371
chr4	10000001	11000000	1.008053235
chr1	195000001	196000000	1.0081739945
chr3	134000001	135000000	1.008322068
chr1	186000001	187000000	1.0084345995
chr6	113000001	114000000	1.008611822
chr10	8000001	9000000	1.008697072
chr9	14000001	15000000	1.0087600735
chr6	64000001	65000000	1.0087873195
chr4	151000001	152000000	1.008840488
chr10	96000001	97000000	1.0089321415
chr6	33000001	34000000	1.009126825
chr6	28000001	29000000	1.009266736
chr6	65000001	66000000	1.009316967
chr6	134000001	135000000	1.0093703565
chr2	224000001	225000000	1.0094125225
chr9	150000001	151000000	1.009511492
chr3	120000001	121000000	1.009587605
chr4	187000001	188000000	1.0096975115
chr9	140000001	141000000	1.010059641
chr4	63000001	64000000	1.0101644365
chr1	103000001	104000000	1.010535549
chr8	102000001	103000000	1.010657777
chr6	82000001	83000000	1.011161691
chr3	1000001	2000000	1.0113010945
chr5	160000001	161000000	1.0113715085
chr9	130000001	131000000	1.011497736
chr9	100000001	101000000	1.0115154005
chr5	211000001	212000000	1.011542522
chr4	39000001	40000000	1.01160627
chr2	26000001	27000000	1.0116386205
chr2	178000001	179000000	1.0117581285
chr7	82000001	83000000	1.0117682995
chr5	190000001	191000000	1.0118095285
chr4	70000001	71000000	1.0118706315
chr4	211000001	212000000	1.0119458525
chr1	1000001	2000000	1.011992175
chr4	193000001	194000000	1.012075251
chr2	40000001	41000000	1.012111329
chr5	141000001	142000000	1.0121246655
chr4	216000001	217000000	1.0121328685
chr2	215000001	216000000	1.0121584725
chr5	152000001	153000000	1.0126405195
chr1	193000001	194000000	1.012668564
chr3	149000001	150000000	1.012821051
chr6	27000001	28000000	1.012821963
chr7	96000001	97000000	1.012913866
chr6	147000001	148000000	1.0129305275
chr2	41000001	42000000	1.0129404055
chr10	6000001	7000000	1.0129479185
chr3	125000001	126000000	1.013071982
chr5	81000001	82000000	1.0131756885
chr5	210000001	211000000	1.013204279
chr3	209000001	210000000	1.0132842575
chr9	17000001	18000000	1.0133589805
chr8	9000001	10000000	1.01339854
chr3	92000001	93000000	1.013688759
chr3	44000001	45000000	1.0137101415
chr8	127000001	128000000	1.0138579965
chr1	132000001	133000000	1.014005336
chr3	76000001	77000000	1.014144121
chr9	126000001	127000000	1.01438481
chr1	91000001	92000000	1.0145390035
chr10	141000001	142000000	1.0145878205
chr4	135000001	136000000	1.014593053
chr5	218000001	219000000	1.0146575855
chr2	126000001	127000000	1.014925149
chr1	218000001	219000000	1.0150075445
chr2	87000001	88000000	1.0151466145
chr7	135000001	136000000	1.015246642
chr7	174000001	175000000	1.01544059
chr10	49000001	50000000	1.016235127
chr6	106000001	107000000	1.016577611
chr1	135000001	136000000	1.0167234835
chr6	136000001	137000000	1.016754096
chr8	128000001	129000000	1.017032414
chr1	143000001	144000000	1.017042954
chr1	138000001	139000000	1.0173354365
chr2	88000001	89000000	1.0175516935
