chr_name	start	end	color
hs1	500000	40000000	black
hs1	2300000	60000000	red
hs1	2700000	80000000	blue
hs1	65000000	100000000	yellow
hs1	70000000	120000000	black
hs1	95000000	140000000	red
hs1	120000000	160000000	blue
hs1	156000000	180000000	yellow
hs1	160000000	200000000	black
hs1	202000000	240000000	red
hs2	11300000	32000000	blue
hs2	15900000	45000000	yellow
hs2	19500000	55000000	black
hs2	30800000	61000000	red
hs2	40000000	72000000	blue
hs2	82000000	76000000	yellow
hs2	96000000	80000000	black
hs2	106000000	90000000	red
hs2	150000000	100000000	blue
hs2	182000000	130000000	yellow
hs3	44000000	50000000	black
hs3	57000000	80000000	red
hs3	69000000	90000000	blue
hs3	95000000	100000000	yellow
hs3	110000000	102000000	black
hs3	123000000	111000000	red
hs3	129000000	116000000	blue
hs3	156000000	120000000	yellow
hs4	83000000	40000000	black
hs4	89000000	60000000	red
hs4	90600000	80000000	blue
hs4	95000000	100000000	yellow
hs4	101000000	105000000	black
hs4	115000000	108000000	red
hs4	120000000	112000000	blue
hs4	136000000	132000000	yellow
hs4	140000000	151000000	black
hs4	142000000	171000000	red
hs5	43000000	40000000	blue
hs5	52000000	62000000	yellow
hs5	72000000	85000000	black
hs5	95000000	90000000	red
hs5	121000000	95000000	blue
hs5	125000000	98000000	yellow
hs5	13100000	10000000	black
hs5	136000000	106000000	red
hs5	140000000	111000000	blue
hs5	142000000	121000000	yellow
hs6	4100000	50000000	black
hs6	9200000	55000000	red
hs6	12000000	67000000	blue
hs6	22000000	69000000	yellow
hs6	81000000	70000000	black
hs6	97000000	71000000	red
hs6	109000000	78000000	blue
hs6	126000000	82000000	yellow
hs6	130000000	84000000	black
hs6	142000000	92000000	red
hs7	5100000	23100000	blue
hs7	7200000	39100000	yellow
hs7	9300000	51000000	black
hs7	18000000	55000000	red
hs7	21000000	60000000	blue
hs7	37000000	61000000	yellow
hs7	59000000	67000000	black
hs7	66000000	70000000	red
hs7	70000000	71000000	blue
hs7	82000000	72000000	yellow
hs8	500000	60000000	black
hs8	2300000	75000000	red
hs8	2700000	80000000	blue
hs8	65000000	110000000	yellow
hs8	70000000	116000000	black
hs8	95000000	120000000	red
hs8	110000000	124000000	blue
hs9	5300000	32000000	yellow
hs9	15900000	45000000	black
hs9	19500000	55000000	red
hs9	30800000	61000000	blue
hs9	40000000	72000000	yellow
hs9	82000000	76000000	yellow
hs9	106000000	80000000	black
hs9	114000000	84000000	red
hs9	119000000	87000000	blue
hs9	123000000	93000000	yellow
hs10	44000000	9000000	black
hs10	57000000	26000000	red
hs10	69000000	30000000	blue
hs10	95000000	41000000	yellow
hs10	110000000	79000000	black
hs10	123000000	81000000	red
hs10	129000000	86000000	blue
hs10	121000000	90000000	yellow
hs11	83000000	40000000	black
hs11	89000000	60000000	red
hs11	90600000	80000000	blue
hs11	95000000	100000000	yellow
hs11	101000000	105000000	black
hs11	115000000	108000000	red
hs11	123000000	112000000	blue
hs12	43000000	40000000	yellow
hs12	52000000	64000000	black
hs12	72000000	65000000	red
hs12	95000000	71000000	blue
hs12	97000000	75000000	yellow
hs12	105000000	77000000	black
hs12	113100000	80000000	red
hs12	116000000	86000000	blue
hs12	120000000	88000000	yellow
hs12	122000000	91000000	black
hs13	8100000	10000000	red
hs13	8600000	25000000	blue
hs13	10000000	27000000	yellow
hs13	12000000	39000000	black
hs13	14500000	40000000	red
hs13	49000000	41000000	blue
hs13	84000000	48000000	yellow
hs13	86000000	57000000	black
hs13	89000000	59000000	red
hs13	92000000	62000000	blue
hs14	14000000	9000000	yellow
hs14	27000000	26000000	black
hs14	59000000	30000000	red
hs14	70000000	41000000	blue
hs14	72000000	79000000	yellow
hs14	75000000	81000000	black
hs14	79000000	86000000	red
hs14	84000000	90000000	blue
hs15	21600000	10000000	yellow
hs15	28000000	10800000	black
hs15	31000000	13500000	red
hs15	34000000	68000000	blue
hs15	33000000	72000000	yellow
hs15	43000000	75000000	black
hs15	52000000	81000000	red
hs15	72000000	85000000	blue
hs16	9000000	22000000	yellow
hs16	11000000	25000000	black
hs16	15000000	27000000	red
hs16	16100000	32000000	blue
