chr_name	start	end	delta_methylation
chr2	66813748	66813861	-0.98
chr10	10580518	10580995	-0.97
chr2	38572394	38572487	-0.97
chr2	163863521	163863822	-0.97
chr2	168261506	168261994	-0.97
chr2	213345536	213346000	-0.97
chr5	3682018	3682430	-0.97
chr10	27172094	27172372	-0.96
chr10	114736784	114736933	-0.96
chr10	136225060	136225389	-0.96
chr2	51343574	51344474	-0.96
chr2	63430055	63430389	-0.96
chr5	179231517	179231986	-0.96
chr7	10827641	10827901	-0.96
chr10	87456005	87456456	-0.95
chr2	46385057	46385265	-0.95
chr2	53067507	53067955	-0.95
chr2	60657004	60657491	-0.95
chr2	105685008	105685452	-0.95
chr2	122904043	122904461	-0.95
chr2	145951001	145951487	-0.95
chr2	174761509	174761982	-0.95
chr5	193697652	193698000	-0.95
chr7	181510504	181510995	-0.95
chr1	71851709	71851989	-0.94
chr1	83731603	83731971	-0.94
chr1	158030001	158031429	-0.94
chr1	158115682	158115998	-0.94
chr10	26313003	26313499	-0.94
chr10	65733009	65733414	-0.94
chr2	132035526	132035987	-0.94
chr2	161485570	161486410	-0.94
chr2	174333503	174333944	-0.94
chr2	180965001	180965447	-0.94
chr5	3685001	3685489	-0.94
chr6	163004513	163004989	-0.94
chr6	165273006	165273478	-0.94
chr1	68251512	68251851	-0.93
chr1	97463005	97463375	-0.93
chr1	157056001	157056469	-0.93
chr1	167748505	167748988	-0.93
chr10	40155509	40156000	-0.93
chr10	81441505	81441984	-0.93
chr10	87314012	87314985	-0.93
chr10	95357560	95358000	-0.93
chr10	96948547	96948982	-0.93
chr10	140117501	140117926	-0.93
chr2	24215566	24215993	-0.93
chr2	52837076	52837368	-0.93
chr2	61206513	61206998	-0.93
chr2	139520501	139520856	-0.93
chr2	148563524	148564495	-0.93
chr2	160796555	160796974	-0.93
chr2	162988501	162988853	-0.93
chr2	174947535	174947953	-0.93
chr3	166931001	166931499	-0.93
chr5	199678636	199678904	-0.93
chr7	9881038	9881435	-0.93
chr7	21086023	21086482	-0.93
chr1	74383015	74383404	-0.92
chr1	150695049	150695472	-0.92
chr1	159896501	159896992	-0.92
chr10	13734075	13735000	-0.92
chr10	40145508	40146487	-0.92
chr10	63997004	63997491	-0.92
chr10	72494111	72494458	-0.92
chr10	72804007	72804453	-0.92
