chr_name	start	end	val	color	gene	transcript
chr1	65418	71585	1	lightgray	OR4F5	NM_001005484.2
chr1	367658	368597	1	lightgray	OR4F29	NM_001005221.2
chr1	621095	622034	1	lightgray	OR4F16	NM_001005277.1
chr1	859302	879954	1	lightgray	SAMD11	NM_001385641.1
chr1	859302	879954	1	lightgray	SAMD11	NM_001385640.1
chr1	861110	879954	1	lightgray	SAMD11	NM_152486.4
chr1	879582	894636	1	lightgray	NOC2L	NM_015658.4
chr1	895963	901099	1	lightgray	KLHL17	NM_198317.3
chr1	901861	911245	1	lightgray	PLEKHN1	NM_032129.3
chr1	901861	911245	1	lightgray	PLEKHN1	NM_001160184.2
chr1	901861	911245	1	lightgray	PLEKHN1	NM_001367552.1
chr1	910577	916553	1	lightgray	PERM1	NM_001369898.1
chr1	910577	917473	1	lightgray	PERM1	NM_001369897.1
chr1	910577	917473	1	lightgray	PERM1	NM_001394713.1
chr1	910577	917473	1	lightgray	PERM1	NM_001291367.2
chr1	910577	917473	1	lightgray	PERM1	NM_001291366.2
chr1	934343	935477	1	lightgray	HES4	NM_001142467.2
chr1	934343	935477	1	lightgray	HES4	NM_021170.4
chr1	948876	949920	1	lightgray	ISG15	NM_005101.4
chr1	955499	991496	1	lightgray	AGRN	NM_198576.4
chr1	955499	991496	1	lightgray	AGRN	NM_001305275.2
chr1	969372	991496	1	lightgray	AGRN	NM_001364727.2
chr1	1006346	1009686	1	lightgray	RNF223	NM_001205252.2
chr1	1017202	1051469	1	lightgray	C1orf159	NM_001330306.2
chr1	1017202	1051469	1	lightgray	C1orf159	NM_001363525.2
chr1	1017202	1051469	1	lightgray	C1orf159	NM_017891.5
chr1	1109259	1133316	1	lightgray	TTLL10	NM_001130045.2
chr1	1109259	1133316	1	lightgray	TTLL10	NM_001371649.1
chr1	1115060	1121244	1	lightgray	TTLL10	NM_153254.3
chr1	1138887	1141972	1	lightgray	TNFRSF18	NM_004195.3
chr1	1138887	1141972	1	lightgray	TNFRSF18	NM_148902.2
chr1	1138887	1141972	1	lightgray	TNFRSF18	NM_148901.2
chr1	1146719	1149533	1	lightgray	TNFRSF4	NM_003327.4
chr1	1152310	1167381	1	lightgray	SDF4	NM_016547.3
chr1	1152310	1167381	1	lightgray	SDF4	NM_016176.6
chr1	1167616	1170421	1	lightgray	B3GALT6	NM_080605.4
chr1	1177832	1182102	1	lightgray	C1QTNF12	NM_001014980.3
chr1	1189291	1209234	1	lightgray	UBE2J2	NM_194458.2
chr1	1189291	1209234	1	lightgray	UBE2J2	NM_194315.2
chr1	1189291	1209234	1	lightgray	UBE2J2	NM_058167.3
chr1	1189291	1209234	1	lightgray	UBE2J2	NM_194457.2
chr1	1215815	1227405	1	lightgray	SCNN1D	NM_001130413.4
chr1	1227770	1243310	1	lightgray	ACAP3	NM_030649.3
chr1	1243976	1247057	1	lightgray	PUSL1	NM_153339.3
chr1	1243976	1247057	1	lightgray	PUSL1	NM_001346116.2
chr1	1246979	1260040	1	lightgray	INTS11	NM_001256456.2
chr1	1246979	1260040	1	lightgray	INTS11	NM_001256462.2
chr1	1246979	1260040	1	lightgray	INTS11	NM_001256460.2
chr1	1246979	1260040	1	lightgray	INTS11	NM_017871.6
chr1	1246979	1260040	1	lightgray	INTS11	NM_001256463.2
chr1	1260181	1264276	1	lightgray	CPTP	NM_001029885.2
chr1	1266659	1270694	1	lightgray	TAS1R3	NM_152228.3
chr1	1270657	1284798	1	lightgray	DVL1	NM_001330311.2
chr1	1270657	1284798	1	lightgray	DVL1	NM_004421.3
chr1	1288068	1293927	1	lightgray	MXRA8	NM_001282585.1
chr1	1288070	1293935	1	lightgray	MXRA8	NM_032348.4
chr1	1288070	1293935	1	lightgray	MXRA8	NM_001282584.2
chr1	1288070	1297179	1	lightgray	MXRA8	NM_001282583.2
chr1	1288070	1298921	1	lightgray	MXRA8	NM_001282582.2
chr1	1309115	1310587	1	lightgray	AURKAIP1	NM_001127229.2
chr1	1309115	1310587	1	lightgray	AURKAIP1	NM_001127230.2
chr1	1309115	1310587	1	lightgray	AURKAIP1	NM_017900.3
chr1	1321090	1333722	1	lightgray	CCNL2	NM_001350497.1
chr1	1321090	1334715	1	lightgray	CCNL2	NM_001350499.2
chr1	1321090	1334715	1	lightgray	CCNL2	NM_001350498.2
chr1	1321090	1334715	1	lightgray	CCNL2	NM_001320153.3
chr1	1321090	1334715	1	lightgray	CCNL2	NM_001350500.2
chr1	1321090	1334715	1	lightgray	CCNL2	NM_001320155.3
chr1	1321090	1334715	1	lightgray	CCNL2	NM_030937.6
chr1	1327672	1334715	1	lightgray	CCNL2	NM_001039577.5
chr1	1337288	1342673	1	lightgray	MRPL20	NM_001318485.2
chr1	1337288	1342673	1	lightgray	MRPL20	NM_017971.4
chr1	1353799	1356656	1	lightgray	ANKRD65	NM_001375659.1
chr1	1353799	1356656	1	lightgray	ANKRD65	NM_001375660.1
chr1	1353799	1356656	1	lightgray	ANKRD65	NM_001145210.3
chr1	1353799	1356656	1	lightgray	ANKRD65	NM_001243535.2
chr1	1353799	1356656	1	lightgray	ANKRD65	NM_001243536.2
chr1	1361250	1365635	1	lightgray	TMEM88B	NM_001146685.2
chr1	1371069	1378262	1	lightgray	VWA1	NM_199121.3
chr1	1371069	1378262	1	lightgray	VWA1	NM_022834.5
chr1	1385068	1405543	1	lightgray	ATAD3C	NM_001039211.3
chr1	1407144	1433228	1	lightgray	ATAD3B	NM_031921.6
chr1	1413228	1433228	1	lightgray	ATAD3B	NM_001317238.2
chr1	1447541	1470065	1	lightgray	ATAD3A	NM_001170535.3
chr1	1447541	1470065	1	lightgray	ATAD3A	NM_018188.5
chr1	1447909	1470065	1	lightgray	ATAD3A	NM_001170536.3
chr1	1470157	1476004	1	lightgray	TMEM240	NM_001114748.2
chr1	1477052	1510243	1	lightgray	SSU72	NM_014188.3
chr1	1533391	1535515	1	lightgray	FNDC10	NM_001242659.2
chr1	1550879	1565985	1	lightgray	MIB2	NM_001170687.4
chr1	1550879	1565985	1	lightgray	MIB2	NM_001170688.2
chr1	1550879	1565985	1	lightgray	MIB2	NM_001170686.4
chr1	1550879	1565985	1	lightgray	MIB2	NM_080875.5
chr1	1551234	1565985	1	lightgray	MIB2	NM_001170689.2
chr1	1567551	1570030	1	lightgray	MMP23B	NM_006983.2
chr1	1570602	1590465	1	lightgray	CDK11B	NM_033489.3
chr1	1570602	1590465	1	lightgray	CDK11B	NM_033490.3
chr1	1570602	1590465	1	lightgray	CDK11B	NM_033487.3
chr1	1570602	1590465	1	lightgray	CDK11B	NM_001787.3
chr1	1570602	1590465	1	lightgray	CDK11B	NM_033486.3
chr1	1570602	1590465	1	lightgray	CDK11B	NM_001291345.2
chr1	1592938	1624234	1	lightgray	SLC35E2B	NM_001290264.2
chr1	1592938	1624234	1	lightgray	SLC35E2B	NM_001110781.3
chr1	1633817	1655796	1	lightgray	CDK11A	NM_024011.4
chr1	1633817	1655796	1	lightgray	CDK11A	NM_001313982.2
chr1	1633817	1655796	1	lightgray	CDK11A	NM_001313896.2
chr1	1633817	1655796	1	lightgray	CDK11A	NM_033529.4
chr1	1682670	1690081	1	lightgray	NADK	NM_001198995.1
