chr_name	start	end	value
chr1	346675	346847	2.428176891
chr1	466246	466670	1.044686775
chr1	1322906	1323388	1.427089629
chr1	1837332	1837756	1.443576925
chr1	1845162	1845738	3.201583265
chr1	1921980	1922319	5.325963944
chr1	2032186	2032449	1.090019816
chr1	2096926	2097370	1.529336231
chr1	2105362	2106733	1.530875824
chr1	2287977	2288796	1.956800492
chr1	2296096	2296848	2.290329393
chr1	2297072	2297645	3.033825929
chr1	2297804	2298041	2.141415908
chr1	2382775	2383625	2.535786327
chr1	2522805	2523216	3.572254625
chr1	2531541	2532338	5.660670432
chr1	2774846	2775475	1.365640587
chr1	2782620	2782867	7.814247283
chr1	2816721	2817202	3.513242337
chr1	2817478	2818080	3.445793282
chr1	3030310	3031295	1.461048117
chr1	3374428	3374869	1.399470398
chr1	3382458	3383355	1.250891986
chr1	5790582	5790900	1.115692356
chr1	5946283	5946656	0.99794224
chr1	6078463	6079549	1.532280712
chr1	6079683	6080404	1.095386228
chr1	6310238	6310923	1.868491905
chr1	6312185	6312437	2.507184266
chr1	7041550	7041802	1.020069404
chr1	7339388	7339622	1.225087396
chr1	7566300	7566795	1.318324703
chr1	7771890	7772118	1.043113713
chr1	8664141	8664392	1.663490939
chr1	8701220	8701922	1.785140838
chr1	8701997	8703223	1.952703629
chr1	9165478	9166067	1.065464405
chr1	9497954	9498305	3.39136689
chr1	10323461	10323722	1.28014194
chr1	10323927	10324525	1.051074535
chr1	10348875	10349136	2.167529901
chr1	10614583	10615315	1.780594437
chr1	10615917	10617975	1.703538105
chr1	10622021	10622701	1.610781108
chr1	10627676	10627829	2.038865071
chr1	12392660	12393112	1.281994667
chr1	12931158	12931458	1.262346817
chr1	13034178	13034466	1.214511381
chr1	13863673	13864396	1.017011022
chr1	14028315	14030644	0.99263893
chr1	15013969	15015718	1.044469635
chr1	15018134	15018676	1.308128467
chr1	15075848	15076339	2.454145393
chr1	15364475	15365073	1.140469571
chr1	15584090	15584218	1.339154522
chr1	15584686	15584878	1.528902364
chr1	16442406	16442629	2.517409444
chr1	16951055	16951310	1.146607702
chr1	16970669	16971406	0.99796727
chr1	16972498	16973214	1.133151898
chr1	17147076	17147877	1.051859237
chr1	17147966	17148722	2.871673597
chr1	17151728	17151857	1.357104018
chr1	17156216	17157519	1.904319757
chr1	17276116	17276261	1.069865775
chr1	17433900	17434643	1.197022096
chr1	17941291	17941431	0.994569968
chr1	19021040	19021632	1.078381063
chr1	19355195	19355515	2.372011608
chr1	19442184	19442558	1.692082696
chr1	19829620	19830299	1.084452928
chr1	19944955	19945828	3.792505231
chr1	19961137	19961769	1.578905292
chr1	20007237	20007789	2.601286878
chr1	20027120	20027546	4.080369155
chr1	20308904	20309223	1.133135053
chr1	20418254	20418549	1.104638972
chr1	20738169	20738496	1.383066107
chr1	21771610	21772321	0.994476141
chr1	22120644	22120872	2.844989614
chr1	22182270	22183115	1.380114091
chr1	22735127	22735964	1.851404964
chr1	22736045	22736787	1.429893122
chr1	22736870	22739459	1.565572632
chr1	23485460	23485749	1.046044639
chr1	23506435	23506564	2.105679025
chr1	24951151	24951552	1.355338053
chr1	25153482	25154981	1.440684531
chr1	25272924	25273037	6.648975761
chr1	25637515	25638268	1.85522513
chr1	26027410	26027568	2.503343241
chr1	26865541	26865627	1.529192326
chr1	26887401	26887783	1.684715124
chr1	27296572	27296687	1.18561909
chr1	27416993	27417341	2.217984988
chr1	28511535	28511764	1.837462845
chr1	28516122	28516513	1.128430311
chr1	28714485	28714573	1.744409203
chr1	29004303	29005099	0.993792823
chr1	29237045	29237574	1.108419639
chr1	29494270	29494484	4.919897451
chr1	29505048	29505278	1.252303881
chr1	31053597	31054281	1.395958892
chr1	31549715	31549886	1.890375418
chr1	32051345	32051648	1.300191406
chr1	32067929	32068511	1.063749921
chr1	32470727	32471510	1.173556122
chr1	32529588	32529741	1.213686098
chr1	33545314	33546455	1.199689463
chr1	33752341	33754617	2.088329231
chr1	34085887	34085979	5.052324911
chr1	34685806	34686310	1.030438398
chr1	34853608	34853973	1.175502534
chr1	34970733	34972106	0.995142049
chr1	34973728	34974075	1.074512017
chr1	34974227	34974592	1.353077935
chr1	35018194	35018802	1.389617512
chr1	36157396	36157744	3.036834473
chr1	36575478	36575960	4.64512023
chr1	36917429	36917838	1.436576981
chr1	37105836	37106409	1.004369311
chr1	37361540	37362122	1.102331534
chr1	37962201	37962629	2.128199622
chr1	38705818	38706095	1.055438858
