chr_name	start	end	log2FoldChange	padj	MSTRG_exon_id	MSTRG_gene_id	v4_gene_model	v3_gene_model	function	source
chr5	1890784	1891050	3.155145789	0.002090024	MSTRG.36099:E8	MSTRG.36099	Zm00001d012909	GRMZM2G133407	soluble epoxide hydrolase	[source:homolog]
chr5	1890784	1891050	3.155145789	0.002090024	MSTRG.36099:E8	MSTRG.36099	Zm00001d012911	GRMZM2G138523	Huntingtin interacting protein K  	 [source: RefGen_v3] 
chr2	172822605	172822703	17.90016156	1E-18	MSTRG.17988:E10	MSTRG.17988	Zm00001d005403	GRMZM2G504910	Protein prenylyltransferase superfamily protein	[source:homolog]
chr2	67663464	67663550	17.92945003	1.23E-26	MSTRG.15853:E5	MSTRG.15853	Zm00001d003917	GRMZM2G025294	RNA polymerase III RPC4	[source:homolog]
chr2	38752885	38753036	15.04498341	0.006898749	MSTRG.15090:E6	MSTRG.15090	Zm00001d003284	GRMZM2G135410	SWI/SNF complex subunit SWI3A	[source:homolog]
chr5	196089761	196089870	2.742374927	0.0000613	MSTRG.39954:E9	MSTRG.39954	Zm00001d017445	GRMZM2G031952	ELMO/CED-12 family protein	[source:homolog]
chr3	220870590	220870601	13.97299956	5.1E-18	MSTRG.26829:E3	MSTRG.26829	Zm00001d044165	GRMZM2G702253	Histone-lysine N-methyltransferase SUVR3	[source:homolog]
chr10	137296874	137297005	2.886263194	3.58E-09	MSTRG.12715:E3	MSTRG.12715	Zm00001d026060	GRMZM5G894619	 acs7;1-aminocyclopropane-1-carboxylate synthase7:	 [source: characterized gene (MaizeGDB_09082017)]
chr9	117397244	117397352	2.05789108	0.000167987	MSTRG.59689:E28	MSTRG.59689	Zm00001d047074	GRMZM2G331105	pleckstrin homology (PH) domain-containing protein	[source:homolog]
chr9	117403814	117403997	2.059265213	0.000837752	MSTRG.59689:E29	MSTRG.59689	Zm00001d047074	GRMZM2G331105	pleckstrin homology (PH) domain-containing protein	[source:homolog]
chr9	117422228	117422326	2.22239713	0.00030116	MSTRG.59689:E13	MSTRG.59689	Zm00001d047074	GRMZM2G331105	pleckstrin homology (PH) domain-containing protein	[source:homolog]
chr8	29415478	29415618	2.070902437	9.33E-15	MSTRG.51711:E4	MSTRG.51711	Zm00001d008998	AC219156.3_FG002	Embryonic flower 1-like protein;  protein	[source:homolog]
chr8	29415478	29415618	2.070902437	9.33E-15	MSTRG.51711:E4	MSTRG.51711	Zm00001d008999	GRMZM2G069295	Thioesterase superfamily protein	[source:homolog]
chr2	159753721	159754032	2.120503034	0.000000063	MSTRG.17607:E3	MSTRG.17607	Zm00001d005127	GRMZM2G021299	E3 ubiquitin-protein ligase UPL1	[source:homolog]
chr5	3626153	3626978	2.123194198	0.002710677	MSTRG.36244:E1	MSTRG.36244	Zm00001d013043	GRMZM2G025248	 aprl9;adenosine 5'-phosphosulfate reductase-like9:	 [source: characterized gene (MaizeGDB_09082017)]
chr5	2169817	2169869	2.137879513	0.00000521	MSTRG.36125:E2	MSTRG.36125	Zm00001d012930	GRMZM2G121743	Mitochondrial import inner membrane translocase subunit Tim10  	 [source: RefGen_v3] 
chr5	194092299	194092506	2.225960221	0.00000189	MSTRG.39812:E4	MSTRG.39812	Zm00001d017387	GRMZM2G361535	shortage in chiasmata 1	[source:homolog]
chr2	36244948	36244998	2.248501872	0.00396107	MSTRG.15020:E15	MSTRG.15020	Zm00001d003214	GRMZM2G364901	 prpo2;protoporphyrinogen IX oxidase2:	 [source: characterized gene (MaizeGDB_09082017)]
chr6	108330107	108330183	2.272367569	0.003150304	MSTRG.43781:E4	MSTRG.43781	Zm00001d036986	GRMZM2G029506	ABC transporter G family member 29	[source:homolog]
chr6	108333348	108333487	2.971512193	4.23E-10	MSTRG.43781:E5	MSTRG.43781	Zm00001d036986	GRMZM2G029506	ABC transporter G family member 29	[source:homolog]
chr10	133422299	133422815	2.284750193	0.000454794	MSTRG.12519:E3	MSTRG.12519	Zm00001d025904	GRMZM2G132218	Carrier protein  	 [source: RefGen_v3] 
chr4	241922759	241922919	2.288725161	0.000065	MSTRG.34037:E17	MSTRG.34037	Zm00001d053826	GRMZM2G401869	BEACH domain-containing protein B	[source:homolog]
chr3	215530136	215530455	2.291974286	0.006346344	MSTRG.26674:E1	MSTRG.26674	Zm00001d043981	GRMZM2G173989	Exosome complex exonuclease RRP40  	 [source: RefGen_v3] 
chr1	172722342	172722797	2.30289627	0.003727926	MSTRG.4483:E23	MSTRG.4483	Zm00001d030998	GRMZM2G052619	Protein ROOT HAIR DEFECTIVE 3 homolog 2	[source:homolog]
chr1	172718780	172719211	2.921534424	7.33E-14	MSTRG.4483:E22	MSTRG.4483	Zm00001d030998	GRMZM2G052619	Protein ROOT HAIR DEFECTIVE 3 homolog 2	[source:homolog]
chr6	166073336	166073397	2.339095249	4.94E-22	MSTRG.45952:E4	MSTRG.45952	Zm00001d038865	GRMZM2G394827	60S ribosomal protein L28-1	[source:homolog]
chr2	2075536	2075619	2.348334221	0.008063071	MSTRG.13683:E6	MSTRG.13683	Zm00001d001864	GRMZM2G040627	Uracil-DNA glycosylase mitochondrial	[source:homolog]
chr5	197272777	197273004	2.375096081	0.009333565	MSTRG.40007:E2	MSTRG.40007	Zm00001d017482	GRMZM2G056762	Uncharacterised conserved protein (UCP012943)	[source:homolog]
chr2	36829154	36829878	2.385475667	0.000358669	MSTRG.15032:E2	MSTRG.15032	Zm00001d003228	GRMZM2G023204	Serine/threonine-protein kinase OXI1	[source:homolog]
chr4	244920376	244920481	2.39621398	3.26E-28	MSTRG.34199:E14	MSTRG.34199	Zm00001d053998	GRMZM5G878541	 wee1;wee1: cDNA single copy	 deduced protein 50% identity to protein kinase domain of human Wee1; SSR umc1255
chr4	244920376	244920481	2.39621398	3.26E-28	MSTRG.34199:E14	MSTRG.34199	Zm00001d054003	GRMZM2G470556	Histone acetyltransferase HAC1	[source:homolog]
chr4	244921637	244921765	2.450330253	0.00000142	MSTRG.34199:E23	MSTRG.34199	Zm00001d053998	GRMZM5G878541	 wee1;wee1: cDNA single copy	 deduced protein 50% identity to protein kinase domain of human Wee1; SSR umc1255
chr4	244921637	244921765	2.450330253	0.00000142	MSTRG.34199:E23	MSTRG.34199	Zm00001d054003	GRMZM2G470556	Histone acetyltransferase HAC1	[source:homolog]
chr4	244915319	244915597	2.502073811	1.8E-11	MSTRG.34199:E9	MSTRG.34199	Zm00001d053998	GRMZM5G878541	 wee1;wee1: cDNA single copy	 deduced protein 50% identity to protein kinase domain of human Wee1; SSR umc1255
chr4	244915319	244915597	2.502073811	1.8E-11	MSTRG.34199:E9	MSTRG.34199	Zm00001d054003	GRMZM2G470556	Histone acetyltransferase HAC1	[source:homolog]
chr4	244921171	244921759	2.753107735	1.89E-08	MSTRG.34199:E24	MSTRG.34199	Zm00001d053998	GRMZM5G878541	 wee1;wee1: cDNA single copy	 deduced protein 50% identity to protein kinase domain of human Wee1; SSR umc1255
chr4	244921171	244921759	2.753107735	1.89E-08	MSTRG.34199:E24	MSTRG.34199	Zm00001d054003	GRMZM2G470556	Histone acetyltransferase HAC1	[source:homolog]
chr4	244916648	244918428	2.874092573	2.41E-15	MSTRG.34199:E17	MSTRG.34199	Zm00001d053998	GRMZM5G878541	 wee1;wee1: cDNA single copy	 deduced protein 50% identity to protein kinase domain of human Wee1; SSR umc1255
chr4	244916648	244918428	2.874092573	2.41E-15	MSTRG.34199:E17	MSTRG.34199	Zm00001d054003	GRMZM2G470556	Histone acetyltransferase HAC1	[source:homolog]
chr4	244915692	244915988	2.896183293	5.54E-14	MSTRG.34199:E10	MSTRG.34199	Zm00001d053998	GRMZM5G878541	 wee1;wee1: cDNA single copy	 deduced protein 50% identity to protein kinase domain of human Wee1; SSR umc1255
chr4	244915692	244915988	2.896183293	5.54E-14	MSTRG.34199:E10	MSTRG.34199	Zm00001d054003	GRMZM2G470556	Histone acetyltransferase HAC1	[source:homolog]
chr8	28577769	28577824	2.397925008	0.000243855	MSTRG.51676:E13	MSTRG.51676	Zm00001d008984	GRMZM2G058366	Cytochrome P450 71A26	[source:homolog]
chr9	89630647	89630730	2.399440446	0.003317557	MSTRG.58868:E5	MSTRG.58868	Zm00001d046434	GRMZM2G114672	Acyl-CoA-binding domain-containing protein 4	[source:homolog]
chr5	193775288	193776086	2.445104229	0.008140721	MSTRG.39849:E16	MSTRG.39849	Zm00001d017373	GRMZM2G588223	RNA polymerase II C-terminal domain phosphatase-like 1	[source:homolog]
chr5	193773546	193773695	5.278271473	0.000399282	MSTRG.39849:E13	MSTRG.39849	Zm00001d017373	GRMZM2G588223	RNA polymerase II C-terminal domain phosphatase-like 1	[source:homolog]
chr2	157226682	157226786	2.477615965	2.38E-15	MSTRG.17628:E6	MSTRG.17628	Zm00001d005072	GRMZM2G452717	F-box/LRR-repeat protein 3	[source:homolog]
chr2	41020545	41023163	2.490151509	2.46E-15	MSTRG.15153:E1	MSTRG.15153	Zm00001d003347	GRMZM2G330430	 ras1;ras related protein1: rab2-homologous cDNA	 [source: characterized gene (MaizeGDB_09082017)]
chr8	165307531	165307848	2.511454491	0.00000104	MSTRG.55772:E3	MSTRG.55772	Zm00001d011967	GRMZM2G134162		
chr1	31323288	31323533	2.551167433	0.0000091	MSTRG.1326:E1	MSTRG.1326	Zm00001d028341	GRMZM2G149038		
chr1	71162433	71162490	2.552988787	1.07E-36	MSTRG.2510:E3	MSTRG.2510	Zm00001d029448	GRMZM2G117513	Protein TIFY 10B	[source:homolog]
chr6	162607690	162607803	2.596794378	0.0000462	MSTRG.45856:E3	MSTRG.45856	Zm00001d038689	GRMZM2G176396	Proline iminopeptidase  	 [source: RefGen_v3] 
chr6	162609687	162609797	18.21653977	3.07E-17	MSTRG.45856:E8	MSTRG.45856	Zm00001d038689	GRMZM2G176396	Proline iminopeptidase  	 [source: RefGen_v3] 
chr8	75123075	75123282	2.695653759	0.004779303	MSTRG.52475:E3	MSTRG.52475	Zm00001d009667	GRMZM2G002034	Polygalacturonase QRT2	[source:homolog]
chr8	147395049	147395240	2.722061036	0.000126449	MSTRG.55105:E6	MSTRG.55105	Zm00001d011347	GRMZM2G005304	Autophagy 7%3B Autophagy-related 7  	 [source: RefGen_v3] 
chr10	64671129	64671412	2.729022246	3.19E-11	MSTRG.10498:E3	MSTRG.10498	Zm00001d024325	GRMZM2G074489	Probable protein phosphatase 2C 9	[source:homolog]
chr9	125445665	125445745	2.824893261	4.42E-10	MSTRG.59902:E14	MSTRG.59902	Zm00001d047282	GRMZM2G124317	Protein SPIRAL1	[source:homolog]
chr9	125445665	125445745	2.824893261	4.42E-10	MSTRG.59902:E14	MSTRG.59902	Zm00001d047283	GRMZM2G124239	Vacuolar protein sorting-associated protein 52 A	[source:homolog]
