chr_name	start	end	val	color
chr1	45000000	49999999	0.070859	pink
chr1	55000000	59999999	0.30046	pink
chr1	60000000	64999999	0.125421	pink
chr1	70000000	74999999	0.158156	pink
chr1	75000000	79999999	0.16354	pink
chr1	80000000	84999999	0.342921	pink
chr1	85000000	89999999	0.180912	pink
chr1	95000000	99999999	0.36324	pink
chr1	100000000	104999999	0.179303	pink
chr1	105000000	109999999	0.172213	pink
chr1	110000000	114999999	0.067627	pink
chr1	115000000	119999999	0.230514	pink
chr1	140000000	144999999	0.069617	pink
chr1	150000000	154999999	0.000757	pink
chr1	155000000	159999999	0.075048	pink
chr1	160000000	164999999	0.251722	pink
chr1	165000000	169999999	0.142465	pink
chr1	170000000	174999999	0.197551	pink
chr1	175000000	179999999	0.127768	pink
chr1	180000000	184999999	0.156571	pink
chr1	185000000	189999999	0.141465	pink
chr1	190000000	194999999	0.134888	pink
chr1	195000000	199999999	0.063325	pink
chr1	205000000	209999999	0.163839	pink
chr1	215000000	219999999	0.2373	pink
chr2	0	4999999	0.011346	pink
chr2	15000000	19999999	0.270475	pink
chr2	20000000	24999999	0.169368	pink
chr2	50000000	54999999	0.124923	pink
chr2	55000000	59999999	0.312155	pink
chr2	65000000	69999999	0.107776	pink
chr2	75000000	79999999	0.158579	pink
chr2	80000000	84999999	0.128404	pink
chr2	115000000	119999999	0.140951	pink
chr2	135000000	139999999	0.127235	pink
chr2	140000000	144999999	0.211352	pink
chr2	145000000	149999999	0.392059	pink
chr2	150000000	154999999	0.144308	pink
chr2	155000000	159999999	0.242837	pink
chr2	160000000	164999999	0.360153	pink
chr2	165000000	169999999	0.247326	pink
chr2	175000000	179999999	0.318574	pink
chr2	180000000	184999999	0.269758	pink
chr2	185000000	189999999	0.187361	pink
chr2	190000000	194999999	0.114884	pink
chr2	195000000	199999999	0.223479	pink
chr2	205000000	209999999	0.130663	pink
chr2	210000000	214999999	0.242299	pink
chr2	215000000	219999999	0.042422	pink
