chr_name	Start	End	delta_methylation
chr1	28049506	28049999	-0.29
chr1	38984004	38984498	-0.26
chr1	62297002	62297496	0.25
chr1	71164501	71165000	-0.21
chr1	72028001	72028499	-0.31
chr1	72031003	72031493	-0.23
chr1	73249012	73249500	-0.21
chr1	74178001	74178500	-0.21
chr1	83409003	83409499	-0.25
chr1	83663004	83663496	-0.23
chr1	85774501	85774995	-0.26
chr1	87532502	87532994	-0.21
chr1	87699504	87699988	0.24
chr1	92054502	92054998	0.37
chr1	92224501	92224998	-0.34
chr1	92240506	92241000	-0.27
chr1	95219011	95219492	-0.29
chr1	95935011	95935408	0.42
chr1	97318501	97318993	-0.22
chr1	97420005	97420498	-0.2
chr1	100216501	100216999	-0.34
chr1	105967008	105967499	-0.27
chr1	116003001	116003499	0.41
chr1	116819003	116819499	-0.25
chr1	116933003	116933494	-0.31
chr1	118207502	118207994	0.25
chr1	119483001	119483495	-0.31
chr1	125152502	125152998	0.77
chr1	149242523	149243000	-0.22
chr1	157931002	157931498	0.7
chr1	166015502	166015995	-0.22
chr1	169044504	169044894	-0.21
chr1	174977004	174977500	-0.24
chr1	179743503	179743945	-0.25
chr1	182492503	182492978	0.29
chr1	189418509	189419000	-0.2
chr1	190229503	190229998	0.28
chr1	190260502	190260999	-0.22
chr1	192301001	192301498	0.24
chr1	196186505	196187000	0.26
chr1	196541503	196541998	-0.21
chr1	197080004	197080999	-0.22
chr1	198348521	198349000	-0.65
chr1	199514501	199514999	0.3
chr1	200032011	200032498	0.34
chr1	200315502	200315997	0.21
chr1	201946001	201946498	0.23
chr1	202243003	202243499	-0.21
chr1	203348007	203348498	0.22
chr1	206692011	206692499	0.25
chr1	208987002	208987495	0.25
chr1	209556007	209556487	0.27
chr1	209763503	209763989	0.29
chr1	209990501	209990995	0.26
chr1	212714504	212715000	-0.27
chr1	221995503	221995996	0.23
chr1	267899001	267899497	-0.2
chr1	268108002	268108498	-0.25
chr1	283559501	283560000	-0.21
chr1	284814004	284814493	0.24
chr1	285955507	285955999	0.32
chr10	5434001	5434499	0.29
chr10	18421002	18421500	0.23
chr10	20870004	20870485	0.31
chr10	24269501	24270000	0.27
chr10	34453506	34453999	-0.22
chr10	48616002	48616498	-0.27
chr10	57026505	57027000	0.29
chr10	57225002	57225465	0.63
chr10	57560503	57560999	0.21
chr10	63742001	63742470	0.27
chr10	63788508	63788997	0.24
chr10	65842016	65842497	-0.22
chr10	66585502	66585999	-0.28
chr10	69372001	69372500	-0.34
chr10	72602514	72602998	0.76
chr10	72680501	72680996	-0.28
chr10	77456501	77456991	-0.23
chr10	78538504	78538996	-0.39
chr10	84700503	84700993	-0.21
chr10	85588004	85588497	-0.22
chr10	93406001	93406499	-0.24
chr10	95137640	95137996	0.31
chr10	96595503	96595995	-0.23
chr10	97282594	97282997	0.2
chr10	99639004	99639500	-0.21
chr10	100594509	100595000	-0.28
chr10	112233009	112233459	0.26
chr10	123591005	123591497	-0.31
chr10	128264501	128264998	-0.23
chr10	128275507	128275996	-0.24
chr10	128644050	128644499	-0.23
chr10	132369502	132369998	0.21
chr10	133583003	133583499	-0.3
chr10	133775010	133775469	-0.21
chr10	133937003	133937497	-0.32
chr10	135683501	135683986	-0.35
chr10	136317501	136317999	-0.36
chr10	136861503	136861996	0.22
chr10	137489003	137489492	-0.24
chr10	137695501	137696000	-0.22
chr10	139787002	139787493	-0.23
chr10	140887501	140887998	-0.23
chr10	144115501	144116000	-0.2
chr10	149562504	149563000	-0.21
chr2	10166501	10166998	-0.21
chr2	11325502	11325993	0.2
chr2	11631017	11631490	-0.41
chr2	11631507	11631999	0.21
chr2	12497505	12497947	0.27
chr2	13631501	13631998	-0.25
chr2	15446016	15446475	0.2
chr2	16307503	16308000	0.22
chr2	17169564	17169901	-0.23
chr2	17835506	17835999	-0.39
chr2	23089501	23089998	0.24
chr2	23203504	23204000	0.24
chr2	23367001	23367496	0.21
chr2	25028501	25028996	0.2
chr2	28953001	28953500	-0.46
chr2	29402004	29402496	0.24
chr2	30076503	30076994	-0.23
chr2	30343002	30343499	0.21
chr2	30779005	30779494	-0.21
chr2	33337002	33337500	-0.21
chr2	36134003	36134496	0.2
chr2	38190010	38190483	-0.31
chr2	38445504	38445998	0.25
chr2	42784502	42785000	-0.24
chr2	44396508	44396994	0.43
chr2	45426502	45427000	-0.24
chr2	48597004	48597497	0.23
chr2	48888007	48888497	-0.29
chr2	50129532	50129997	0.22
chr2	53137502	53137992	-0.33
chr2	53790505	53790997	-0.42
