chr_name	start	end	band_color	band
chr1	0	2300000	gneg	p36.33
chr1	2300000	5300000	gpos25	p36.32
chr1	5300000	7100000	gneg	p36.31
chr1	7100000	9100000	gpos25	p36.23
chr1	9100000	12500000	gneg	p36.22
chr1	12500000	15900000	gpos50	p36.21
chr1	15900000	20100000	gneg	p36.13
chr1	20100000	23600000	gpos25	p36.12
chr1	23600000	27600000	gneg	p36.11
chr1	27600000	29900000	gpos25	p35.3
chr1	29900000	32300000	gneg	p35.2
chr1	32300000	34300000	gpos25	p35.1
chr1	34300000	39600000	gneg	p34.3
chr1	39600000	43700000	gpos25	p34.2
chr1	43700000	46300000	gneg	p34.1
chr1	46300000	50200000	gpos75	p33
chr1	50200000	55600000	gneg	p32.3
chr1	55600000	58500000	gpos50	p32.2
chr1	58500000	60800000	gneg	p32.1
chr1	60800000	68500000	gpos50	p31.3
chr1	68500000	69300000	gneg	p31.2
chr1	69300000	84400000	gpos100	p31.1
chr1	84400000	87900000	gneg	p22.3
chr1	87900000	91500000	gpos75	p22.2
chr1	91500000	94300000	gneg	p22.1
chr1	94300000	99300000	gpos75	p21.3
chr1	99300000	101800000	gneg	p21.2
chr1	101800000	106700000	gpos100	p21.1
chr1	106700000	111200000	gneg	p13.3
chr1	111200000	115500000	gpos50	p13.2
chr1	115500000	117200000	gneg	p13.1
chr1	117200000	120400000	gpos50	p12
chr1	120400000	121700000	gneg	p11.2
chr1	121700000	123400000	acen	p11.1
chr1	123400000	125100000	acen	q11
chr1	125100000	143200000	gvar	q12
chr1	143200000	147500000	gneg	q21.1
chr1	147500000	150600000	gpos50	q21.2
chr1	150600000	155100000	gneg	q21.3
chr1	155100000	156600000	gpos50	q22
chr1	156600000	159100000	gneg	q23.1
chr1	159100000	160500000	gpos50	q23.2
chr1	160500000	165500000	gneg	q23.3
chr1	165500000	167200000	gpos50	q24.1
chr1	167200000	170900000	gneg	q24.2
chr1	170900000	173000000	gpos75	q24.3
chr1	173000000	176100000	gneg	q25.1
chr1	176100000	180300000	gpos50	q25.2
chr1	180300000	185800000	gneg	q25.3
chr1	185800000	190800000	gpos100	q31.1
chr1	190800000	193800000	gneg	q31.2
chr1	193800000	198700000	gpos100	q31.3
chr1	198700000	207100000	gneg	q32.1
chr1	207100000	211300000	gpos25	q32.2
chr1	211300000	214400000	gneg	q32.3
chr1	214400000	223900000	gpos100	q41
chr1	223900000	224400000	gneg	q42.11
chr1	224400000	226800000	gpos25	q42.12
chr1	226800000	230500000	gneg	q42.13
chr1	230500000	234600000	gpos50	q42.2
chr1	234600000	236400000	gneg	q42.3
chr1	236400000	243500000	gpos75	q43
chr1	243500000	248956422	gneg	q44
chr10	0	3000000	gneg	p15.3
chr10	3000000	3800000	gpos25	p15.2
chr10	3800000	6600000	gneg	p15.1
chr10	6600000	12200000	gpos75	p14
chr10	12200000	17300000	gneg	p13
chr10	17300000	18300000	gpos75	p12.33
chr10	18300000	18400000	gneg	p12.32
chr10	18400000	22300000	gpos75	p12.31
chr10	22300000	24300000	gneg	p12.2
chr10	24300000	29300000	gpos50	p12.1
chr10	29300000	31100000	gneg	p11.23
chr10	31100000	34200000	gpos25	p11.22
chr10	34200000	38000000	gneg	p11.21
chr10	38000000	39800000	acen	p11.1
chr10	39800000	41600000	acen	q11.1
chr10	41600000	45500000	gneg	q11.21
