chr_name	start	end	value
chr1	23602	23657	-1.35949
chr1	573535	574378	-1.42353
chr1	1533404	1534193	-1.03008
chr1	1715968	1717226	-1.77903
chr1	1843131	1843557	-1.1437
chr1	1938616	1939435	-2.5261
chr1	2233267	2233983	-1.12998
chr1	3556663	3556790	-1.67182
chr1	3557824	3557951	-1.2008
chr1	4133065	4135765	-1.50615
chr1	4426058	4426462	-2.3903
chr1	4559633	4559795	-1.45892
chr1	4736418	4736748	-1.10581
chr1	4896514	4896765	-1.58856
chr1	4913470	4914136	-1.14589
chr1	5093371	5093580	-1.05953
chr1	9348076	9348332	-1.05037
chr1	9566531	9567014	-2.60926
chr1	10150765	10151757	-1.19426
chr1	10266182	10266434	-0.992133
chr1	10313245	10314245	-1.42079
chr1	10857303	10858030	-1.66372
chr1	11143170	11143409	-1.25945
chr1	12930530	12931074	-1.36109
chr1	13032815	13033469	-1.62062
chr1	13321381	13321839	-1.20328
chr1	15974537	15975320	-1.08916
chr1	17737305	17737918	-1.52718
chr1	17826351	17826639	-1.01477
chr1	18309275	18309519	-1.07106
chr1	21717659	21717819	-1.20294
chr1	23376971	23377479	-1.0091
chr1	23452718	23453130	-1.23042
chr1	23887479	23887575	-1.13484
chr1	24874887	24875250	-1.40615
chr1	25566764	25566905	-1.19596
chr1	26008809	26009400	-1.28613
chr1	26641966	26642377	-1.89172
chr1	27289296	27289594	-1.18376
chr1	27318638	27319266	-1.77859
chr1	29829340	29829665	-1.73259
chr1	30002359	30002561	-1.84577
chr1	30248615	30249187	-1.02415
chr1	30661686	30662490	-1.18401
chr1	30663268	30663864	-1.43343
chr1	32324833	32325281	-1.09091
chr1	32327075	32327764	-1.40513
chr1	32353104	32353316	-1.0398
chr1	33174391	33175663	-1.16293
chr1	33453363	33454739	-1.87145
chr1	33594097	33594562	-1.24237
chr1	35751005	35751780	-1.01327
chr1	37338894	37338931	-0.994576
chr1	37493124	37493677	-1.12424
chr1	37505758	37505778	-1.28819
chr1	38076000	38076856	-1.94941
chr1	38997521	38998526	-1.24542
chr1	39590726	39591028	-1.06812
chr1	39744777	39745470	-1.39523
chr1	43348907	43349398	-1.63039
chr1	45728354	45729035	-0.995806
chr1	46926413	46926950	-1.00292
chr1	49180546	49180630	-1.65545
chr1	49661497	49662517	-0.992908
chr1	51156582	51157032	-1.20524
chr1	51161077	51161298	-1.20685
chr1	52307091	52307228	-1.14731
chr1	52849318	52850039	-1.62277
chr1	53396747	53397618	-1.04023
chr1	53397711	53398034	-1.22695
chr1	54403240	54403513	-1.80924
chr1	54410482	54410895	-1.22209
chr1	55258304	55260500	-1.06059
chr1	56817593	56818166	-1.42814
chr1	57457563	57459095	-1.86744
chr1	57487092	57487745	-1.84819
chr1	61565068	61565313	-1.41096
chr1	62127251	62127500	-1.00708
chr1	63477947	63478406	-1.34681
chr1	63478615	63478730	-2.02245
chr1	64692962	64693661	-1.11614
chr1	67450762	67451413	-1.27279
chr1	67458353	67458571	-1.85573
chr1	69512474	69513078	-1.26457
chr1	69733502	69733583	-1.03724
chr1	70442829	70443807	-1.64345
chr1	70869100	70869369	-1.79959
chr1	71517750	71518204	-1.27491
chr1	72500360	72500579	-1.02083
chr1	73706429	73707489	-1.73794
chr1	77166771	77167065	-1.10754
chr1	77416822	77417167	-1.26799
chr1	82710857	82712501	-1.89737
chr1	83041516	83042349	-1.99297
chr1	85779179	85779794	-2.17545
chr1	85848171	85848533	-1.57245
chr1	86326761	86327189	-1.60435
chr1	87098396	87099322	-1.08405
chr1	87468555	87469225	-1.34262
chr1	87471250	87471442	-1.23312
chr1	87845338	87846218	-1.07133
chr1	88934206	88934467	-2.17543
