chr_name	start	end	log2FoldChange	padj	MSTRG_gene_id	v4_gene_model	v3_gene_model	function	source
chr8	78048174	78051398	10.2145936801	3.1118931931307E-63	MSTRG.52525	Zm00001d009727	GRMZM2G338696	Cytochrome c oxidase subunit 5b-2 mitochondrial	[source:homolog]
chr2	230800765	231243502	10.0540274511	0.010626939	MSTRG.20335	Zm00001d007403	GRMZM2G151227	Chalcone synthase WHP1  	 [source: RefGen_v3] 
chr5	49133	63649	9.5637545938	2.58746956761459E-19	MSTRG.34329	Zm00001d012797	GRMZM2G054678		
chr1	69320866	69324800	8.9840323864	1.46094359420282E-12	MSTRG.2468	Zm00001d029410	GRMZM2G120587	Serine carboxypeptidase-like 51	[source:homolog]
chr8	56667576	56670937	8.8662038973	0.0001630082	MSTRG.52119	Zm00001d009331	GRMZM2G094808		
chr1	121788055	122118964	8.749717001	9.82175312474696E-15	MSTRG.3621	Zm00001d030316	GRMZM2G009465	Proline-rich protein 2	[source:homolog]
chr3	168688360	168714684	8.6363637726	9.49075467710195E-18	MSTRG.24800	Zm00001d042470	GRMZM2G113264	Protein kinase superfamily protein	[source:homolog]
chr8	87301378	87313130	8.5383766906	8.06150721833824E-09	MSTRG.52870	Zm00001d009883	GRMZM5G831887	40S ribosomal protein S4-3	[source:homolog]
B73V4_ctg150	597913	627204	8.4894737153	3.33909806354246E-32	MSTRG.61232	Zm00001d000009	GRMZM2G053177		
chr4	240998127	240999016	8.2016346715	0.0029133437	MSTRG.34003	Zm00001d053784	GRMZM2G010097	Gamma-thionins family protein  	 [source: RefGen_v3] 
chr5	26179	35624	8.0324676448	1.15457836331549E-44	MSTRG.34326	Zm00001d012794	GRMZM2G054378	tRNA (guanine-N-7) methyltransferase	[source:homolog]
chr2	223566224	223567878	7.8617590116	7.60911369130057E-13	MSTRG.20069	Zm00001d007160	GRMZM2G133475	Peroxidase 66  	 [source: RefGen_v3] 
chr2	44627661	44705636	7.7749972	2.71444468980898E-06	MSTRG.15301	Zm00001d003447	GRMZM2G065157		
chr1	210344522	210347163	7.7033311515	0.0464665255	MSTRG.5718	Zm00001d032042	GRMZM2G092823	Cytochrome P450 CYP78A53  	 [source: RefGen_v3] 
chr10	65976164	65985734	7.612967392	2.92336101837269E-13	MSTRG.10518	Zm00001d024348	GRMZM2G149969	Core-2/I-branching beta-16-N-acetylglucosaminyltransferase family protein	[source:homolog]
chr2	208457033	208685331	7.5112001098	0.0008184203	MSTRG.19235	Zm00001d006446	GRMZM2G180283	 sm2;salmon silk2: like sm1; silks salmon color with P1-rr and P1-wr	 brown with P1-ww
chr3	136355886	136727063	7.4208193428	3.06074110715783E-10	MSTRG.23992	Zm00001d041763	GRMZM2G083130	Cytokinin-O-glucosyltransferase 2  	 [source: RefGen_v3] 
chr2	161031921	161043142	7.4175585243	8.23560531947851E-10	MSTRG.17680	Zm00001d005147	GRMZM2G164704		
chr8	173335252	173336838	7.3779141966	1.02852049742561E-07	MSTRG.56103	Zm00001d012387	GRMZM2G023827	Embryogenesis transmembrane protein-like;  protein	[source:homolog]
chr3	169439385	169441492	7.2455037679	1.80853247702185E-11	MSTRG.24837	Zm00001d042493	GRMZM2G141632	Hydroxyproline-rich glycoprotein (HRGP)	[source:homolog]
chr10	126186003	126189252	7.1456790727	0.000074036	MSTRG.12198	Zm00001d025684	GRMZM2G111770	Putative NAC domain transcription factor superfamily protein  	 [source: RefGen_v3] 
chr1	2778701	2782413	7.0884407616	3.77477640570765E-09	MSTRG.327	Zm00001d027313	GRMZM2G388684	Probable xyloglucan endotransglucosylase/hydrolase protein 32	[source:homolog]
chr4	73314108	73315352	7.0391381222	0.0433715443	MSTRG.29537	Zm00001d050200	GRMZM2G016145	 tcrr1;transfer cell response regulator1: basal endosperm transfer cell specific transcript; encoded protein is found other cells	 the conducting cells above the transfer layer
chr4	214258393	214292543	6.6980611481	0.0063076636	MSTRG.33117	Zm00001d053112	GRMZM2G048353	 esr6;embryo surrounding region6: transcript specific to embryo surrounding region near basal endosperm transfer layer	 [source: characterized gene (MaizeGDB_09082017)]
chr3	219574711	219869702	6.6743775774	0.0003891532	MSTRG.26842	Zm00001d044122	GRMZM2G026930	Dihydroflavonol-4-reductase  	 [source: RefGen_v3] 
chr5	184494133	184509445	6.6502541447	0.000387817	MSTRG.39504	Zm00001d017077	GRMZM2G025832	 pr1;red aleurone1: changes purple aleurone to red; encodes flavonoid 3'-hydroxylase	 [source: characterized gene (MaizeGDB_09082017)]
chr2	230712493	231189467	6.6203100504	0.0481843069	MSTRG.20331	Zm00001d007417	GRMZM2G166718	ATP-dependent DNA helicase  chloroplastic	[source:homolog]
chr2	230226142	230227194	6.5595936425	0.0252271407	MSTRG.20315	Zm00001d007379	GRMZM2G056329	CASP-like protein 1U2	[source:homolog]
chr10	120429339	120687831	6.5241338678	5.57245559808642E-18	MSTRG.11969	Zm00001d025490	GRMZM2G446201	 zar1;Zea mays ARGOS1: affects yield	 and response to drought
chr1	90739296	90893359	6.5047896543	0.0001193089	MSTRG.3020	Zm00001d029859	GRMZM2G037255	extensin-like protein	[source:homolog]
chr5	163421231	163695654	6.5019463265	0.0249563069	MSTRG.38816	Zm00001d016471	GRMZM2G028677	Trans-cinnamate 4-monooxygenase	[source:homolog]
chr9	154253930	154426112	6.4733237848	0.0259637529	MSTRG.61753	Zm00001d048311	GRMZM2G087901	 sut7;sucrose transporter7: single copy cDNA; transcripts observed in mature leaf blades of young plants	 and at reproductive stage in various tissues including leaf sheaths
chr9	123887952	124415249	6.4673443329	0.000003693	MSTRG.59867	Zm00001d047252	GRMZM2G314769		
chr2	95785680	95787741	6.4549296097	5.62534714499517E-08	MSTRG.16338	Zm00001d004248	GRMZM2G083935	UDP-glycosyltransferase 85A7	[source:homolog]
chr1	2233954	2241438	6.417611254	8.89152576220076E-05	MSTRG.90	Zm00001d027300	GRMZM2G458423	Protein PAIR1	[source:homolog]
chr2	161423235	161427030	6.387064029	7.3497626523765E-11	MSTRG.17689	Zm00001d005154	GRMZM2G353091	Putative E3 ubiquitin-protein ligase RF4	[source:homolog]
chr4	196636522	197157021	6.366958752	0.0002208002	MSTRG.32600	Zm00001d052673	GRMZM2G422750	Chalcone synthase C2  	 [source: RefGen_v3] 
