chr_name	start	end	band_color
chr1	0	2300000	gneg
chr1	2300000	5400000	gpos25
chr1	5400000	7200000	gneg
chr1	7200000	9200000	gpos25
chr1	9200000	12700000	gneg
chr1	12700000	16200000	gpos50
chr1	16200000	20400000	gneg
chr1	20400000	23900000	gpos25
chr1	23900000	28000000	gneg
chr1	28000000	30200000	gpos25
chr1	30200000	32400000	gneg
chr1	32400000	34600000	gpos25
chr1	34600000	40100000	gneg
chr1	40100000	44100000	gpos25
chr1	44100000	46800000	gneg
chr1	46800000	50700000	gpos75
chr1	50700000	56100000	gneg
chr1	56100000	59000000	gpos50
chr1	59000000	61300000	gneg
chr1	61300000	68900000	gpos50
chr1	68900000	69700000	gneg
chr1	69700000	84900000	gpos100
chr1	84900000	88400000	gneg
chr1	88400000	92000000	gpos75
chr1	92000000	94700000	gneg
chr1	94700000	99700000	gpos75
chr1	99700000	102200000	gneg
chr1	102200000	107200000	gpos100
chr1	107200000	111800000	gneg
chr1	111800000	116100000	gpos50
chr1	116100000	117800000	gneg
chr1	117800000	120600000	gpos50
chr1	120600000	121500000	gneg
chr1	121500000	125000000	acen
chr1	125000000	128900000	acen
chr1	128900000	142600000	gvar
chr1	142600000	147000000	gneg
chr1	147000000	150300000	gpos50
chr1	150300000	155000000	gneg
chr1	155000000	156500000	gpos50
chr1	156500000	159100000	gneg
chr1	159100000	160500000	gpos50
chr1	160500000	165500000	gneg
chr1	165500000	167200000	gpos50
chr1	167200000	170900000	gneg
chr1	170900000	172900000	gpos75
chr1	172900000	176000000	gneg
chr1	176000000	180300000	gpos50
chr1	180300000	185800000	gneg
chr1	185800000	190800000	gpos100
chr1	190800000	193800000	gneg
chr1	193800000	198700000	gpos100
chr1	198700000	207200000	gneg
chr1	207200000	211500000	gpos25
chr1	211500000	214500000	gneg
chr1	214500000	224100000	gpos100
chr1	224100000	224600000	gneg
chr1	224600000	227000000	gpos25
chr1	227000000	230700000	gneg
chr1	230700000	234700000	gpos50
chr1	234700000	236600000	gneg
chr1	236600000	243700000	gpos75
chr1	243700000	249250621	gneg
chr2	0	4400000	gneg
chr2	4400000	7100000	gpos50
chr2	7100000	12200000	gneg
chr2	12200000	16700000	gpos75
chr2	16700000	19200000	gneg
chr2	19200000	24000000	gpos75
chr2	24000000	27900000	gneg
chr2	27900000	30000000	gpos25
chr2	30000000	32100000	gneg
chr2	32100000	36600000	gpos75
chr2	36600000	38600000	gneg
chr2	38600000	41800000	gpos50
chr2	41800000	47800000	gneg
chr2	47800000	52900000	gpos100
chr2	52900000	55000000	gneg
chr2	55000000	61300000	gpos100
chr2	61300000	64100000	gneg
chr2	64100000	68600000	gpos50
chr2	68600000	71500000	gneg
chr2	71500000	73500000	gpos50
chr2	73500000	75000000	gneg
chr2	75000000	83300000	gpos100
chr2	83300000	90500000	gneg
chr2	90500000	93300000	acen
chr2	93300000	96800000	acen
chr2	96800000	102700000	gneg
chr2	102700000	106000000	gpos50
chr2	106000000	107500000	gneg
