chr_name	start	end	log2FoldChange	padj	MSTRG_gene_id	v4_gene_model	v3_gene_model	function	source
chr8	78048174	78051398	10.2145936801089	3.1118931931306996e-63	MSTRG.52525	Zm00001d009727	GRMZM2G338696	Cytochrome c oxidase subunit 5b-2 mitochondrial	[source:homolog]
chr2	53590634	53668652	6.245494444008731	1.1328753231721799e-51	MSTRG.15531	Zm00001d003675	GRMZM2G391511	Nicotinate phosphoribosyltransferase 2	[source:homolog]
chr2	19071690	19082040	5.33597926440656	2.4695007932463797e-46	MSTRG.14143	Zm00001d002678	GRMZM2G322819	Prolyl oligopeptidase family protein	[source:homolog]
chr5	26179	35624	8.03246764481179	1.1545783633154899e-44	MSTRG.34326	Zm00001d012794	GRMZM2G054378	tRNA (guanine-N-7) methyltransferase	[source:homolog]
chr1	213971572	213974101	5.8032611681581505	4.59039670184322e-36	MSTRG.5832	Zm00001d032131	GRMZM5G817046	Scar-like domain-containing protein WAVE 5	[source:homolog]
chr1	190545391	190558314	6.13826357670421	1.6402345717269199e-35	MSTRG.5055	Zm00001d031453	GRMZM2G115442	3-oxoacyl-reductase  	 [source: RefGen_v3] 
B73V4_ctg150	597913	627204	8.489473715316219	3.33909806354246e-32	MSTRG.61232	Zm00001d000009	GRMZM2G053177		
chr1	113477268	113479006	4.83814883490902	4.106021138432999e-32	MSTRG.3466	Zm00001d030214	GRMZM2G154216	(Z)-3-hexen-1-ol acetyltransferase	[source:homolog]
chr2	36039302	36040798	5.44413152563132	1.57474161800982e-31	MSTRG.14972	Zm00001d003209	GRMZM2G138770	AAA-ATPase ASD mitochondrial	[source:homolog]
chr2	30707998	30716270	3.89271507242724	2.11666413436052e-30	MSTRG.14724	Zm00001d003058	GRMZM2G147256	Probable low-specificity L-threonine aldolase 1	[source:homolog]
chr5	241541	254837	5.24804243037209	8.249495496963578e-29	MSTRG.34314	Zm00001d012801	GRMZM2G309624	TRF-like 10	[source:homolog]
chr1	145543677	145545608	3.66612638391784	1.71553242065759e-27	MSTRG.3928	Zm00001d030577	GRMZM2G093020	Light-inducible protein CPRF-2  	 [source: RefGen_v3] 
chr6	58367181	58371339	6.05357046886204	6.46488949912244e-24	MSTRG.42414	Zm00001d035883	GRMZM2G132882	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha 2	[source:homolog]
chr6	73478014	73479134	3.7618551683707704	2.4680777965278196e-21	MSTRG.42733	Zm00001d036125	GRMZM2G014705	early nodulin-related	[source:homolog]
