chr_name	start	end	log2FoldChange	padj	MSTRG_transcript_id	MSTRG_gene_id	v4_gene_model	v3_gene_model	function	source
chr7	172075311	172079102	1.02440626732299	0.0424229118914428	Zm00001d022181_T009	MSTRG.52981	Zm00001d022184	GRMZM2G312954	Putative pentatricopeptide repeat-containing protein 	[source:homolog]
chr10	86460332	86461525	1.07851534056494	0.0311697455579623	Zm00001d024754_T001	MSTRG.11033	Zm00001d024754	GRMZM2G061135	S-adenosylmethionine synthase  	 [source: RefGen_v3] 
chr4	1738356	1741620	1.0898209433135	0.0459472286389578	Zm00001d048627_T004	MSTRG.27575	Zm00001d048627	GRMZM2G107082	ATP-citrate synthase alpha chain protein 3	[source:homolog]
chr8	176655420	176657307	1.09589620898114	0.0423776875361587	Zm00001d012561_T001	MSTRG.57575	Zm00001d012561	GRMZM2G012160	Cystatin2%3B Cysteine proteinase inhibitor%3B Putative cystatin  	 [source: RefGen_v3] 
chr8	39524445	39526550	1.13660023368045	0.0397263041836955	Zm00001d009146_T003	MSTRG.51878	Zm00001d009146	GRMZM2G054123	S-adenosylmethionine synthase  	 [source: RefGen_v3] 
chr3	126862185	126865901	1.16013887480398	0.0314664742482574	Zm00001d041550_T005	MSTRG.23762	Zm00001d041550	GRMZM2G340251	Heat shock 70 kDa protein 3	[source:homolog]
chr10	88836555	88842398	1.16112685744151	0.0396780539986145	Zm00001d024807_T008	MSTRG.11090	Zm00001d024807	GRMZM2G089484	 mpk6;MAP kinase6:	 [source: characterized gene (MaizeGDB_09082017)]
chr8	14850178	14977553	1.18680670454998	0.0323369025536304	MSTRG.51067.7	MSTRG.51067	Zm00001d008620	GRMZM2G052869	Metallothionein-like protein 2A	[source:homolog]
chr8	165320638	165322096	1.19158774133832	0.0312114943181904	Zm00001d011969_T001	MSTRG.55774	Zm00001d011969	GRMZM2G134073	NAC domain containing protein 84	[source:homolog]
chr3	229664702	229667973	1.2035610516603799	0.0361890579668339	Zm00001d044495_T003	MSTRG.27313	Zm00001d044495	GRMZM2G093032	 see2b;senescence enhanced2b:	 [source: characterized gene (MaizeGDB_09082017)]
chr1	239383174	239384367	1.20789796018427	0.0156204721328998	MSTRG.6668.10	MSTRG.6668	Zm00001d032825	GRMZM2G067315		
chr1	208252891	208254020	1.22310693499073	0.0345864226236653	Zm00001d031971_T001	MSTRG.5639	Zm00001d031961	GRMZM2G016439	Histidine-containing phosphotransfer protein 1	[source:homolog]
chr8	176655576	176657229	1.22876351313767	0.028551459190646	Zm00001d012561_T003	MSTRG.57575	Zm00001d012561	GRMZM2G012160	Cystatin2%3B Cysteine proteinase inhibitor%3B Putative cystatin  	 [source: RefGen_v3] 
chr10	13625420	13796140	1.23429380615324	0.0405210372859525	MSTRG.9602.1	MSTRG.9602	Zm00001d023658	GRMZM2G011136	aminopeptidases	[source:homolog]
chr4	1738321	1740467	1.25364406471157	0.00918197477026695	Zm00001d048627_T002	MSTRG.27575	Zm00001d048627	GRMZM2G107082	ATP-citrate synthase alpha chain protein 3	[source:homolog]
chr2	37956901	37964959	1.25848917553788	0.0297182702807513	Zm00001d003252_T006	MSTRG.15057	Zm00001d003252	GRMZM2G130230	 gpdh1;glucose-6-phosphate dehydrogenase1: leaf cDNA csu350	 5' sequence similar to plant glucose-6-phosphate dehydrogenase
chr5	2443185	2445218	1.27325941067916	0.00745000850017658	MSTRG.36129.5	MSTRG.36129	Zm00001d012966	GRMZM2G002825	Actin-depolymerizing factor 10	[source:homolog]
chr5	55870950	55872441	1.27490383932532	0.00573400016399021	Zm00001d014617_T001	MSTRG.35938	Zm00001d014617	GRMZM2G026980	Xyloglucan endotransglucosylase/hydrolase protein 14	[source:homolog]
chr3	177276334	177281584	1.27682377797738	0.0301076737012338	Zm00001d042695_T010	MSTRG.25110	Zm00001d042695	GRMZM2G110922	Serine/threonine-protein kinase SRK2A	[source:homolog]
chr2	33728501	34238856	1.27823783720071	0.00849488219686347	MSTRG.14930.4	MSTRG.14930	Zm00001d003157	GRMZM2G154397	S-adenosylmethionine decarboxylase proenzyme S-adenosylmethionine decarboxylase alpha chain S-adenosylmethionine decarboxylase beta chain 	 [source: RefGen_v3] 
chr10	86234745	86461787	1.28043265668468	0.0220548012075341	MSTRG.11033.3	MSTRG.11033	Zm00001d024754	GRMZM2G061135	S-adenosylmethionine synthase  	 [source: RefGen_v3] 
chr1	203993151	203996612	1.28586748264568	0.028074621020029996	MSTRG.5500.2	MSTRG.5500	Zm00001d031849	GRMZM2G115750	PMP	[source:homolog]
chr7	156488966	156504011	1.2883618107308001	0.0042517060340939395	Zm00001d021574_T004	MSTRG.50119	Zm00001d021574	GRMZM2G025242	Protein LAZ1	[source:homolog]
chr4	246781469	246784534	1.2915806180348	0.0459947147609511	Zm00001d054107_T006	MSTRG.34235	Zm00001d054107	GRMZM2G134806	FAM10 family protein 	[source:homolog]
chr5	39803963	39816036	1.29709526002949	0.0125611062961374	Zm00001d014294_T026	MSTRG.35513	Zm00001d014294	GRMZM2G377341	Acetyl-CoA carboxylase 1	[source:homolog]
chr5	84631295	84634152	1.30066721342262	0.0060595916331064705	Zm00001d015327_T003	MSTRG.37307	Zm00001d015327	GRMZM2G409726	 ubi1;ubiquitin1: genomic sequence	 7 contiguous direct ubiquitin repeats; transcript specific probe; promoter active in monocots
chr5	55870835	55872483	1.30258027269474	0.0305316220768108	MSTRG.35938.3	MSTRG.35938	Zm00001d014617	GRMZM2G026980	Xyloglucan endotransglucosylase/hydrolase protein 14	[source:homolog]
chr2	2812723	2813940	1.30859991662748	0.0400695805850406	Zm00001d001915_T001	MSTRG.13736	Zm00001d001915	GRMZM2G043932		
chr1	86001408	86007071	1.3212596825399	0.0106558122426945	Zm00001d029758_T004	MSTRG.2827	Zm00001d029758	GRMZM2G040743	Calcium-dependent protein kinase 6	[source:homolog]
