chr_name	start	end	log2FoldChange	padj	MSTRG_exon_id	MSTRG_gene_id	v4_gene_model	v3_gene_model	function	source
chr5	1397372	1397493	-23.23348677	4.219999999999999e-101	MSTRG.36062:E18	MSTRG.36062	Zm00001d012869	GRMZM2G138676	Shaggy-related protein kinase kappa	[source:homolog]
chr5	1397405	1397930	-22.40531449	5.439999999999999e-38	MSTRG.36062:E19	MSTRG.36062	Zm00001d012869	GRMZM2G138676	Shaggy-related protein kinase kappa	[source:homolog]
chr5	1393219	1393317	-22.329693399999996	9.979999999999999e-37	MSTRG.36062:E10	MSTRG.36062	Zm00001d012869	GRMZM2G138676	Shaggy-related protein kinase kappa	[source:homolog]
chr5	1389117	1390261	-22.31845274	5.4899999999999995e-36	MSTRG.36062:E3	MSTRG.36062	Zm00001d012869	GRMZM2G138676	Shaggy-related protein kinase kappa	[source:homolog]
chr5	1396977	1397060	-22.25643051	8.909999999999999e-32	MSTRG.36062:E16	MSTRG.36062	Zm00001d012869	GRMZM2G138676	Shaggy-related protein kinase kappa	[source:homolog]
chr5	1392376	1392867	-22.00734978	3.14e-23	MSTRG.36062:E2	MSTRG.36062	Zm00001d012869	GRMZM2G138676	Shaggy-related protein kinase kappa	[source:homolog]
chr5	1397405	1397901	-21.81862766	1.04e-20	MSTRG.36062:E12	MSTRG.36062	Zm00001d012869	GRMZM2G138676	Shaggy-related protein kinase kappa	[source:homolog]
chr5	1397405	1397884	-21.81294662	1.23e-20	MSTRG.36062:E17	MSTRG.36062	Zm00001d012869	GRMZM2G138676	Shaggy-related protein kinase kappa	[source:homolog]
chr5	1397405	1397901	-21.38529691	2.7e-13	MSTRG.36062:E11	MSTRG.36062	Zm00001d012869	GRMZM2G138676	Shaggy-related protein kinase kappa	[source:homolog]
chr5	1397372	1397493	-20.67369542	5.32e-07	MSTRG.36062:E20	MSTRG.36062	Zm00001d012869	GRMZM2G138676	Shaggy-related protein kinase kappa	[source:homolog]
chr5	1395934	1395990	-20.64052048	3.46e-07	MSTRG.36062:E7	MSTRG.36062	Zm00001d012869	GRMZM2G138676	Shaggy-related protein kinase kappa	[source:homolog]
chr2	30145393	30145467	-21.75070399	1.1999999999999999e-32	MSTRG.14827:E4	MSTRG.14827	Zm00001d003045	GRMZM5G882852	Beta-glucosidase 47	[source:homolog]
chr2	16891629	16891736	-21.69354524	1.9e-29	MSTRG.14096:E19	MSTRG.14096	Zm00001d002617	GRMZM2G161913	Protein CTR9 homolog	[source:homolog]
chr3	164365188	164365298	-20.00649789	2e-33	MSTRG.24721:E8	MSTRG.24721	Zm00001d042394	GRMZM2G401050	BLISTER	[source:homolog]
chr3	164364496	164364572	-2.080774496	2.9799999999999997e-28	MSTRG.24721:E7	MSTRG.24721	Zm00001d042394	GRMZM2G401050	BLISTER	[source:homolog]
chr8	77920138	77920197	-19.74733334	5.27e-15	MSTRG.52521:E13	MSTRG.52521	Zm00001d009724	GRMZM5G864412	TPR repeat-containing thioredoxin TTL1	[source:homolog]
chr8	77924672	77925632	-19.49402691	1.55e-10	MSTRG.52521:E12	MSTRG.52521	Zm00001d009724	GRMZM5G864412	TPR repeat-containing thioredoxin TTL1	[source:homolog]
chr6	152422225	152422849	-19.15467191	6.39e-06	MSTRG.45235:E5	MSTRG.45235	Zm00001d038252	GRMZM2G020859	 kch2;potassium channel2:	 [source: characterized gene (MaizeGDB_09082017)]
chr10	139787481	139787741	-18.85405735	0.00013055399999999998	MSTRG.12629:E2	MSTRG.12629	Zm00001d026147	GRMZM5G822829	 P;plant color component at R1: anthocyanin pigmentation in seedling leaf tip	 coleoptile
chr2	35245476	35245493	-18.81899555	4.899999999999999e-114	MSTRG.14992:E1	MSTRG.14992	Zm00001d003193	GRMZM2G089596	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	[source:homolog]
chr6	162595948	162596441	-18.77828641	7.34e-22	MSTRG.45850:E1	MSTRG.45850	Zm00001d038686	GRMZM2G176133		
chr6	162595948	162596441	-18.77828641	7.34e-22	MSTRG.45850:E1	MSTRG.45850	Zm00001d038691	GRMZM2G435445	Tubby-like F-box protein 7	[source:homolog]
chr3	174877179	174877217	-18.70670456	0.006082743000000001	MSTRG.24979:E2	MSTRG.24979	Zm00001d042639	GRMZM2G129444	Mitotic spindle checkpoint protein MAD1	[source:homolog]
chr8	42035050	42035342	-18.36534035	1.07e-09	MSTRG.51917:E4	MSTRG.51917	Zm00001d009193	GRMZM2G104390	GATA transcription factor 16	[source:homolog]
chr8	42035050	42035183	-15.73934593	3.6200000000000006e-05	MSTRG.51917:E2	MSTRG.51917	Zm00001d009193	GRMZM2G104390	GATA transcription factor 16	[source:homolog]
chr8	66189528	66189592	-18.17516774	1.86e-06	MSTRG.52295:E6	MSTRG.52295	Zm00001d009469	GRMZM2G372985	Protein PLASTID MOVEMENT IMPAIRED 2	[source:homolog]
chr8	66189528	66189592	-18.17516774	1.86e-06	MSTRG.52295:E6	MSTRG.52295	Zm00001d009474	GRMZM2G155746		
chr8	66189528	66189602	-2.01307051	9.949999999999999e-40	MSTRG.52295:E3	MSTRG.52295	Zm00001d009469	GRMZM2G372985	Protein PLASTID MOVEMENT IMPAIRED 2	[source:homolog]
chr8	66189528	66189602	-2.01307051	9.949999999999999e-40	MSTRG.52295:E3	MSTRG.52295	Zm00001d009474	GRMZM2G155746		
chr5	1293710	1293802	-18.05506161	1.82e-08	MSTRG.36054:E3	MSTRG.36054	Zm00001d012862	GRMZM2G399750	Pentatricopeptide repeat-containing protein  chloroplastic	[source:homolog]
chr5	1293710	1293802	-18.05506161	1.82e-08	MSTRG.36054:E3	MSTRG.36054	Zm00001d012863	GRMZM2G099160	Putative ion channel protein CASTOR  	 [source: RefGen_v3] 
chr5	1295372	1296639	-2.426296314	0.006713401999999999	MSTRG.36054:E6	MSTRG.36054	Zm00001d012862	GRMZM2G399750	Pentatricopeptide repeat-containing protein  chloroplastic	[source:homolog]
chr5	1295372	1296639	-2.426296314	0.006713401999999999	MSTRG.36054:E6	MSTRG.36054	Zm00001d012863	GRMZM2G099160	Putative ion channel protein CASTOR  	 [source: RefGen_v3] 
chr9	129721499	129721666	-17.82904174	8e-07	MSTRG.60082:E4	MSTRG.60082	Zm00001d047428	GRMZM2G117796	CDPK-related kinase 1	[source:homolog]
chr9	129721744	129721806	-7.537009324	1.7100000000000003e-21	MSTRG.60082:E3	MSTRG.60082	Zm00001d047428	GRMZM2G117796	CDPK-related kinase 1	[source:homolog]
chr3	167149139	167149243	-17.60175598	4.08e-11	MSTRG.24762:E9	MSTRG.24762	Zm00001d042435	GRMZM2G164165	CONTAINS InterPro DOMAIN/s: Beta-Casp domain (InterPro:IPR022712); BEST Arabidopsis thaliana protein match is: cleavage and polyadenylation specificity factor 73 kDa subunit-II (TAIR:AT2G01730.1); Has 624 Blast hits to 615 proteins in 160 species: A /.../- 54; Bacteria - 6; Metazoa - 333; Fungi - 44; Plants - 93; Viruses - 0; Other Eukaryotes - 94 (source: NCBI BLink).	[source:homolog]
chr5	1882330	1882716	-17.14913372	0.000340962	MSTRG.36099:E3	MSTRG.36099	Zm00001d012909	GRMZM2G133407	soluble epoxide hydrolase	[source:homolog]
chr5	1882330	1882716	-17.14913372	0.000340962	MSTRG.36099:E3	MSTRG.36099	Zm00001d012911	GRMZM2G138523	Huntingtin interacting protein K  	 [source: RefGen_v3] 
chr4	184667294	184667372	-16.98488068	1.6099999999999999e-10	MSTRG.32141:E2	MSTRG.32141	Zm00001d052247	GRMZM2G161566	Shikimate kinase 1 chloroplastic	[source:homolog]
chr3	227914860	227915535	-16.86420027	1.6299999999999997e-12	MSTRG.27236:E2	MSTRG.27236	Zm00001d044434	GRMZM2G339540	Probable inactive receptor kinase 	[source:homolog]
