chr_name	start	end	log2FoldChange	padj	MSTRG_transcript_id	MSTRG_gene_id	v4_gene_model	v3_gene_model	function	source
chr1	268794054	268803192	-15.5153275964616	0.00298205576925162	Zm00001d033616_T023	MSTRG.7561	Zm00001d033616	GRMZM2G323838	pescadillo-related	[source:homolog]
chr2	43088700	43091652	-12.950982698818601	1.8769572844546996e-63	Zm00001d003401_T005	MSTRG.15240	Zm00001d003401	GRMZM2G102499	14-3-3-like protein GF14-6  	 [source: RefGen_v3] 
chr3	158098798	158103606	-11.819212967910001	4.8528866730511197e-48	Zm00001d042267_T004	MSTRG.24553	Zm00001d042267	GRMZM2G338259	Auxin response factor 10  	 [source: RefGen_v3] 
chr2	175508800	175511603	-11.130456040479901	3.0468705173762293e-57	Zm00001d005478_T025	MSTRG.18074	Zm00001d005478	GRMZM2G082580	Cellulose synthase A catalytic subunit 5 [UDP-forming]	[source:homolog]
chr4	1547381	1692989	-11.0719084611891	6.32065916519248e-07	MSTRG.27562.3	MSTRG.27562	Zm00001d048625	GRMZM2G349791	O-methyltransferase ZRP4  	 [source: RefGen_v3] 
chr10	23887314	23897347	-10.8419849116099	1.1220586747506298e-08	Zm00001d023838_T001	MSTRG.9845	Zm00001d023838	GRMZM5G868647	Auxilin-related protein 1	[source:homolog]
chr10	75996717	76002908	-10.573337757849801	7.76324299124502e-10	Zm00001d024523_T064	MSTRG.10792	Zm00001d024523	GRMZM2G042992	Ramosa 1 enhancer locus 2%3B Ramosa1 enhancer locus2  	 [source: RefGen_v3] 
chr1	273294309	273300622	-10.4489195644866	6.85601984009804e-08	Zm00001d033775_T003	MSTRG.7720	Zm00001d033775	GRMZM2G000622	Probable phosphoribosylformylglycinamidine synthase chloroplastic/mitochondrial	[source:homolog]
chr2	171218602	171226049	-10.4474058752475	3.898752353504679e-25	Zm00001d005372_T003	MSTRG.17945	Zm00001d005372	GRMZM2G018356	Calcineurin-like metallo-phosphoesterase superfamily protein	[source:homolog]
chr5	76581535	76858713	-10.373283825715	2.3660181965953198e-07	MSTRG.37063.1	MSTRG.37063	Zm00001d015138	GRMZM2G017229		
chr5	186410821	186413913	-10.360120580557801	1.0862175447672701e-08	Zm00001d017129_T002	MSTRG.39560	Zm00001d017129	GRMZM2G408012		
chr1	272329484	272346752	-10.0623024852135	7.49077861634093e-11	Zm00001d033726_T006	MSTRG.7680	Zm00001d033726	GRMZM5G865999	Probable serine/threonine protein kinase IREH1	[source:homolog]
chr6	164017565	164027527	-10.0516916349309	1.15360964304046e-20	Zm00001d038762_T020	MSTRG.45719	Zm00001d038762	GRMZM2G043435	 rboh3;respiratory burst oxidase3:	 [source: characterized gene (MaizeGDB_09082017)]
chr1	31208608	31218917	-9.959757848781098	5.3732648486149096e-08	Zm00001d028339_T001	MSTRG.1323	Zm00001d028339	GRMZM2G072088	Whole genome shotgun sequence of line PN40024 scaffold_7.assembly12x (Fragment)	[source:homolog]
chr7	181798163	181799489	-9.8744976304773	4.9683020514236e-07	MSTRG.53490.6	MSTRG.53490	Zm00001d022630	GRMZM2G158394	 kin1;knotted1 induced1:	 [source: characterized gene (MaizeGDB_09082017)]
chr1	274078974	274085727	-9.83330563834169	0.000624636259912307	Zm00001d033799_T030	MSTRG.7771	Zm00001d033799	GRMZM2G157727	 phyA1;phytochromeA1: red/far red light signal receptor; major phytochrome A transcript in seedling leaf blade	 sheath and mesocotyl under dark light conditions; is greatly reduced in white or red light. See also phyA2
chr1	93744451	93750150	-9.796622985748789	0.0234831821124578	Zm00001d029910_T001	MSTRG.3100	Zm00001d029910	GRMZM2G082916	ARF guanine-nucleotide exchange factor GNOM	[source:homolog]
chr4	236276873	236286905	-9.75348073491076	0.000542802474311615	Zm00001d053609_T033	MSTRG.33778	Zm00001d053609	GRMZM2G141587	Putative coatomer beta subunit family protein  	 [source: RefGen_v3] 
