chr_name	start	end	val	color
hs1	45000000	49999999	0.070859	pink
hs1	55000000	59999999	0.30046	pink
hs1	60000000	64999999	0.125421	pink
hs1	70000000	74999999	0.158156	pink
hs1	75000000	79999999	0.16354	pink
hs1	80000000	84999999	0.342921	pink
hs1	85000000	89999999	0.180912	pink
hs1	95000000	99999999	0.36324	pink
hs1	100000000	104999999	0.179303	pink
hs1	105000000	109999999	0.172213	pink
hs1	110000000	114999999	0.067627	pink
hs1	115000000	119999999	0.230514	pink
hs1	140000000	144999999	0.069617	pink
hs1	150000000	154999999	0.000757	pink
hs1	155000000	159999999	0.075048	pink
hs1	160000000	164999999	0.251722	pink
hs1	165000000	169999999	0.142465	pink
hs1	170000000	174999999	0.197551	pink
hs1	175000000	179999999	0.127768	pink
hs1	180000000	184999999	0.156571	pink
hs1	185000000	189999999	0.141465	pink
hs1	190000000	194999999	0.134888	pink
hs1	195000000	199999999	0.063325	pink
hs1	205000000	209999999	0.163839	pink
hs1	215000000	219999999	0.2373	pink
hs2	0	4999999	0.011346	pink
hs2	15000000	19999999	0.270475	pink
hs2	20000000	24999999	0.169368	pink
hs2	50000000	54999999	0.124923	pink
hs2	55000000	59999999	0.312155	pink
hs2	65000000	69999999	0.107776	pink
hs2	75000000	79999999	0.158579	pink
hs2	80000000	84999999	0.128404	pink
hs2	115000000	119999999	0.140951	pink
hs2	135000000	139999999	0.127235	pink
hs2	140000000	144999999	0.211352	pink
hs2	145000000	149999999	0.392059	pink
hs2	150000000	154999999	0.144308	pink
hs2	155000000	159999999	0.242837	pink
hs2	160000000	164999999	0.360153	pink
hs2	165000000	169999999	0.247326	pink
hs2	175000000	179999999	0.318574	pink
hs2	180000000	184999999	0.269758	pink
hs2	185000000	189999999	0.187361	pink
hs2	190000000	194999999	0.114884	pink
hs2	195000000	199999999	0.223479	pink
hs2	205000000	209999999	0.130663	pink
hs2	210000000	214999999	0.242299	pink
hs2	215000000	219999999	0.042422	pink
hs2	220000000	224999999	0.115627	pink
hs2	240000000	244999999	0.000191	pink
hs3	0	4999999	0.254668	red
hs3	15000000	19999999	0.14233	pink
hs3	40000000	44999999	0.104252	pink
hs3	45000000	49999999	0.012736	pink
hs3	50000000	54999999	0.074515	pink
hs3	60000000	64999999	0.235448	pink
hs3	65000000	69999999	0.151597	pink
hs3	70000000	74999999	0.202422	pink
hs3	75000000	79999999	0.198831	pink
hs3	80000000	84999999	0.190274	pink
hs3	85000000	89999999	0.158496	pink
hs3	90000000	94999999	0.289692	pink
hs3	95000000	99999999	0.13667	pink
hs3	100000000	104999999	0.211257	pink
hs3	105000000	109999999	0.264618	pink
hs3	110000000	114999999	0.232718	pink
hs3	115000000	119999999	0.447877	pink
hs3	120000000	124999999	0.127344	pink
hs3	130000000	134999999	0.060828	pink
hs3	135000000	139999999	0.167436	pink
hs3	140000000	144999999	0.160368	pink
hs3	145000000	149999999	0.261633	pink
hs3	155000000	159999999	0.16783	pink
hs3	160000000	164999999	0.130948	pink
hs3	165000000	169999999	0.157522	pink
hs4	5000000	9999999	0.003871	pink
hs4	10000000	14999999	0.101899	pink
hs4	15000000	19999999	0.10506	pink
hs4	20000000	24999999	0.183899	pink
hs4	30000000	34999999	0.160165	pink
hs4	45000000	49999999	0.035085	pink
hs4	50000000	54999999	0.13747	pink
hs4	55000000	59999999	0.074321	pink
hs4	60000000	64999999	0.108696	pink
hs4	65000000	69999999	0.14502	pink
hs4	70000000	74999999	0.096959	pink
hs4	95000000	99999999	0.230866	pink
hs4	100000000	104999999	0.164243	pink
hs4	105000000	109999999	0.287146	pink
hs4	110000000	114999999	0.111103	pink
hs4	115000000	119999999	0.167513	pink
hs4	120000000	124999999	0.151372	pink
hs4	125000000	129999999	0.130052	pink
hs4	130000000	134999999	0.196394	pink
hs4	135000000	139999999	0.205271	pink
hs4	155000000	159999999	0.124661	pink
hs4	165000000	169999999	0.077013	pink
hs4	170000000	174999999	0.119523	pink
hs4	175000000	179999999	0.136018	pink
hs4	180000000	184999999	0.075189	pink
hs4	190000000	194999999	0.143221	pink
hs5	0	4999999	0.051608	pink
hs5	20000000	24999999	0.048667	pink
hs5	25000000	29999999	0.157727	pink
hs5	35000000	39999999	0.135251	pink
hs5	40000000	44999999	0.212151	pink
hs5	45000000	49999999	0.108005	pink
hs5	50000000	54999999	0.202523	pink
hs5	55000000	59999999	0.141756	pink
hs5	60000000	64999999	0.198889	pink
hs5	65000000	69999999	0.036018	pink
hs5	80000000	84999999	0.193057	pink
hs5	85000000	89999999	0.376494	pink
hs5	90000000	94999999	0.331613	pink
hs5	95000000	99999999	0.182445	pink
hs5	100000000	104999999	0.258081	pink
hs5	105000000	109999999	0.276651	pink
hs5	110000000	114999999	0.138339	pink
hs5	115000000	119999999	0.185728	pink
hs5	120000000	124999999	0.280432	pink
hs5	125000000	129999999	0.231587	pink
hs5	140000000	144999999	0.219056	pink
hs5	160000000	164999999	0.220651	pink
hs5	165000000	169999999	0.264562	pink
hs6	5000000	9999999	0.039022	pink
hs6	25000000	29999999	0.060995	pink
hs6	30000000	34999999	0.026132	pink
hs6	45000000	49999999	0.152129	pink
hs6	50000000	54999999	0.153833	pink
hs6	55000000	59999999	0.16414	pink
hs6	60000000	64999999	0.119126	pink
hs6	65000000	69999999	0.108043	pink
hs6	70000000	74999999	0.073205	pink
hs6	75000000	79999999	0.190887	pink
hs6	80000000	84999999	0.202893	pink
hs6	85000000	89999999	0.192816	pink
hs6	90000000	94999999	0.312103	pink
hs6	95000000	99999999	0.334671	pink
hs6	100000000	104999999	0.282048	pink
hs6	115000000	119999999	0.239301	pink
hs6	120000000	124999999	0.200419	pink
hs6	125000000	129999999	0.245078	pink
hs6	140000000	144999999	0.183516	pink
hs6	145000000	149999999	0.147346	pink
hs6	170000000	174999999	0.056223	pink
hs7	10000000	14999999	0.22298	pink
hs7	15000000	19999999	0.204196	pink
hs7	25000000	29999999	0.217879	pink
hs7	30000000	34999999	0.184464	pink
hs7	40000000	44999999	0.052866	pink
hs7	50000000	54999999	0.048205	pink
hs7	65000000	69999999	0.035049	pink
hs7	80000000	84999999	0.13274	pink
hs7	85000000	89999999	0.209133	pink
hs7	90000000	94999999	0.304275	pink
hs7	105000000	109999999	0.118309	pink
hs7	110000000	114999999	0.334958	pink
hs7	115000000	119999999	0.231211	pink
hs7	120000000	124999999	0.195226	pink
hs7	140000000	144999999	0.069827	pink
hs8	20000000	24999999	0.006915	pink
hs8	50000000	54999999	0.034235	pink
hs8	60000000	64999999	0.217537	pink
hs8	65000000	69999999	0.120969	pink
hs8	70000000	74999999	0.183611	pink
hs8	75000000	79999999	0.281687	pink
hs8	85000000	89999999	0.112075	pink
hs8	90000000	94999999	0.310729	pink
hs8	95000000	99999999	0.029676	pink
hs8	105000000	109999999	0.259072	pink
hs8	110000000	114999999	0.167306	pink
hs8	115000000	119999999	0.276128	pink
hs8	120000000	124999999	0.07873	pink
hs8	130000000	134999999	0.068647	pink
hs8	135000000	139999999	0.074395	pink
hs8	140000000	144999999	0.001728	pink
hs8	145000000	149999999	0.201011	pink
hs9	0	4999999	0.145533	pink
hs9	5000000	9999999	0.094978	pink
hs9	10000000	14999999	0.231767	pink
hs9	15000000	19999999	0.141332	pink
hs9	20000000	24999999	0.311918	pink
hs9	25000000	29999999	0.210772	pink
hs9	30000000	34999999	0.049249	pink
hs9	40000000	44999999	0.148875	pink
hs9	45000000	49999999	0.08773	pink
hs9	65000000	69999999	0.182395	pink
hs9	80000000	84999999	0.341093	pink
hs9	100000000	104999999	0.168489	pink
hs9	115000000	119999999	0.139553	pink
hs9	140000000	144999999	0.037919	pink
hs10	40000000	44999999	0.069198	pink
hs10	45000000	49999999	0.059373	pink
hs10	50000000	54999999	0.094541	pink
hs10	65000000	69999999	0.102449	pink
hs10	75000000	79999999	0.131872	pink
hs10	80000000	84999999	0.067972	pink
hs10	90000000	94999999	0.081228	pink
hs10	105000000	109999999	0.159827	pink
hs10	130000000	134999999	0.011768	pink
hs10	135000000	139999999	0.015948	pink
hs11	0	4999999	0.049448	pink
hs11	5000000	9999999	0.178401	pink
hs11	10000000	14999999	0.203679	pink
hs11	15000000	19999999	0.150254	pink
hs11	20000000	24999999	0.114591	pink
hs11	25000000	29999999	0.20258	pink
hs11	30000000	34999999	0.126903	pink
hs11	35000000	39999999	0.094663	pink
hs11	40000000	44999999	0.105383	pink
hs11	50000000	54999999	0.442162	pink
hs11	55000000	59999999	0.151954	pink
hs11	80000000	84999999	0.233682	red
hs11	85000000	89999999	0.097854	pink
hs11	90000000	94999999	0.202255	pink
hs11	95000000	99999999	0.161879	pink
hs11	100000000	104999999	0.036104	pink
hs11	110000000	114999999	0.240378	pink
hs11	120000000	124999999	0.119544	pink
hs11	125000000	129999999	0.129117	pink
hs11	130000000	134999999	0.13476	pink
hs12	15000000	19999999	0.20276	pink
hs12	30000000	34999999	0.010777	pink
hs12	35000000	39999999	0.112535	pink
hs12	40000000	44999999	0.195458	pink
hs12	55000000	59999999	0.147028	pink
hs12	70000000	74999999	0.177857	pink
hs12	75000000	79999999	0.129291	pink
hs12	80000000	84999999	0.162775	pink
hs12	85000000	89999999	0.233374	pink
hs12	110000000	114999999	0.010515	pink
hs12	125000000	129999999	0.021818	pink
hs12	130000000	134999999	0.03015	pink
hs13	35000000	39999999	0.153345	pink
hs13	50000000	54999999	0.117015	pink
hs13	55000000	59999999	0.182564	pink
hs13	60000000	64999999	0.187096	pink
hs13	65000000	69999999	0.177656	pink
hs13	70000000	74999999	0.179224	pink
hs13	75000000	79999999	0.230108	pink
hs13	80000000	84999999	0.099215	pink
hs13	85000000	89999999	0.102714	pink
hs13	100000000	104999999	0.121626	pink
hs13	110000000	114999999	0.052188	pink
hs14	15000000	19999999	0.212517	pink
hs14	20000000	24999999	0.097492	pink
hs14	25000000	29999999	0.332257	pink
hs14	35000000	39999999	0.302913	pink
hs14	40000000	44999999	0.137202	pink
hs14	65000000	69999999	0.133464	pink
hs14	80000000	84999999	0.145301	pink
hs14	95000000	99999999	0.031903	pink
hs14	105000000	109999999	0.21811	pink
hs15	15000000	19999999	0.169078	pink
hs15	30000000	34999999	0.195057	pink
hs15	35000000	39999999	0.035656	pink
hs15	50000000	54999999	0.140731	pink
hs15	55000000	59999999	0.093326	pink
hs15	65000000	69999999	0.116611	pink
hs15	75000000	79999999	0.036988	pink
hs15	90000000	94999999	0.146845	pink
hs15	95000000	99999999	0.050051	pink
hs15	100000000	104999999	0.290614	pink
hs16	30000000	34999999	0.030295	pink
hs16	50000000	54999999	0.151772	pink
hs16	60000000	64999999	0.125126	pink
hs17	45000000	49999999	0.072803	pink
hs18	20000000	24999999	0.236411	pink
hs18	25000000	29999999	0.15849	pink
hs18	30000000	34999999	0.231344	pink
hs18	35000000	39999999	0.259774	pink
hs18	40000000	44999999	0.096712	pink
hs18	45000000	49999999	0.042529	pink
hs18	60000000	64999999	0.081154	pink
hs18	65000000	69999999	0.051204	pink
hs18	70000000	74999999	0.025154	pink
hs19	0	4999999	0.088214	pink
hs19	5000000	9999999	0.031081	pink
hs19	15000000	19999999	0.003496	pink
hs19	20000000	24999999	0.676641	pink
hs19	45000000	49999999	0.035407	pink
hs19	60000000	64999999	0.068848	pink
hs20	10000000	14999999	0.271058	pink
hs20	15000000	19999999	0.103387	pink
hs20	20000000	24999999	0.062757	pink
hs20	50000000	54999999	0.004302	pink
hs20	55000000	59999999	0.027915	pink
hs21	10000000	14999999	0.081266	pink
hs21	15000000	19999999	0.142374	pink
hs21	20000000	24999999	0.080445	pink
hs21	25000000	29999999	0.042282	pink
hs22	45000000	49999999	0.018495	pink
hsX	10000000	14999999	0.339356	pink
hsX	15000000	19999999	0.110288	pink
hsX	20000000	24999999	0.259945	pink
hsX	25000000	29999999	0.295213	pink
hsX	30000000	34999999	0.241662	pink
hsX	35000000	39999999	0.296888	pink
hsX	45000000	49999999	0.092521	pink
hsX	50000000	54999999	0.237169	pink
hsX	55000000	59999999	0.473954	pink
hsX	60000000	64999999	0.400579	pink
hsX	65000000	69999999	0.447925	pink
hsX	70000000	74999999	0.261993	pink
hsX	75000000	79999999	0.281912	pink
hsX	80000000	84999999	0.392545	pink
hsX	85000000	89999999	0.362504	pink
hsX	90000000	94999999	0.361781	pink
hsX	95000000	99999999	0.524297	pink
hsX	100000000	104999999	0.295934	pink
hsX	105000000	109999999	0.464731	pink
hsX	110000000	114999999	0.343236	pink
hsX	115000000	119999999	0.152588	pink
hsX	120000000	124999999	0.386297	pink
hsX	125000000	129999999	0.377613	pink
hsX	130000000	134999999	0.208889	pink
hsX	135000000	139999999	0.370873	pink
hsX	140000000	144999999	0.230952	pink
hsX	145000000	149999999	0.377557	pink
hsX	150000000	154999999	0.181897	pink
hsY	5000000	9999999	0.031316	pink
hsY	10000000	14999999	0.066598	pink
hsY	55000000	59999999	0.644468	pink
