chr_name	start	end	val	color	gene
chrX	110488326	110513711	1	gray	CAPN6
chr5	115368168	115395186	1	gray	ARL14EPL
chr13	72012097	72441342	1	gray	DACH1
chr9	21367370	21368056	1	gray	IFNA13
chr6	44213902	44221625	1	gray	HSP90AB1
chr3	15247752	15294423	1	gray	CAPN7
chrX	85403454	86087605	1	gray	DACH2
chr9	21239000	21240004	1	gray	IFNA14
chr1	223714978	223853403	1	gray	CAPN8
chr7	32535100	32628338	1	gray	AVL9
chr2	152341852	152591001	1	gray	NEB
chr1	230883129	230937734	1	gray	CAPN9
chr9	21216371	21217310	1	gray	IFNA16
chr9	21227241	21228221	1	gray	IFNA17
chr2	33172019	33624575	1	gray	LTBP1
chr19	58053205	58071231	1	gray	ZNF550
chr14	74964885	75078940	1	gray	LTBP2
chr19	58193344	58202016	1	gray	ZNF551
chr11	65306029	65325830	1	gray	LTBP3
chr19	58318449	58326281	1	gray	ZNF552
chr19	41099071	41135725	1	gray	LTBP4
chr19	17337034	17340028	1	gray	OCEL1
chr19	2819865	2836733	1	gray	ZNF554
chr17	36827958	36831210	1	gray	EPOP
chr5	140053488	140071312	1	gray	HARS1
chr3	138722803	138725110	1	gray	PRR23A
chr19	2841472	2860469	1	gray	ZNF555
chr5	140071039	140078890	1	gray	HARS2
chr3	138737872	138739768	1	gray	PRR23B
chr19	11487882	11494990	1	gray	EPOR
chr19	2867332	2883443	1	gray	ZNF556
chr3	138760943	138763734	1	gray	PRR23C
chr22	29834571	29838444	1	gray	RFPL1
chr19	7069713	7087978	1	gray	ZNF557
chr22	32586421	32600836	1	gray	RFPL2
chr19	8916845	8942980	1	gray	ZNF558
chr22	32750871	32757148	1	gray	RFPL3
chr19	9434447	9456574	1	gray	ZNF559
chr14	20528203	20529142	1	gray	OR4L1
chr13	45967453	45992590	1	gray	SLC25A30
chr4	128651554	128695447	1	gray	SLC25A31
chr17	26941457	26972177	1	gray	KIAA0100
chr8	104410865	104427335	1	gray	SLC25A32
chr7	2552162	2568810	1	gray	LFNG
chr1	32757683	32799227	1	gray	HDAC1
chr6	114254191	114292312	1	gray	HDAC2
chr1	9599523	9645231	1	gray	SLC25A33
chr11	69455923	69469242	1	gray	CCND1
chr5	141000442	141016423	1	gray	HDAC3
chr1	156638554	156647199	1	gray	NES
chr1	16062752	16067887	1	gray	SLC25A34
chr17	8191080	8198718	1	gray	SLC25A35
chr12	46312913	46384357	1	gray	SCAF11
chr12	4382927	4414518	1	gray	CCND2
chr8	11921897	12175825	1	gray	DEFB130A
chr2	239969863	240323343	1	gray	HDAC4
chr17	42154120	42201009	1	gray	HDAC5
chr8	11921897	12175825	1	gray	DEFB130B
chr6	41902670	42016632	1	gray	CCND3
chr3	140660677	140699837	1	gray	SLC25A36
chr1	53527884	53551166	1	gray	PODN
chrX	48659804	48683392	1	gray	HDAC6
chr20	48697660	48732494	1	gray	UBE2V1
chr10	96162297	96296089	1	gray	TBC1D12
chr8	74888376	74895018	1	gray	TMEM70
chr8	23386468	23432976	1	gray	SLC25A37
chr12	48176506	48213686	1	gray	HDAC7
chr9	131549485	131572711	1	gray	TBC1D13
chr9	67271982	67289282	1	gray	LOC100509620
chr8	133718084	133788245	1	gray	TMEM71
chr8	48920990	48977268	1	gray	UBE2V2
chr7	112756772	112758637	1	gray	SMIM30
chr3	125688020	125702296	1	gray	ROPN1B
chr3	39424860	39438842	1	gray	SLC25A38
chr1	13409134	13635299	1	gray	PRAMEF33
chrX	71549365	71792953	1	gray	HDAC8
chr17	42396992	42402238	1	gray	SLC25A39
chr10	45406763	45432458	1	gray	TMEM72
chr4	165675282	165724947	1	gray	SMIM31
chr4	6911170	7034845	1	gray	TBC1D14
chr20	61436186	61445352	1	gray	OGFR
chr12	72233538	72321030	1	gray	TBC1D15
chr7	18126447	19042037	1	gray	HDAC9
chr5	135527155	135528850	1	gray	SMIM32
chr4	70146192	70160768	1	gray	UGT2B28
chr17	77906141	78009671	1	gray	TBC1D16
chr8	109791202	109799823	1	gray	TMEM74
chr5	138850588	138853285	1	gray	SMIM33
chr19	50380958	50392007	1	gray	TBC1D17
chr11	117884462	117957678	1	gray	SMIM35
chr9	20658307	20995954	1	gray	FOCAD
chr10	58116988	58121034	1	gray	ZWINT
chr4	26585545	26757845	1	gray	TBC1D19
chr19	14583277	14586166	1	gray	PTGER1
chr12	120779132	120806967	1	gray	MSI1
chr5	172261253	172379685	1	gray	ERGIC1
chr17	55333211	55762050	1	gray	MSI2
chr14	52781029	52795313	1	gray	PTGER2
chr12	29490285	29534105	1	gray	ERGIC2
chr11	68923402	68926819	1	gray	SMIM38
chr1	156254115	156262234	1	gray	TMEM79
chr20	34129826	34145405	1	gray	ERGIC3
chr18	47901415	47920538	1	gray	SKA1
chr13	98086422	98121382	1	gray	RAP2A
chr3	158519842	158547508	1	gray	MFSD1
chr1	71318040	71513499	1	gray	PTGER3
chr1	28832554	28865501	1	gray	RCC1
chrY	24217902	24660784	1	gray	PRY2
chr17	57187217	57232547	1	gray	SKA2
chr5	40680016	40693837	1	gray	PTGER4
chr5	10441990	10465138	1	gray	ROPN1L
chr3	152880014	152888415	1	gray	RAP2B
chr1	17733255	17766173	1	gray	RCC2
chrX	131337051	131353508	1	gray	RAP2C
chr13	21727733	21750691	1	gray	SKA3
chr8	145734452	145736596	1	gray	MFSD3
chr4	56294067	56413076	1	gray	CLOCK
chr3	52870749	52931564	1	gray	STIMATE
chr1	110230438	110236367	1	gray	GSTM1
chr2	234216461	234255701	1	gray	SAG
chr1	110210643	110226619	1	gray	GSTM2
chr2	86668493	86719839	1	gray	KDM3A
chr15	66679249	66783882	1	gray	MAP2K1
chr12	53645369	53648190	1	gray	MFSD5
chr5	137688373	137772716	1	gray	KDM3B
chr1	110276558	110283660	1	gray	GSTM3
chr19	4090319	4124119	1	gray	MAP2K2
chr1	110198720	110208119	1	gray	GSTM4
chr2	191272301	191367040	1	gray	MFSD6
chr19	45202420	45213990	1	gray	CEACAM16
chr17	21188022	21218551	1	gray	MAP2K3
chr1	110254872	110260890	1	gray	GSTM5
chr19	13215713	13227554	1	gray	TRMT1
chr17	11924193	12047143	1	gray	MAP2K4
chr9	140194082	140196723	1	gray	NRARP
chr5	37812778	37840143	1	gray	GDNF
chr4	128838886	128887118	1	gray	MFSD8
chr19	51981896	51993859	1	gray	CEACAM18
chr15	67835040	68099452	1	gray	MAP2K5
chr2	103331084	103353347	1	gray	MFSD9
chr19	45174723	45187627	1	gray	CEACAM19
chr17	67410837	67550006	1	gray	MAP2K6
chr10	81370694	81375211	1	gray	SFTPA1
chr19	7968761	7979363	1	gray	MAP2K7
chr17	17408876	17495022	1	gray	PEMT
chr10	81315607	81320163	1	gray	SFTPA2
chr14	61438166	61448408	1	gray	TRMT5
chr10	71561661	71718900	1	gray	COL13A1
chr1	153232162	153234600	1	gray	LORICRIN
chr20	5917873	5931204	1	gray	TRMT6
chr1	70610487	70671262	1	gray	LRRC40
chr1	46743133	46769288	1	gray	LRRC41
chr1	54412022	54433841	1	gray	LRRC42
chr2	109150126	109303702	1	gray	LIMS1
chr12	122652265	122688018	1	gray	LRRC43
chr9	88161453	88356944	1	gray	AGTPBP1
chr2	128395955	128439360	1	gray	LIMS2
chr2	110656264	111230396	1	gray	LIMS3
chr21	45646721	45660849	1	gray	LOC102723996
chr17	79981180	79989027	1	gray	LRRC45
chr17	76183397	76203782	1	gray	AFMID
chr9	139981436	140003635	1	gray	MAN1B1
chr2	110656008	111230652	1	gray	LIMS4
chr21	45432189	45526432	1	gray	TRAPPC10
chr17	45909035	45915084	1	gray	LRRC46
chr4	184580419	184634747	1	gray	TRAPPC11
chr1	3695122	3713062	1	gray	LRRC47
chr2	3383445	3483342	1	gray	TRAPPC12
chr1	17531622	17572502	1	gray	PADI1
chr16	4853203	4897303	1	gray	GLYR1
chr15	71145577	71345997	1	gray	LRRC49
chr5	64920557	64962060	1	gray	TRAPPC13
chr1	85015293	85040123	1	gray	CTBS
chr1	247670359	247740992	1	gray	GCSAML
chr1	17393255	17445946	1	gray	PADI2
chr14	50110269	50155098	1	gray	POLE2
