chr_name	start	end	log2FoldChange	padj	MSTRG_transcript_id	MSTRG_gene_id	v4_gene_model	v3_gene_model	function	source
chr2	43088700	43091652	-12.950982698818601	1.8769572844546996e-63	Zm00001d003401_T005	MSTRG.15240	Zm00001d003401	GRMZM2G102499	14-3-3-like protein GF14-6  	 [source: RefGen_v3] 
chr3	158098798	158103606	-11.819212967910001	4.8528866730511197e-48	Zm00001d042267_T004	MSTRG.24553	Zm00001d042267	GRMZM2G338259	Auxin response factor 10  	 [source: RefGen_v3] 
chr2	175508800	175511603	-11.130456040479901	3.0468705173762293e-57	Zm00001d005478_T025	MSTRG.18074	Zm00001d005478	GRMZM2G082580	Cellulose synthase A catalytic subunit 5 [UDP-forming]	[source:homolog]
chr4	1547381	1692989	-11.0719084611891	6.32065916519248e-07	MSTRG.27562.3	MSTRG.27562	Zm00001d048625	GRMZM2G349791	O-methyltransferase ZRP4  	 [source: RefGen_v3] 
chr10	23887314	23897347	-10.8419849116099	1.1220586747506298e-08	Zm00001d023838_T001	MSTRG.9845	Zm00001d023838	GRMZM5G868647	Auxilin-related protein 1	[source:homolog]
chr10	75996717	76002908	-10.573337757849801	7.76324299124502e-10	Zm00001d024523_T064	MSTRG.10792	Zm00001d024523	GRMZM2G042992	Ramosa 1 enhancer locus 2%3B Ramosa1 enhancer locus2  	 [source: RefGen_v3] 
chr1	273294309	273300622	-10.4489195644866	6.85601984009804e-08	Zm00001d033775_T003	MSTRG.7720	Zm00001d033775	GRMZM2G000622	Probable phosphoribosylformylglycinamidine synthase chloroplastic/mitochondrial	[source:homolog]
chr2	171218602	171226049	-10.4474058752475	3.898752353504679e-25	Zm00001d005372_T003	MSTRG.17945	Zm00001d005372	GRMZM2G018356	Calcineurin-like metallo-phosphoesterase superfamily protein	[source:homolog]
chr5	76581535	76858713	-10.373283825715	2.3660181965953198e-07	MSTRG.37063.1	MSTRG.37063	Zm00001d015138	GRMZM2G017229		
chr5	186410821	186413913	-10.360120580557801	1.0862175447672701e-08	Zm00001d017129_T002	MSTRG.39560	Zm00001d017129	GRMZM2G408012		
chr1	272329484	272346752	-10.0623024852135	7.49077861634093e-11	Zm00001d033726_T006	MSTRG.7680	Zm00001d033726	GRMZM5G865999	Probable serine/threonine protein kinase IREH1	[source:homolog]
chr6	164017565	164027527	-10.0516916349309	1.15360964304046e-20	Zm00001d038762_T020	MSTRG.45719	Zm00001d038762	GRMZM2G043435	 rboh3;respiratory burst oxidase3:	 [source: characterized gene (MaizeGDB_09082017)]
chr1	31208608	31218917	-9.959757848781098	5.3732648486149096e-08	Zm00001d028339_T001	MSTRG.1323	Zm00001d028339	GRMZM2G072088	Whole genome shotgun sequence of line PN40024 scaffold_7.assembly12x (Fragment)	[source:homolog]
chr7	181798163	181799489	-9.8744976304773	4.9683020514236e-07	MSTRG.53490.6	MSTRG.53490	Zm00001d022630	GRMZM2G158394	 kin1;knotted1 induced1:	 [source: characterized gene (MaizeGDB_09082017)]
chr1	274078974	274085727	-9.83330563834169	0.000624636259912307	Zm00001d033799_T030	MSTRG.7771	Zm00001d033799	GRMZM2G157727	 phyA1;phytochromeA1: red/far red light signal receptor; major phytochrome A transcript in seedling leaf blade	 sheath and mesocotyl under dark light conditions; is greatly reduced in white or red light. See also phyA2
chr1	93744451	93750150	-9.796622985748789	0.0234831821124578	Zm00001d029910_T001	MSTRG.3100	Zm00001d029910	GRMZM2G082916	ARF guanine-nucleotide exchange factor GNOM	[source:homolog]
chr4	236276873	236286905	-9.75348073491076	0.000542802474311615	Zm00001d053609_T033	MSTRG.33778	Zm00001d053609	GRMZM2G141587	Putative coatomer beta subunit family protein  	 [source: RefGen_v3] 
chr5	185267366	185270683	-9.74686106786257	3.7112388664486605e-07	Zm00001d017096_T019	MSTRG.39526	Zm00001d017096	GRMZM2G179308	Serine/threonine-protein kinase AFC2	[source:homolog]
chr5	1891852	1900873	-9.71027482951419	3.2196805899621094e-32	MSTRG.36105.1	MSTRG.36105	Zm00001d012913	GRMZM2G138511	Chaperone DnaJ-domain superfamily protein	[source:homolog]
chr2	243376655	243381295	-9.70476772750819	2.5341609930956897e-23	Zm00001d007932_T001	MSTRG.20907	Zm00001d007932	GRMZM5G856071	Probable disease resistance protein 	[source:homolog]
chr7	11773333	11774450	-9.644209855330269	0.011288706893526002	Zm00001d018981_T005	MSTRG.46830	Zm00001d018981	GRMZM2G401308	 his1a;histone1a: cDNA sequences	 SSR umc1577
chr10	21192744	21198690	-9.58599488226425	0.0276113395166429	Zm00001d023795_T001	MSTRG.9791	Zm00001d023795	GRMZM2G331368	E3 ubiquitin-protein ligase UPL1	[source:homolog]
chr7	181798165	181799397	-9.57512129099367	4.377631493510429e-07	Zm00001d022630_T001	MSTRG.53490	Zm00001d022630	GRMZM2G158394	 kin1;knotted1 induced1:	 [source: characterized gene (MaizeGDB_09082017)]
chr1	159025010	159029990	-9.56593866544776	0.0018243208150867899	Zm00001d030770_T002	MSTRG.4171	Zm00001d030770	GRMZM2G076911	Diacylglycerol kinase 1  	 [source: RefGen_v3] 
chr10	954795	962851	-9.541866015782501	8.057920753480641e-10	Zm00001d023230_T020	MSTRG.9112	Zm00001d023230	GRMZM2G048067	Regulatory-associated protein of TOR 1	[source:homolog]
chr8	20367872	20375101	-9.52902380226331	7.43082691673104e-10	MSTRG.51355.11	MSTRG.51355	Zm00001d008791	GRMZM2G167554	Putative AGC protein kinase family protein  	 [source: RefGen_v3] 
chr7	5392511	5399222	-9.524583502736949	0.004663773477259	Zm00001d018798_T004	MSTRG.46607	Zm00001d018798	GRMZM2G013114	IAP-like protein 1	[source:homolog]
chr3	147774833	147787003	-9.46327522473447	0.00396019930556891	Zm00001d042028_T012	MSTRG.24315	Zm00001d042028	GRMZM2G302913	LOCATED IN: vacuole; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: FBD F-box and Leucine Rich Repeat domains containing protein (TAIR:AT1G22000.1); Has 84739 Blast hits to 38714 p /.../s in 2257 species: Archae - 1436; Bacteria - 11314; Metazoa - 40747; Fungi - 7706; Plants - 4675; Viruses - 308; Other Eukaryotes - 18553 (source: NCBI BLink).	[source:homolog]
chr7	177459333	177465043	-9.35816260337381	7.221512361844699e-23	Zm00001d022428_T005	MSTRG.53257	Zm00001d022428	GRMZM2G017894	Probable galacturonosyltransferase 7	[source:homolog]
chr6	161716664	161718253	-9.28882028411656	6.182049983871191e-16	Zm00001d038649_T003	MSTRG.45814	Zm00001d038649	GRMZM2G006207	14-3-3-like protein GF14 nu	[source:homolog]
chr10	135279807	135286890	-9.28724145715783	1.77257961585447e-09	Zm00001d025981_T002	MSTRG.12604	Zm00001d025981	GRMZM2G126665	RNA-binding (RRM/RBD/RNP motifs) family protein	[source:homolog]
chr5	185786433	185793791	-9.26965060671316	0.000420634922806994	Zm00001d017114_T004	MSTRG.39541	Zm00001d017114	GRMZM2G144166	 tel2;telomere maintenance2:	 [source: characterized gene (MaizeGDB_09082017)]
chr2	26418750	26428989	-9.255169002466461	2.2743461345971e-24	Zm00001d002917_T001	MSTRG.14651	Zm00001d002917	GRMZM2G337792	RNA-binding region RNP-1  	 [source: RefGen_v3] 
chr5	197532993	197533798	-9.24123070181625	4.70495808758583e-12	MSTRG.40021.8	MSTRG.40021	Zm00001d017494	GRMZM2G327266	Expansin-B4	[source:homolog]
chr5	116594014	116649911	-9.19760496847545	4.15901187861504e-05	Zm00001d015754_T001	MSTRG.37922	Zm00001d015754	GRMZM2G056661	Nuclear pore complex protein NUP205	[source:homolog]
chr9	40487330	40494877	-9.12002142914993	7.61358764421748e-09	Zm00001d045808_T065	MSTRG.58036	Zm00001d045808	GRMZM2G076303	WW domain-containing protein	[source:homolog]
chr2	21822630	21825221	-9.100349471730551	1.0231461211155199e-09	MSTRG.14497.6	MSTRG.14497	Zm00001d002759	GRMZM2G175816	Nudix hydrolase 8	[source:homolog]
chr7	16899619	16907272	-9.08324750526091	1.7037072655065702e-16	Zm00001d019106_T003	MSTRG.46890	Zm00001d019106	GRMZM2G178618	Coatomer subunit gamma  	 [source: RefGen_v3] 
chr2	4150426	4154404	-9.04662214932299	1.10245964230862e-09	Zm00001d002000_T007	MSTRG.13828	Zm00001d002000	GRMZM2G040095	 lox6;lipoxygenase6:	 [source: characterized gene (MaizeGDB_09082017)]
chr1	243735038	243745136	-9.02835104616162	1.2530899438320701e-08	MSTRG.6762.7	MSTRG.6762	Zm00001d032933	GRMZM2G324390	Protein NETWORKED 1A	[source:homolog]
chr8	162918720	162923330	-9.0283398856633	2.24857804255177e-06	Zm00001d011854_T092	MSTRG.55742	Zm00001d011854	GRMZM2G180988	Villin-2	[source:homolog]
chr10	129941880	129946474	-8.99312417936124	0.00106443980606052	Zm00001d025799_T005	MSTRG.12342	Zm00001d025799	GRMZM2G061537	Calmodulin-binding receptor-like cytoplasmic kinase 3	[source:homolog]
chr2	134905738	134916670	-8.873596915664221	0.00168452506922525	Zm00001d004737_T008	MSTRG.17175	Zm00001d004737	GRMZM2G335126	Armadillo/beta-catenin-like repeat ; C2 calcium/lipid-binding domain (CaLB) protein	[source:homolog]
chr4	162051563	162062835	-8.81636977100017	1.75183894612464e-06	Zm00001d051545_T003	MSTRG.31308	Zm00001d051545	GRMZM2G106931	Probable GTP diphosphokinase RSH2 chloroplastic	[source:homolog]
chr1	59846918	59876672	-8.776605826505701	0.0011487024632522301	Zm00001d029134_T008	MSTRG.2133	Zm00001d029134	GRMZM2G552278	CW-type Zinc Finger	[source:homolog]
chr1	207518347	207529597	-8.73919436849984	3.11737133605688e-20	MSTRG.5607.2	MSTRG.5607	Zm00001d031940	GRMZM2G058402	F1F0-ATPase inhibitor protein	[source:homolog]
chr8	169041112	169048925	-8.69282321539093	0.014675807161114	Zm00001d012155_T012	MSTRG.56034	Zm00001d012155	GRMZM5G813206	ARM repeat superfamily protein	[source:homolog]
chr8	117172710	117177262	-8.649640082122211	0.000419562553167605	MSTRG.54109.3	MSTRG.54109	Zm00001d010478	GRMZM2G149211	Peroxisomal adenine nucleotide carrier 1	[source:homolog]
chr7	181798131	181847567	-8.51548183675166	1.20927572335421e-05	MSTRG.53490.4	MSTRG.53490	Zm00001d022630	GRMZM2G158394	 kin1;knotted1 induced1:	 [source: characterized gene (MaizeGDB_09082017)]
chr2	84496026	84510237	-8.512623783871879	0.004936839079619029	Zm00001d004125_T056	MSTRG.16230	Zm00001d004125	GRMZM5G858094	 acc2;acetyl-CoA carboxylase2: graminicide (e.g.	 sethoxydim
chr9	30191058	30217582	-8.48094726378879	0.0071980085663158905	Zm00001d045635_T015	MSTRG.57823	Zm00001d045635	GRMZM2G472428	Helicase protein MOM1	[source:homolog]
chr9	157420948	157428637	-8.38435144820976	0.0154905382396506	Zm00001d048501_T007	MSTRG.61959	Zm00001d048501	GRMZM2G303312	evolutionarily conserved C-terminal region 11	[source:homolog]
chr1	279077286	279107998	-8.38090653441034	0.000350628182107879	MSTRG.7950.3	MSTRG.7950	Zm00001d033935	GRMZM2G033135	Serine/threonine-protein kinase TOR	[source:homolog]
chr5	11966175	11968379	-8.37140699885745	6.367818864735889e-05	Zm00001d013453_T001	MSTRG.34749	Zm00001d013453	GRMZM2G123459	DEAD-box ATP-dependent RNA helicase 21	[source:homolog]
chr2	18554643	18564104	-8.35382594122961	1.8223753019209498e-10	Zm00001d002658_T012	MSTRG.14118	Zm00001d002658	GRMZM2G176647	Transducin/WD40 repeat-like superfamily protein	[source:homolog]
chr5	81980417	81993607	-8.35088219915192	0.010645149553908	MSTRG.37242.10	MSTRG.37242	Zm00001d015265	GRMZM2G033138	Pathogenesis-related homeodomain protein	[source:homolog]
chr2	46242738	46247103	-8.34126838082207	0.0394105478049975	Zm00001d003509_T006	MSTRG.15327	Zm00001d003509	GRMZM2G015610	Probable protein phosphatase 2C 12	[source:homolog]
chr1	143495794	143510856	-8.33065797602782	0.0127435850486755	Zm00001d030554_T008	MSTRG.3904	Zm00001d030554	GRMZM2G449779	Pumilio homolog 23	[source:homolog]
chr7	181066448	181072500	-8.32980364843472	7.412060639531449e-19	MSTRG.53453.32	MSTRG.53453	Zm00001d022621	GRMZM2G386824	Beta-galactosidase 11	[source:homolog]
chr10	127564995	127567765	-8.320543959597849	3.23511013525893e-20	MSTRG.12252.12	MSTRG.12252	Zm00001d025722	GRMZM2G306348	ATP-dependent DNA helicase Q-like 5	[source:homolog]
chr10	127564876	127568743	-8.31130757075821	7.67360466697465e-08	MSTRG.12252.11	MSTRG.12252	Zm00001d025722	GRMZM2G306348	ATP-dependent DNA helicase Q-like 5	[source:homolog]
chr2	83489835	83491541	-8.302632120820281	9.17437360359089e-06	Zm00001d004115_T010	MSTRG.16142	Zm00001d004115	GRMZM5G867918		
chr2	29217621	29229499	-8.27336181586847	2.61163179191763e-07	MSTRG.14688.5	MSTRG.14688	Zm00001d003002	GRMZM5G831795	IAA-amino acid hydrolase ILR1-like 3  	 [source: RefGen_v3] 
chr2	60752692	60763041	-8.25218589296344	6.62692409008484e-33	Zm00001d003817_T011	MSTRG.15706	Zm00001d003817	GRMZM2G073054	Starch branching enzyme IIa  	 [source: RefGen_v3] 
chr6	164016473	164027545	-8.23444141154938	0.0323823408597293	Zm00001d038762_T012	MSTRG.45719	Zm00001d038762	GRMZM2G043435	 rboh3;respiratory burst oxidase3:	 [source: characterized gene (MaizeGDB_09082017)]
chr10	1565438	1588782	-8.20733114721283	0.000146000883483455	Zm00001d023262_T020	MSTRG.9166	Zm00001d023262	GRMZM5G886363	 brk3;brick3: Involved in formation of epidermal cell lobes as well as for properly polarized divisions of stomatal subsidiary mother cells.	 [source: characterized gene (MaizeGDB_09082017)]
chr1	98890271	98893863	-8.20725594198311	0.000775039163021697	MSTRG.3190.1	MSTRG.3190	Zm00001d030007	GRMZM2G349185		
chr5	220896917	220900780	-8.20341865132274	0.000154982876291035	Zm00001d018440_T001	MSTRG.41918	Zm00001d018440	GRMZM2G150932	casein kinase I	[source:homolog]
chr1	151464307	151472443	-8.196843103044879	4.309534426907929e-07	Zm00001d030659_T008	MSTRG.4126	Zm00001d030659	GRMZM2G424181	modifier of snc1	[source:homolog]
chr8	96089913	96110811	-8.19582253148504	0.0139627089414724	Zm00001d010029_T031	MSTRG.53593	Zm00001d010029	GRMZM2G432083	Cation-chloride cotransporter 1	[source:homolog]
chr3	212421420	212447192	-8.17725222470582	2.4201451868199297e-06	MSTRG.26550.21	MSTRG.26550	Zm00001d043855	GRMZM2G077607	DUF1639 family protein	[source:homolog]
chr5	76842021	76858234	-8.16829823867733	3.3999086028077697e-16	MSTRG.37063.6	MSTRG.37063	Zm00001d015138	GRMZM2G017229		
chr5	167108695	167128107	-8.15146541037227	6.27543836868542e-05	MSTRG.38916.1	MSTRG.38916	Zm00001d016552	GRMZM2G012690	ubiquitin-associated (UBA)/TS-N domain-containing protein	[source:homolog]
chr2	171219759	171225850	-8.14328495374558	8.888884924183588e-28	Zm00001d005372_T013	MSTRG.17945	Zm00001d005372	GRMZM2G018356	Calcineurin-like metallo-phosphoesterase superfamily protein	[source:homolog]
chr1	117620233	117694898	-8.14248565573933	0.0366127418902338	Zm00001d030266_T044	MSTRG.3571	Zm00001d030266	GRMZM2G326643	Callose synthase 10	[source:homolog]
chr10	96586463	96592053	-8.13201238725845	0.00024495422553970803	Zm00001d024952_T007	MSTRG.11296	Zm00001d024952	GRMZM5G858454	 aco2;aconitase2: electrophoretic mobility	 [source: characterized gene (MaizeGDB_09082017)]
chr5	194465352	194478968	-8.11442657589714	1.0525038551427198e-09	MSTRG.39870.3	MSTRG.39870	Zm00001d017395	GRMZM2G315121	Thylakoid lumenal protein TL20.3 chloroplastic	[source:homolog]
chr6	151951692	151955613	-8.09909171618858	7.74450786312818e-05	Zm00001d038222_T003	MSTRG.45205	Zm00001d038222	GRMZM2G018971	Probable magnesium transporter NIPA4	[source:homolog]
chr3	150159020	150170843	-8.0939185004806	0.0153068204098656	Zm00001d042084_T077	MSTRG.24354	Zm00001d042084	GRMZM2G047310	Villin-2	[source:homolog]
chr4	133090522	133096441	-8.07874520059094	0.0107540842295957	MSTRG.30557.5	MSTRG.30557	Zm00001d050947	GRMZM2G165231	Protein kinase superfamily protein	[source:homolog]
chr3	211258240	211305189	-8.06344279485481	0.00143007077283869	MSTRG.26482.4	MSTRG.26482	Zm00001d043835	GRMZM2G427067	DNA ligase 6	[source:homolog]
chr7	169129059	169141965	-8.06087959566664	5.60264584822036e-13	MSTRG.50457.7	MSTRG.50457	Zm00001d022058	GRMZM2G050501	Transducin/WD40 repeat-like superfamily protein	[source:homolog]
chr9	13117962	13122682	-8.04496156784371	7.438546778130149e-07	MSTRG.56790.4	MSTRG.56790	Zm00001d045112	GRMZM2G409974	Putative two-component response regulator family protein  	 [source: RefGen_v3] 
