chr_name	start	end	CNV
chr6	87000001	88000000	3.809385962279506e-05
chr3	216000001	217000000	5.127968386565277e-05
chr3	210000001	211000000	6.638697024379069e-05
chr6	166000001	167000000	0.00016203729237685907
chr2	86000001	87000000	0.0006688745488617686
chr2	91000001	92000000	0.0011646200203605857
chr10	115000001	116000000	0.0014034107515536417
chr4	86000001	87000000	0.0014558094232966516
chr4	188000001	189000000	0.0016551803867445364
chr1	100000001	101000000	0.0016613192075329594
chr5	96000001	97000000	0.0019719865222397976
chr6	47000001	48000000	0.0020764294978177418
chr2	146000001	147000000	0.0022427971208410532
chr3	145000001	146000000	0.0025850976849769907
chr4	128000001	129000000	0.002725988508276076
chr3	18000001	19000000	0.0029825268828476887
chr5	147000001	148000000	0.0030375359272667
chr4	84000001	85000000	0.0031041446108813053
chr4	144000001	145000000	0.003433525757014681
chr4	29000001	30000000	0.0035256257405666285
chr5	35000001	36000000	0.0036782715408815664
chr2	112000001	113000000	0.003879952129392774
chr9	157000001	158000000	0.0039198018655063095
chr1	112000001	113000000	0.00416896850776687
chr6	101000001	102000000	0.004304642316997658
chr6	155000001	156000000	0.0043599878879993495
chr4	231000001	232000000	0.0044314501221835115
chr8	37000001	38000000	0.005238073418832795
chr6	66000001	67000000	0.005450214215279199
chr4	52000001	53000000	0.0055337098532506415
chr6	139000001	140000000	0.005731088322419268
chr4	166000001	167000000	0.005950634979106781
chr10	54000001	55000000	0.0060249277531428955
chr4	133000001	134000000	0.006271559944310909
chr8	34000001	35000000	0.006354587210207651
chr10	50000001	51000000	0.006414158062036408
chr4	199000001	200000000	0.0066055216406516295
chr3	213000001	214000000	0.006939906414449339
chr5	138000001	139000000	0.0070533071109649985
chr10	146000001	147000000	0.00721885134214469
chr2	33000001	34000000	0.007543758966994272
chr7	21000001	22000000	0.007551925784286638
chr4	236000001	237000000	0.007600306465349203
chr4	79000001	80000000	0.007727193728675608
chr2	181000001	182000000	0.007750395871221697
chr4	192000001	193000000	0.008119846419400325
chr6	61000001	62000000	0.008458495891209556
chr4	196000001	197000000	0.008604687040380494
chr4	68000001	69000000	0.008665122289461771
chr6	167000001	168000000	0.008898207810173276
chr1	86000001	87000000	0.009005623770902572
chr5	99000001	100000000	0.009295164781550309
chr4	174000001	175000000	0.009575989340212154
chr5	49000001	50000000	0.009752243218685324
chr2	232000001	233000000	0.009806068363760209
chr2	164000001	165000000	0.010121800434648581
chr7	173000001	174000000	0.010204907967309933
chr7	40000001	41000000	0.01029297555383833
chr4	145000001	146000000	0.010329994308334724
chr5	91000001	92000000	0.010387221211864096
chr4	136000001	137000000	0.010398563192140373
chr4	183000001	184000000	0.01061423649754854
chr9	113000001	114000000	0.010660831193438483
chr1	136000001	137000000	0.01079097860707836
chr5	94000001	95000000	0.010794109549933697
chr9	47000001	48000000	0.010821664131519273
chr3	226000001	227000000	0.011017878115654446
chr7	60000001	61000000	0.011100803051835357
chr1	92000001	93000000	0.0113553370793927
chr6	52000001	53000000	0.011427468455330578
chr4	10000001	11000000	0.011571829157793435
chr1	195000001	196000000	0.011744646119542271
chr3	134000001	135000000	0.011956523453194038
chr1	186000001	187000000	0.012117523180904087
chr6	113000001	114000000	0.0123710404225663
chr10	8000001	9000000	0.012492974899408208
chr9	14000001	15000000	0.012583080358996879
chr6	64000001	65000000	0.01262204615402409
chr4	151000001	152000000	0.012698081913457874
chr10	96000001	97000000	0.012829145293036056
chr6	33000001	34000000	0.01310750080744531
chr6	28000001	29000000	0.01330751027050441
chr6	65000001	66000000	0.013379311122266296
chr6	134000001	135000000	0.01345562285812256
chr2	224000001	225000000	0.013515889546269704
chr9	150000001	151000000	0.013657334004742104
chr3	120000001	121000000	0.013766103156154567
chr4	187000001	188000000	0.013923150381801119
chr9	140000001	141000000	0.014440482318228382
chr4	63000001	64000000	0.014590156752838769
chr1	103000001	104000000	0.015120074279659713
chr8	102000001	103000000	0.015294563011048545
chr6	82000001	83000000	0.016013711535824527
chr3	1000001	2000000	0.016212594541131962
chr5	160000001	161000000	0.016313041769713897
chr9	130000001	131000000	0.016493090765965474
chr9	100000001	101000000	0.016518285349323068
chr5	211000001	212000000	0.016556967438568986
chr4	39000001	40000000	0.016647884057119727
chr2	26000001	27000000	0.016694019753439357
chr2	178000001	179000000	0.01686443971604167
chr7	82000001	83000000	0.016878942764836376
chr5	190000001	191000000	0.01693773059402262
chr4	70000001	71000000	0.017024852063959327
chr4	211000001	212000000	0.017132095941631533
chr1	1000001	2000000	0.01719813476311248
chr4	193000001	194000000	0.017316562965399115
chr2	40000001	41000000	0.017367990587936692
chr5	141000001	142000000	0.017387000725554276
chr4	216000001	217000000	0.01739869333602661
chr2	215000001	216000000	0.017435188837519575
chr5	152000001	153000000	0.0181221180905094
chr1	193000001	194000000	0.01816207215125646
chr3	149000001	150000000	0.018379295915314495
chr6	27000001	28000000	0.018380594997006724
chr7	96000001	97000000	0.018511498543792648
chr6	147000001	148000000	0.018535229353031125
chr2	41000001	42000000	0.01854929830617303
chr10	6000001	7000000	0.018559998765535674
chr3	125000001	126000000	0.018736685871506453
chr5	81000001	82000000	0.018884364613416013
chr5	210000001	211000000	0.01892507501643127
chr3	209000001	210000000	0.01903895139254642
chr9	17000001	18000000	0.01914533667000214
chr8	9000001	10000000	0.01920165548850908
chr3	92000001	93000000	0.019614758086644982
chr3	44000001	45000000	0.019645189618106563
chr8	127000001	128000000	0.019855598996367158
