chr_name	start	end	logFC	miRNA_name
chr1	287799562	287799694	-2.68862	zma-MIR160d
chr2	49919300	49919417	-1.69633	zma-MIR156e
chr2	170163081	170163220	-1.87423	zma-MIR2118g
chr3	119194704	119194893	-1.95105	zma-MIR166l
chr5	82459696	82459779	-2.51802	zma-MIR168a_down
chr7	38552630	38552737	-2.54037	zma-MIR167e_down
chr7	172764725	172764940	-3.39694	zma-MIR1432_down
chr8	38494457	38494603	-1.14782	zma-MIR159d_down
chr10	128549993	128550107	1.463541778	zma-MIR2118c_up
chr3	7775490	7775613	1.813293893	zma-MIR319b_up
chr3	96718768	96718868	3.959975079	zma-MIR169a_up
chr4	83913944	83914095	2.670016273	zma-MIR169e_up
chr4	137206467	137206583	1.518851302	zma-MIR156a_up
chr5	92406233	92406351	1.79366178	zma-MIR397b_up
chr5	183907877	183907966	1.513050447	zma-MIR162_up
chr5	210681804	210681959	1.228305485	zma-MIR166k_up
chr6	96290914	96291036	2.604682768	zma-MIR167h_up

