chr_name	start	end	log2FoldChange	padj	MSTRG_gene_id	v4_gene_model	v3_gene_model	function	source
chr9	89378880	89550816	-11.6902951175	0.0493266012	MSTRG.58865	Zm00001d046426	GRMZM2G428740		
chr6	159747664	159754277	-11.6902951175	0.049363729	MSTRG.45676	Zm00001d038549	GRMZM2G140721	Putative DUF26-domain receptor-like protein kinase family protein  	 [source: RefGen_v3] 
chr10	135815743	135816228	-10.5449269093	0.0493266012	MSTRG.12460	Zm00001d026002	GRMZM2G018631	Putative RING zinc finger domain superfamily protein  	 [source: RefGen_v3] 
chr1	47592761	47595109	-10.2324122365	0.0481843069	MSTRG.1915	Zm00001d028820	GRMZM2G016734	Chaperone DnaJ-domain superfamily protein	[source:homolog]
chr1	3150864	3380348	-9.3197068875	0.0480831678	MSTRG.347	Zm00001d027346	GRMZM2G077769	early nodulin-like protein 8	[source:homolog]
chr10	30003230	30084101	-9.1644649858	0.0479025127	MSTRG.9954	Zm00001d023936	GRMZM2G406108	CASP-like protein 8  	 [source: RefGen_v3] 
chr6	21731489	21736256	-8.9719613636	0.0477127395	MSTRG.41231	Zm00001d035333	GRMZM2G154743	Pentatricopeptide repeat-containing protein  mitochondrial	[source:homolog]
chr7	122012161	122283621	-8.4487627177	0.0476499422	MSTRG.48970	Zm00001d020551	GRMZM2G041163		
chr6	84763765	84765835	-8.1506059625	0.0476116227	MSTRG.42984	Zm00001d036338	GRMZM2G102923	peptidoglycan-binding LysM domain-containing protein	[source:homolog]
chr1	210045140	210139540	-7.9875074571	0.0474527037	MSTRG.5713	Zm00001d032036	GRMZM2G460383	Probable carboxylesterase 8	[source:homolog]
chr1	280444218	280694786	-7.9018413151	0.0469873616	MSTRG.7936	Zm00001d033998	GRMZM2G472226	Expressed protein;  protein	[source:homolog]
chr10	133417078	133421956	-7.7927054452	0.0461418206	MSTRG.12518	Zm00001d025903	GRMZM2G131969	Endosomal targeting BRO1-like domain-containing protein	[source:homolog]
chr7	15629664	15947027	-7.7473914504	0.0453863907	MSTRG.46919	Zm00001d019091	GRMZM2G104505	Vesicle-associated membrane protein 722	[source:homolog]
chr2	189505633	189508316	-7.6104341234	0.0448045388	MSTRG.18515	Zm00001d005813	GRMZM2G005954	Protein TIFY 10B	[source:homolog]
chr2	6549840	6551888	-7.3975910494	0.0442810774	MSTRG.13527	Zm00001d002139	GRMZM5G882427	Transferase  	 [source: RefGen_v3] 
chr5	218222880	218223599	-7.3629118157	0.0439926682	MSTRG.41774	Zm00001d018306	GRMZM2G110330	Receptor-like kinase-like	[source:homolog]
chr9	86471004	86547605	-7.2626900022	0.0436184065	MSTRG.58797	Zm00001d046385	GRMZM2G092256		
chr2	21788186	22024408	-7.158481266	0.0434148344	MSTRG.14497	Zm00001d002759	GRMZM2G175816	Nudix hydrolase 8	[source:homolog]
chr4	190596892	190599413	-7.1015913404	0.0430705248	MSTRG.32513	Zm00001d052467	GRMZM2G403493	Putative regulator of chromosome condensation (RCC1) family protein  	 [source: RefGen_v3] 
chr3	4316318	4318744	-6.7536882788	0.0430442748	MSTRG.21224	Zm00001d039437	GRMZM5G834596	 dbb3;double B-box zinc finger protein3: similar to Arabidopsis light-regulated zinc finger protein 1	 [source: characterized gene (MaizeGDB_09082017)]
chr3	916629	921348	-6.7530211853	0.0423762186	MSTRG.20999	Zm00001d039276	GRMZM2G309063	Ubiquitin ligase SINAT3  	 [source: RefGen_v3] 
chr1	143163535	143165480	-6.7373776376	0.0421043745	MSTRG.3883	Zm00001d030548	GRMZM2G162158	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	[source:homolog]
chr10	25869309	26159264	-6.7131616222	0.0421043745	MSTRG.9894	Zm00001d023877	GRMZM2G121625	CONTAINS InterPro DOMAIN/s: rRNA processing (InterPro:IPR013730); Has 898 Blast hits to 687 proteins in 142 species: Archae - 2; Bacteria - 28; Metazoa - 200; Fungi - 99; Plants - 63; Viruses - 0; Other Eukaryotes - 506 (source: NCBI BLink).	[source:homolog]
chr8	122851154	122852068	-6.7063145319	0.0415123768	MSTRG.54351	Zm00001d010645	GRMZM2G103793	Autophagy-related protein 18a	[source:homolog]
chr2	16106648	16331701	-6.7013022428	0.0408712846	MSTRG.14064	Zm00001d002594	GRMZM2G164428	Transcription repressor OFP6	[source:homolog]
chr7	176272021	176278440	-6.6595088472	0.0403546784	MSTRG.53201	Zm00001d022374	GRMZM2G433767	Serine carboxypeptidase-like 40	[source:homolog]
chr6	165828005	165998713	-6.6266762148	0.0402094503	MSTRG.45938	Zm00001d038860	GRMZM5G847982	AT5g56980/MHM17_10	[source:homolog]
chr4	14013935	14018030	-6.6246371866	0.0387727921	MSTRG.28067	Zm00001d049053	GRMZM2G545336		
chr10	68917351	68928134	-6.6224846994	0.038319424	MSTRG.10586	Zm00001d024398	GRMZM2G391627	myosin heavy chain-related	[source:homolog]
chr7	103975245	103976832	-6.5673841486	0.0381413295	MSTRG.48608	Zm00001d020279	GRMZM2G176759	Major facilitator superfamily protein	[source:homolog]
chr9	38903714	39084621	-6.5661241477	0.0379588381	MSTRG.57999	Zm00001d045785	GRMZM2G027958	Leucine-rich repeat receptor-like serine/threonine/tyrosine-protein kinase SOBIR1	[source:homolog]
chr3	200299994	200541021	-6.425074984	0.0372279225	MSTRG.25922	Zm00001d043443	GRMZM2G140201	Mannan endo-14-beta-mannosidase 2	[source:homolog]
chr6	169961091	169964660	-6.3847595402	0.0371833989	MSTRG.46177	Zm00001d039096	GRMZM2G455587	Pentatricopeptide repeat-containing protein  chloroplastic	[source:homolog]
chr10	87291646	87292414	-6.2892780915	0.0371683047	MSTRG.11061	Zm00001d024771	GRMZM2G109142	14-dihydroxy-2-naphthoyl-CoA thioesterase 1	[source:homolog]
chr3	68118171	68120420	-6.2860844964	0.0370430426	MSTRG.22843	Zm00001d040826	GRMZM2G164542		
chr2	215644199	215862778	-6.1414265442	0.0367074296	MSTRG.19618	Zm00001d006739	GRMZM2G177110	Seed specific protein Bn15D17A  	 [source: RefGen_v3] 
chr1	297024506	297363769	-6.0889796753	0.036051868	MSTRG.8659	Zm00001d034588	GRMZM2G127404	Protein CDI	[source:homolog]
chr10	121063166	121084136	-5.9022504588	0.035907201	MSTRG.12006	Zm00001d025520	GRMZM2G092762	Pentatricopeptide repeat-containing protein 	[source:homolog]
