chr_name	start	end	delta_methylation
chr1	212580	212972	-0.57
chr1	1852003	1852979	-0.68
chr1	1919010	1919996	0.68
chr1	1920501	1921489	0.55
chr1	2118013	2118497	0.59
chr1	2166113	2166500	-0.75
chr1	2167008	2167499	-0.67
chr1	2232506	2232998	-0.56
chr1	2483048	2483499	-0.62
chr1	2497545	2497978	-0.7
chr1	2560025	2560457	0.51
chr1	20221012	20221491	-0.5
chr1	21887502	21887956	-0.54
chr1	37244002	37244500	0.51
chr1	61846111	61846493	-0.69
chr1	68243504	68243973	-0.64
chr1	69513005	69513487	-0.58
chr1	70211005	70211492	0.64
chr1	71290099	71290472	-0.6
chr1	71312557	71312843	0.71
chr1	71314585	71314977	0.53
chr1	71333001	71333429	-0.65
chr1	71412039	71413413	-0.78
chr1	71436522	71436905	-0.68
chr1	71517199	71517498	0.55
chr1	72093016	72093471	0.77
chr1	72417008	72417486	0.69
chr1	72836502	72836995	0.71
chr1	72880502	72880993	-0.8
chr1	73365514	73365992	0.54
chr1	73479574	73479992	-0.79
chr1	74095505	74096491	0.72
chr1	74378009	74378495	-0.76
chr1	81681013	81681486	-0.59
chr1	83209005	83209494	-0.76
chr1	83548502	83548999	0.52
chr1	83554505	83555493	-0.8
chr1	83731537	83731986	-0.61
chr1	84249514	84249986	0.67
chr1	84306512	84306997	-0.7
chr1	84447692	84447934	0.55
chr1	84451536	84451897	0.57
chr1	84604018	84604374	0.62
chr1	85074504	85074928	0.6
chr1	85462580	85462992	-0.62
chr1	85773521	85774000	0.72
chr1	85775541	85777969	0.54
chr1	86754002	86754450	0.72
chr1	87485025	87485991	0.65
chr1	87486503	87486888	0.67
chr1	87487502	87487999	0.66
chr1	87677502	87678496	-0.65
chr1	87809022	87809487	-0.72
chr1	88243510	88243963	-0.57
chr1	88244505	88244955	-0.55
chr1	88438502	88438989	-0.66
chr1	88482008	88482476	-0.51
chr1	88704043	88704726	0.56
chr1	88861040	88861498	0.66
chr1	89002559	89003999	0.65
chr1	89486523	89486920	-0.72
chr1	89593508	89593926	-0.58
chr1	89982003	89982465	0.83
chr1	90651505	90651998	0.67
chr1	90652503	90652891	0.6
chr1	92072020	92072471	0.67
chr1	92241064	92242000	0.78
chr1	92261031	92261482	-0.55
chr1	92967001	92967500	-0.75
chr1	93308507	93309461	0.58
chr1	93452599	93452913	-0.51
chr1	93741506	93742499	-0.78
chr1	93784006	93784488	0.67
chr1	94483082	94483467	-0.59
chr1	94646526	94646932	0.68
chr1	94672061	94672481	0.51
chr1	94925712	94925972	-0.51
chr1	94991506	94991990	-0.58
chr1	95672041	95672496	0.73
chr1	95749531	95749993	-0.63
chr1	96113809	96115447	-0.62
chr1	96358508	96358961	0.73
chr1	96664060	96664491	0.55
chr1	96685003	96685491	-0.81
chr1	97117510	97118000	-0.74
chr1	97318027	97318417	-0.78
chr1	97463002	97463481	-0.71
chr1	98172063	98172880	0.65
chr1	98389514	98389995	0.58
chr1	98532017	98532482	-0.57
chr1	99225510	99225993	0.54
chr1	99390024	99390996	0.74
chr1	99678004	99678461	-0.68
chr1	100057527	100057969	-0.64
chr1	100081006	100082489	-0.64
chr1	100171610	100172980	-0.65
chr1	100224503	100224993	0.5
chr1	101339008	101339497	0.59
chr1	102558015	102558478	0.76
chr1	102619172	102619490	0.81
chr1	102745501	102745984	0.58
chr1	102940567	102941985	-0.59
chr1	103771506	103771912	0.53
chr1	104110575	104110841	-0.74
chr1	104755517	104755942	0.55
chr1	104756534	104756921	0.69
chr1	104763579	104764933	0.61
chr1	104985518	104986000	0.71
chr1	105320553	105320999	-0.72
chr1	105862702	105862980	0.87
chr1	106040016	106040908	0.55
chr1	106934623	106934999	-0.51
chr1	107093004	107093474	0.62
chr1	107221612	107222496	-0.57
chr1	107927002	107927484	0.7
chr1	108488001	108488468	0.55
chr1	109337657	109337918	0.76
chr1	109822220	109822981	0.73
chr1	109940006	109940453	-0.54
chr1	109993539	109993925	-0.64
chr1	110110507	110110996	-0.73
chr1	110111506	110115462	-0.75
chr1	110192001	110192387	-0.66
chr1	111271558	111271996	0.62
chr1	112720503	112721476	-0.78
chr1	112751004	112751455	-0.56
chr1	112776021	112776445	-0.82
chr1	112780135	112780472	-0.69
chr1	112818544	112818972	-0.53
chr1	112916002	112916965	0.59
chr1	113159066	113159485	0.6
chr1	113244502	113245499	-0.66
chr1	113270005	113270497	-0.68
chr1	114449512	114450492	-0.66
chr1	114465516	114467447	-0.7
chr1	114470516	114472000	-0.69
chr1	114479502	114479963	-0.61
chr1	115098505	115099500	-0.64
chr1	115310504	115312997	-0.71
chr1	115320624	115320998	-0.67
chr1	115321510	115321921	-0.59
chr1	116714100	116714993	0.66
chr1	116757004	116757489	-0.7
chr1	116908014	116910379	0.85
chr1	117224503	117224999	-0.52
chr1	117533187	117533988	-0.56
chr1	117628016	117628464	-0.74
chr1	117727530	117728343	0.54
chr1	117781011	117781478	-0.69
chr1	117875510	117875977	0.56
chr1	117885624	117885994	0.71
chr1	117984002	117984989	-0.58
chr1	118079005	118079980	0.65
chr1	118103503	118103997	-0.69
chr1	118270513	118270967	-0.78
chr1	118454001	118454483	-0.73
chr1	118465508	118466500	0.71
chr1	118495001	118495978	0.7
chr1	118499001	118499492	0.61
chr1	118657001	118657975	-0.61
chr1	118857598	118857995	-0.74
chr1	118867006	118867437	-0.72
chr1	119353032	119353494	-0.65
chr1	119946017	119947350	0.66
chr1	120110510	120110991	-0.69
chr1	120512005	120512500	0.57
chr1	120939001	120939449	0.79
chr1	121924547	121925987	0.72
chr1	122112023	122112500	-0.59
chr1	122903051	122903498	-0.59
chr1	123278028	123278498	-0.64
chr1	124215044	124215999	-0.62
chr1	124358008	124358926	0.64
chr1	124490061	124490485	-0.69
chr1	124497502	124498487	-0.64
chr1	124518010	124518488	-0.51
chr1	124798002	124798470	-0.69
chr1	125391529	125392981	-0.58
chr1	125484544	125484989	-0.6
chr1	125485504	125486000	-0.66
chr1	125808007	125808500	-0.53
chr1	126116501	126116986	-0.73
chr1	126162016	126163000	-0.57
chr1	126276002	126276499	0.68
chr1	126301048	126301482	-0.71
chr1	126599530	126599920	0.61
chr1	126725081	126725951	-0.66
chr1	126736006	126736500	-0.61
chr1	126797528	126798000	0.68
chr1	127254062	127256498	-0.68
chr1	129362013	129362489	-0.57
chr1	129781005	129781966	0.63
chr1	131211502	131212497	-0.61
chr1	131397022	131397268	-0.73
chr1	131514016	131514495	0.61
chr1	131997005	131997485	0.64
chr1	133134520	133134985	-0.51
chr1	135498001	135498947	0.64
chr1	137727001	137727491	0.7
chr1	138659040	138659488	-0.56
chr1	140267538	140268978	-0.78
chr1	140872508	140873493	0.59
chr1	141569026	141569486	-0.78
chr1	141861501	141862499	-0.64
chr1	141863021	141864972	-0.73
chr1	142256549	142257489	0.64
chr1	142530080	142531437	-0.59
chr1	142608609	142608983	-0.66
chr1	142750157	142750445	-0.54
chr1	142830504	142830991	-0.61
chr1	143158033	143158979	0.64
chr1	143486501	143486997	-0.67
chr1	143487593	143487996	-0.64
chr1	143489005	143489500	0.7
chr1	143490515	143491499	0.65
chr1	143508508	143509497	-0.55
chr1	143916542	143916965	0.66
chr1	144835058	144835483	0.54
chr1	144865009	144865489	-0.75
chr1	145329580	145329886	0.63
chr1	145352060	145352960	0.68
chr1	145473558	145473985	0.55
chr1	145697027	145697484	0.58
chr1	145698064	145698987	0.69
chr1	145971574	145972476	0.67
chr1	145973535	145974489	0.78
chr1	146011501	146011957	-0.5
chr1	146024085	146024395	-0.63
chr1	146399008	146399391	-0.57
chr1	146614517	146614985	-0.88
chr1	146875517	146876475	0.67
chr1	147283016	147283954	0.64
chr1	148443001	148443997	-0.65
chr1	148502055	148502995	0.66
chr1	148767537	148767967	0.86
chr1	148768502	148768933	0.64
chr1	148829021	148829438	-0.54
chr1	149110590	149110952	-0.71
chr1	149111571	149111962	-0.51
chr1	149112535	149112997	-0.77
chr1	149114595	149114980	-0.67
chr1	149124511	149124944	-0.71
chr1	149529020	149529500	0.72
chr1	149546507	149546981	-0.57
chr1	149604011	149604431	0.64
chr1	150118557	150119493	-0.74
chr1	150173001	150173499	0.51
chr1	150641205	150641449	0.68
chr1	150695528	150695986	-0.77
chr1	150720053	150720500	0.57
chr1	150770507	150770985	0.55
chr1	151111018	151111491	-0.8
chr1	151634515	151635925	-0.77
chr1	152111501	152113000	-0.61
chr1	155061570	155061983	0.51
chr1	155198007	155198490	0.68
chr1	155230034	155230461	-0.78
chr1	157056005	157056481	-0.67
chr1	157114008	157114486	-0.77
chr1	157202001	157202497	0.56
chr1	157350048	157350993	-0.62
chr1	157826502	157826998	0.55
chr1	157832008	157832984	0.62
chr1	157892025	157892483	0.83
chr1	157901013	157901980	0.59
chr1	157978093	157978498	-0.74
chr1	158006601	158006995	0.68
chr1	158030038	158031430	-0.76
chr1	158115601	158115989	-0.73
chr1	158271013	158271979	-0.6
chr1	159426545	159426997	-0.61
chr1	159637018	159637997	-0.69
chr1	159704056	159704974	-0.74
chr1	159722001	159722499	0.69
chr1	159896513	159896990	-0.59
