chr_name	start	end	val	color
hs1	45000000	54999999	0.064102783	red
hs1	55000000	59999999	1.252963426	red
hs1	60000000	69999999	0.32259385	red
hs1	70000000	74999999	0.113639049	red
hs1	75000000	79999999	0.17798866	red
hs1	80000000	84999999	0.296138394	red
hs1	85000000	94999999	1.764183505	red
hs1	95000000	99999999	0.866575263	red
hs1	100000000	104999999	2.293544145	red
hs1	105000000	109999999	3.882317703	red
hs1	110000000	114999999	0.192300437	red
hs1	115000000	139999999	0.834416126	red
hs1	140000000	149999999	0.014943483	red
hs1	150000000	154999999	1.097097097	red
hs1	155000000	159999999	0.409186189	red
hs1	160000000	164999999	0.007338771	red
hs1	165000000	169999999	0.277805592	red
hs1	170000000	174999999	0.93963931	red
hs1	175000000	179999999	0.24534296	red
hs1	180000000	184999999	0.15035221	red
hs1	185000000	189999999	0.308806569	red
hs1	190000000	194999999	0.230403787	red
hs1	195000000	204999999	2.229393167	red
hs1	205000000	214999999	0.176666831	red
hs2	0	14999999	0.04047232	red
hs2	15000000	19999999	1.338952826	red
hs2	20000000	49999999	0.545437716	red
hs2	50000000	54999999	0.415420838	red
hs2	55000000	64999999	0.520442677	red
hs2	65000000	74999999	0.393448489	red
hs2	75000000	79999999	1.942958027	red
hs2	80000000	114999999	0.121637167	red
hs2	115000000	134999999	0.301375875	red
hs2	135000000	139999999	0.411790215	red
hs2	140000000	144999999	0.525217433	red
hs2	145000000	149999999	3.133639888	red
hs2	150000000	154999999	0.093600965	red
hs2	155000000	159999999	0.314387011	red
hs2	160000000	164999999	2.495588308	red
hs2	165000000	174999999	0.980845619	red
hs2	175000000	179999999	2.930342753	red
hs2	180000000	184999999	0.105082995	red
hs2	185000000	189999999	0.631391858	red
hs2	190000000	194999999	3.024415756	red
hs2	195000000	204999999	0.659232025	red
hs2	205000000	209999999	1.882294071	red
hs2	210000000	214999999	0.565937069	red
hs2	215000000	219999999	2.107743735	red
hs2	220000000	239999999	1.200037144	red
hs3	0	14999999	0.138762722	red
hs3	15000000	39999999	0.57530572	red
hs3	40000000	44999999	0.06259114	red
hs3	45000000	49999999	0.333264777	red
hs3	50000000	59999999	1.373304612	red
hs3	60000000	64999999	0.056480756	red
hs3	65000000	69999999	1.100118046	red
hs3	70000000	74999999	0.282355312	red
hs3	75000000	79999999	0.012180733	red
hs3	80000000	84999999	0.330066321	red
hs3	85000000	89999999	0.396529855	red
hs3	90000000	94999999	0.399407208	red
hs3	95000000	99999999	0.445262699	red
hs3	100000000	104999999	0.194207874	red
hs3	105000000	109999999	1.063896264	red
hs3	110000000	114999999	0.188430346	red
hs3	115000000	119999999	0.410331835	red
hs3	120000000	129999999	0.134033699	red
hs3	130000000	134999999	0.518222619	red
hs3	135000000	139999999	2.961188636	red
hs3	140000000	144999999	2.324702591	red
hs3	145000000	154999999	0.260720455	red
hs3	155000000	159999999	0.364181967	red
hs3	160000000	164999999	2.850964675	red
hs4	5000000	9999999	0.416476791	red
hs4	10000000	14999999	0.225838909	red
hs4	15000000	19999999	0.150678159	red
hs4	20000000	29999999	1.49030108	red
hs4	30000000	44999999	0.574591912	red
hs4	45000000	49999999	0.843730297	red
hs4	50000000	54999999	1.001787115	red
hs4	55000000	59999999	1.061254911	red
hs4	60000000	64999999	1.094700142	red
hs4	65000000	69999999	0.169322413	red
hs4	70000000	94999999	1.801717885	red
hs4	95000000	99999999	1.081713677	red
hs4	100000000	104999999	0.599904756	red
hs4	105000000	109999999	0.116840449	red
hs4	110000000	114999999	0.385036113	red
hs4	115000000	119999999	0.718012488	red
hs4	120000000	124999999	1.390339935	red
hs4	125000000	129999999	0.423694065	red
hs4	130000000	134999999	6.499124309	red
hs4	135000000	154999999	1.667749606	red
hs4	155000000	164999999	1.749266704	red
hs4	165000000	169999999	0.456483179	red
hs4	170000000	174999999	0.292160103	red
hs4	175000000	179999999	0.059390633	red
hs4	180000000	189999999	0.330989452	red
hs5	0	19999999	1.668355486	red
hs5	20000000	24999999	0.778967918	red
hs5	25000000	34999999	1.988649031	red
hs5	35000000	39999999	1.917876766	red
hs5	40000000	44999999	0.526131497	red
hs5	45000000	49999999	0.454779004	red
hs5	50000000	54999999	0.018414247	red
hs5	55000000	59999999	0.35577776	red
hs5	60000000	64999999	1.207937545	red
hs5	65000000	79999999	0.755933598	red
hs5	80000000	84999999	0.241512971	red
hs5	85000000	89999999	0.006473066	red
hs5	90000000	94999999	0.297789382	red
hs5	95000000	99999999	2.104731504	red
hs5	100000000	104999999	2.441319549	red
hs5	105000000	109999999	0.293686942	red
hs5	110000000	114999999	0.069689477	red
hs5	115000000	119999999	0.006728318	red
hs5	120000000	124999999	1.610778202	red
hs5	125000000	139999999	1.125514976	red
hs5	140000000	159999999	0.858633363	red
hs5	160000000	164999999	0.352244355	red
hs6	5000000	24999999	0.756864022	red
hs6	25000000	29999999	3.254501145	red
hs6	30000000	44999999	3.028996708	red
hs6	45000000	49999999	0.407908597	red
hs6	50000000	54999999	0.99646813	red
hs6	55000000	59999999	0.920984654	red
hs6	60000000	64999999	3.21224327	red
hs6	65000000	69999999	0.041126133	red
hs6	70000000	74999999	0.036845093	red
hs6	75000000	79999999	1.864501776	red
hs6	80000000	84999999	0.406144781	blue
hs6	85000000	89999999	0.736776001	blue
hs6	90000000	94999999	0.979391926	blue
hs6	95000000	99999999	0.118799268	blue
hs6	100000000	114999999	1.595095846	blue
hs6	115000000	119999999	0.077503987	blue
