chr_name	start	end	color
chr1	500000	40000000	black
chr1	2300000	60000000	red
chr1	2700000	80000000	blue
chr1	65000000	100000000	yellow
chr1	70000000	120000000	black
chr1	95000000	140000000	red
chr1	120000000	160000000	blue
chr1	156000000	180000000	yellow
chr1	160000000	200000000	black
chr1	202000000	240000000	red
chr2	11300000	32000000	blue
chr2	15900000	45000000	yellow
chr2	19500000	55000000	black
chr2	30800000	61000000	red
chr2	40000000	72000000	blue
chr2	82000000	76000000	yellow
chr2	96000000	80000000	black
chr2	106000000	90000000	red
chr2	150000000	100000000	blue
chr2	182000000	130000000	yellow
chr3	44000000	50000000	black
chr3	57000000	80000000	red
chr3	69000000	90000000	blue
chr3	95000000	100000000	yellow
chr3	110000000	102000000	black
chr3	123000000	111000000	red
chr3	129000000	116000000	blue
chr3	156000000	120000000	yellow
chr4	83000000	40000000	black
chr4	89000000	60000000	red
chr4	90600000	80000000	blue
chr4	95000000	100000000	yellow
chr4	101000000	105000000	black
chr4	115000000	108000000	red
chr4	120000000	112000000	blue
chr4	136000000	132000000	yellow
chr4	140000000	151000000	black
chr4	142000000	171000000	red
chr5	43000000	40000000	blue
chr5	52000000	62000000	yellow
chr5	72000000	85000000	black
chr5	95000000	90000000	red
chr5	121000000	95000000	blue
chr5	125000000	98000000	yellow
chr5	13100000	10000000	black
chr5	136000000	106000000	red
chr5	140000000	111000000	blue
chr5	142000000	121000000	yellow
chr6	4100000	50000000	black
chr6	9200000	55000000	red
chr6	12000000	67000000	blue
chr6	22000000	69000000	yellow
chr6	81000000	70000000	black
chr6	97000000	71000000	red
chr6	109000000	78000000	blue
chr6	126000000	82000000	yellow
chr6	130000000	84000000	black
chr6	142000000	92000000	red
chr7	5100000	23100000	blue
chr7	7200000	39100000	yellow
chr7	9300000	51000000	black
chr7	18000000	55000000	red
chr7	21000000	60000000	blue
chr7	37000000	61000000	yellow
chr7	59000000	67000000	black
chr7	66000000	70000000	red
chr7	70000000	71000000	blue
chr7	82000000	72000000	yellow
chr8	500000	60000000	black
chr8	2300000	75000000	red
chr8	2700000	80000000	blue
chr8	65000000	110000000	yellow
chr8	70000000	116000000	black
chr8	95000000	120000000	red
chr8	110000000	124000000	blue
chr9	5300000	32000000	yellow
chr9	15900000	45000000	black
chr9	19500000	55000000	red
chr9	30800000	61000000	blue
chr9	40000000	72000000	yellow
chr9	82000000	76000000	yellow
chr9	106000000	80000000	black
chr9	114000000	84000000	red
chr9	119000000	87000000	blue
chr9	123000000	93000000	yellow
chr10	44000000	9000000	black
chr10	57000000	26000000	red
chr10	69000000	30000000	blue
chr10	95000000	41000000	yellow
chr10	110000000	79000000	black
chr10	123000000	81000000	red
chr10	129000000	86000000	blue
chr10	121000000	90000000	yellow
chr11	83000000	40000000	black
chr11	89000000	60000000	red
chr11	90600000	80000000	blue
chr11	95000000	100000000	yellow
chr11	101000000	105000000	black
chr11	115000000	108000000	red
chr11	123000000	112000000	blue
chr12	43000000	40000000	yellow
chr12	52000000	64000000	black
chr12	72000000	65000000	red
chr12	95000000	71000000	blue
chr12	97000000	75000000	yellow
chr12	105000000	77000000	black
chr12	113100000	80000000	red
chr12	116000000	86000000	blue
chr12	120000000	88000000	yellow
chr12	122000000	91000000	black
chr13	8100000	10000000	red
chr13	8600000	25000000	blue
chr13	10000000	27000000	yellow
chr13	12000000	39000000	black
chr13	14500000	40000000	red
chr13	49000000	41000000	blue
chr13	84000000	48000000	yellow
chr13	86000000	57000000	black
chr13	89000000	59000000	red
chr13	92000000	62000000	blue
chr14	14000000	9000000	yellow
chr14	27000000	26000000	black
chr14	59000000	30000000	red
chr14	70000000	41000000	blue
chr14	72000000	79000000	yellow
chr14	75000000	81000000	black
chr14	79000000	86000000	red
chr14	84000000	90000000	blue
chr15	21600000	10000000	yellow
chr15	28000000	10800000	black
chr15	31000000	13500000	red
chr15	34000000	68000000	blue
chr15	33000000	72000000	yellow
chr15	43000000	75000000	black
chr15	52000000	81000000	red
chr15	72000000	85000000	blue
chr16	9000000	22000000	yellow
chr16	11000000	25000000	black
chr16	15000000	27000000	red
chr16	16100000	32000000	blue
chr16	27000000	37000000	yellow
chr16	45000000	39000000	black
chr16	57000000	42000000	red
chr16	68100000	50000000	blue
chr17	7100000	2100000	yellow
chr17	8200000	3100000	black
chr17	10000000	3300000	red
chr17	28000000	3500000	blue
chr17	41000000	47000000	yellow
chr17	57000000	51000000	black
chr17	59000000	64000000	red
chr18	14000000	21100000	blue
chr18	18200000	30100000	yellow
chr18	19000000	33300000	black
chr18	38000000	34500000	red
chr18	42000000	39600000	blue
chr18	47000000	42000000	yellow
chr18	52000000	43000000	black
chr19	21000000	11100000	red
chr19	25200000	19100000	blue
chr19	26000000	21300000	yellow
chr19	28000000	26500000	black
chr19	35000000	30600000	red
chr19	36000000	32000000	blue
chr19	41000000	36000000	yellow
chr20	12000000	21000000	black
chr20	14000000	22000000	red
chr20	16000000	31100000	blue
chr20	17200000	39100000	yellow
chr20	19000000	41300000	black
chr20	28000000	46500000	red
chr20	35000000	51600000	blue
chr20	46000000	52000000	yellow
chr20	51000000	56000000	black
chr21	10000000	26000000	red
chr21	11200000	26900000	blue
chr21	12800000	27400000	yellow
chr21	13200000	27900000	black
chr21	14900000	28000000	red
chr21	28000000	28500000	blue
chr21	28400000	29100000	yellow
chr21	29200000	30100000	black
chr21	29600000	31000000	red
chr22	6000000	13000000	blue
chr22	7200000	14900000	yellow
chr22	8800000	15100000	black
chr22	13200000	16900000	red
chr22	18900000	18000000	blue
chr22	21000000	20500000	yellow
chr22	22400000	20100000	black
chr22	24200000	23100000	red
chr22	25600000	24000000	blue
chrX	31450000	21000000	yellow
chrX	35700000	25000000	black
chrX	40100000	38000000	red
chrX	42600000	42000000	blue
chrX	53500000	53000000	yellow
chrX	62200000	54900000	black
chrX	67800000	65100000	red
chrX	81900000	66900000	blue
chrX	103190000	78000000	yellow
chrX	105800000	80500000	black
chrX	119400000	84100000	red
chrX	124200000	93100000	blue
chrX	145600000	104000000	yellow
chrY	1000000	8900000	blue
chrY	2200000	9900000	yellow
chrY	3800000	11100000	black
chrY	7200000	13900000	red
chrY	18900000	14000000	blue
chrY	21000000	20500000	yellow
chrY	27400000	20100000	blue
chrY	29200000	23100000	yellow
