chr_name	start	end	log2FoldChange	padj	MSTRG_gene_id	v4_gene_model	v3_gene_model	function	source
chr10	99817026	99820625	-10.544926909313698	1.0716771635739598e-72	MSTRG.11366	Zm00001d025017	GRMZM2G177182		
chr8	78048174	78051398	10.2145936801089	3.1118931931306996e-63	MSTRG.52525	Zm00001d009727	GRMZM2G338696	Cytochrome c oxidase subunit 5b-2 mitochondrial	[source:homolog]
chr1	65768609	65775262	-7.61043412340741	1.4124910966211597e-53	MSTRG.2360	Zm00001d029316	GRMZM2G306945	Succinate dehydrogenase [ubiquinone] flavoprotein subunit 1 mitochondrial	[source:homolog]
chr2	32787291	32790327	-8.44876271765096	1.5766503741754898e-52	MSTRG.14889	Zm00001d003118	GRMZM2G086486	40S ribosomal protein S11-1	[source:homolog]
chr2	53590634	53668652	6.245494444008731	1.1328753231721799e-51	MSTRG.15531	Zm00001d003675	GRMZM2G391511	Nicotinate phosphoribosyltransferase 2	[source:homolog]
chr10	106318787	106321238	-7.3975910494181205	3.45884585218876e-49	MSTRG.11510	Zm00001d025141	GRMZM2G119823	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	[source:homolog]
chr2	26414838	26429037	-6.73737763763435	3.9477416089634594e-48	MSTRG.14651	Zm00001d002917	GRMZM2G337792	RNA-binding region RNP-1  	 [source: RefGen_v3] 
chr10	139780719	139792664	-5.3352695269107695	1.5130656298518997e-46	MSTRG.12629	Zm00001d026147	GRMZM5G822829	 P;plant color component at R1: anthocyanin pigmentation in seedling leaf tip	 coleoptile
chr2	19071690	19082040	5.33597926440656	2.4695007932463797e-46	MSTRG.14143	Zm00001d002678	GRMZM2G322819	Prolyl oligopeptidase family protein	[source:homolog]
chr5	26179	35624	8.03246764481179	1.1545783633154899e-44	MSTRG.34326	Zm00001d012794	GRMZM2G054378	tRNA (guanine-N-7) methyltransferase	[source:homolog]
chr5	2849021	2850297	-5.615085735017621	1.57455055876815e-44	MSTRG.36183	Zm00001d012988	GRMZM2G165255	CASP-like protein 4B1	[source:homolog]
chr7	177456153	177465116	-5.4471071220108405	4.72326545408362e-42	MSTRG.53257	Zm00001d022428	GRMZM2G017894	Probable galacturonosyltransferase 7	[source:homolog]
chr6	161716055	161718253	-6.701302242824121	7.57654690249822e-40	MSTRG.45814	Zm00001d038649	GRMZM2G006207	14-3-3-like protein GF14 nu	[source:homolog]
chr10	97673568	97692250	-11.690295117530901	2.50546675418296e-38	MSTRG.11329	Zm00001d024973	GRMZM2G098677		
chr10	97673568	97692250	-11.690295117530901	2.50546675418296e-38	MSTRG.11329	Zm00001d024975	GRMZM2G098697	Disease resistance protein RPM1	[source:homolog]
chr1	213971572	213974101	5.8032611681581505	4.59039670184322e-36	MSTRG.5832	Zm00001d032131	GRMZM5G817046	Scar-like domain-containing protein WAVE 5	[source:homolog]
chr1	190545391	190558314	6.13826357670421	1.6402345717269199e-35	MSTRG.5055	Zm00001d031453	GRMZM2G115442	3-oxoacyl-reductase  	 [source: RefGen_v3] 
chr5	197531955	197533830	-4.69394946614144	4.24411762512641e-35	MSTRG.40021	Zm00001d017494	GRMZM2G327266	Expansin-B4	[source:homolog]
chr10	84546543	84554139	-4.75455858289435	1.9365295516242098e-34	MSTRG.11026	Zm00001d024710	GRMZM2G139157		
chr10	134081627	134312924	-3.93189998029297	3.13829419191376e-33	MSTRG.12548	Zm00001d025932	GRMZM2G116538	Remorin  	 [source: RefGen_v3] 
B73V4_ctg150	597913	627204	8.489473715316219	3.33909806354246e-32	MSTRG.61232	Zm00001d000009	GRMZM2G053177		
chr10	59950553	59956943	-6.6595088471958395	3.33909806354246e-32	MSTRG.10386	Zm00001d024262	GRMZM2G305757		
chr1	113477268	113479006	4.83814883490902	4.106021138432999e-32	MSTRG.3466	Zm00001d030214	GRMZM2G154216	(Z)-3-hexen-1-ol acetyltransferase	[source:homolog]
chr2	36039302	36040798	5.44413152563132	1.57474161800982e-31	MSTRG.14972	Zm00001d003209	GRMZM2G138770	AAA-ATPase ASD mitochondrial	[source:homolog]
chr10	126789101	126795260	-4.01470618989155	2.76499975513367e-31	MSTRG.12223	Zm00001d025703	GRMZM2G111462	ABC transporter B family member 15	[source:homolog]
chr2	44091675	44316827	-6.62463718661327	4.537626899502699e-31	MSTRG.15282	Zm00001d003435	GRMZM2G446185		
chr2	30707998	30716270	3.89271507242724	2.11666413436052e-30	MSTRG.14724	Zm00001d003058	GRMZM2G147256	Probable low-specificity L-threonine aldolase 1	[source:homolog]
