chr_name	start	end	delta_methylation
chr1	2166113	2166500	-0.75
chr1	71312557	71312843	0.71
chr1	71412039	71413413	-0.78
chr1	72093016	72093471	0.77
chr1	72836502	72836995	0.71
chr1	72880502	72880993	-0.8
chr1	73479574	73479992	-0.79
chr1	74095505	74096491	0.72
chr1	74378009	74378495	-0.76
chr1	83209005	83209494	-0.76
chr1	83554505	83555493	-0.8
chr1	85773521	85774000	0.72
chr1	86754002	86754450	0.72
chr1	87809022	87809487	-0.72
chr1	89486523	89486920	-0.72
chr1	89982003	89982465	0.83
chr1	92241064	92242000	0.78
chr1	92967001	92967500	-0.75
chr1	93741506	93742499	-0.78
chr1	95672041	95672496	0.73
chr1	96358508	96358961	0.73
chr1	96685003	96685491	-0.81
chr1	97117510	97118000	-0.74
chr1	97318027	97318417	-0.78
chr1	97463002	97463481	-0.71
chr1	99390024	99390996	0.74
chr1	102558015	102558478	0.76
chr1	102619172	102619490	0.81
chr1	104110575	104110841	-0.74
chr1	104985518	104986000	0.71
chr1	105320553	105320999	-0.72
chr1	105862702	105862980	0.87
chr1	109337657	109337918	0.76
chr1	109822220	109822981	0.73
chr1	110110507	110110996	-0.73
chr1	110111506	110115462	-0.75
chr1	112720503	112721476	-0.78
chr1	112776021	112776445	-0.82
chr1	115310504	115312997	-0.71
chr1	116908014	116910379	0.85
chr1	117628016	117628464	-0.74
chr1	117885624	117885994	0.71
chr1	118270513	118270967	-0.78
chr1	118454001	118454483	-0.73
chr1	118465508	118466500	0.71
chr1	118857598	118857995	-0.74
chr1	118867006	118867437	-0.72
chr1	120939001	120939449	0.79
chr1	121924547	121925987	0.72
chr1	126116501	126116986	-0.73
chr1	126301048	126301482	-0.71
chr1	131397022	131397268	-0.73
chr1	140267538	140268978	-0.78
chr1	141569026	141569486	-0.78
chr1	141863021	141864972	-0.73
chr1	144865009	144865489	-0.75
chr1	145973535	145974489	0.78
chr1	146614517	146614985	-0.88
chr1	148767537	148767967	0.86
chr1	149110590	149110952	-0.71
chr1	149112535	149112997	-0.77
chr1	149124511	149124944	-0.71
chr1	149529020	149529500	0.72
chr1	150118557	150119493	-0.74
chr1	150695528	150695986	-0.77
chr1	151111018	151111491	-0.8
chr1	151634515	151635925	-0.77
