chr_name	start	end	val
chr1	45000000	49999999	0.070859
chr1	55000000	59999999	0.30046
chr1	60000000	64999999	0.125421
chr1	70000000	74999999	0.158156
chr1	75000000	79999999	0.16354
chr1	80000000	84999999	0.342921
chr1	85000000	89999999	0.180912
chr1	95000000	99999999	0.36324
chr1	100000000	104999999	0.179303
chr1	105000000	109999999	0.172213
chr1	110000000	114999999	0.067627
chr1	115000000	119999999	0.230514
chr1	140000000	144999999	0.069617
chr1	150000000	154999999	0.000757
chr1	155000000	159999999	0.075048
chr1	160000000	164999999	0.251722
chr1	165000000	169999999	0.142465
chr1	170000000	174999999	0.197551
chr1	175000000	179999999	0.127768
chr1	180000000	184999999	0.156571
chr1	185000000	189999999	0.141465
chr1	190000000	194999999	0.134888
chr1	195000000	199999999	0.063325
chr1	205000000	209999999	0.163839
chr1	215000000	219999999	0.2373
chr2	0	4999999	0.011346
chr2	15000000	19999999	0.270475
chr2	20000000	24999999	0.169368
chr2	50000000	54999999	0.124923
chr2	55000000	59999999	0.312155
chr2	65000000	69999999	0.107776
chr2	75000000	79999999	0.158579
chr2	80000000	84999999	0.128404
chr2	115000000	119999999	0.140951
chr2	135000000	139999999	0.127235
chr2	140000000	144999999	0.211352
chr2	145000000	149999999	0.392059
chr2	150000000	154999999	0.144308
chr2	155000000	159999999	0.242837
chr2	160000000	164999999	0.360153
chr2	165000000	169999999	0.247326
chr2	175000000	179999999	0.318574
chr2	180000000	184999999	0.269758
chr2	185000000	189999999	0.187361
chr2	190000000	194999999	0.114884
chr2	195000000	199999999	0.223479
chr2	205000000	209999999	0.130663
chr2	210000000	214999999	0.242299
chr2	215000000	219999999	0.042422
chr2	220000000	224999999	0.115627
chr2	240000000	244999999	0.000191
chr3	0	4999999	0.254668
chr3	15000000	19999999	0.14233
chr3	40000000	44999999	0.104252
chr3	45000000	49999999	0.012736
chr3	50000000	54999999	0.074515
chr3	60000000	64999999	0.235448
chr3	65000000	69999999	0.151597
chr3	70000000	74999999	0.202422
chr3	75000000	79999999	0.198831
chr3	80000000	84999999	0.190274
chr3	85000000	89999999	0.158496
chr3	90000000	94999999	0.289692
chr3	95000000	99999999	0.13667
chr3	100000000	104999999	0.211257
chr3	105000000	109999999	0.264618
chr3	110000000	114999999	0.232718
chr3	115000000	119999999	0.447877
chr3	120000000	124999999	0.127344
chr3	130000000	134999999	0.060828
chr3	135000000	139999999	0.167436
chr3	140000000	144999999	0.160368
chr3	145000000	149999999	0.261633
chr3	155000000	159999999	0.16783
chr3	160000000	164999999	0.130948
chr3	165000000	169999999	0.157522
chr4	5000000	9999999	0.003871
chr4	10000000	14999999	0.101899
chr4	15000000	19999999	0.10506
chr4	20000000	24999999	0.183899
chr4	30000000	34999999	0.160165
chr4	45000000	49999999	0.035085
chr4	50000000	54999999	0.13747
chr4	55000000	59999999	0.074321
chr4	60000000	64999999	0.108696
chr4	65000000	69999999	0.14502
chr4	70000000	74999999	0.096959
chr4	95000000	99999999	0.230866
chr4	100000000	104999999	0.164243
chr4	105000000	109999999	0.287146
chr4	110000000	114999999	0.111103
chr4	115000000	119999999	0.167513
chr4	120000000	124999999	0.151372
chr4	125000000	129999999	0.130052
chr4	130000000	134999999	0.196394
chr4	135000000	139999999	0.205271
chr4	155000000	159999999	0.124661
chr4	165000000	169999999	0.077013
chr4	170000000	174999999	0.119523
chr4	175000000	179999999	0.136018
chr4	180000000	184999999	0.075189
chr4	190000000	194999999	0.143221
chr5	0	4999999	0.051608
chr5	20000000	24999999	0.048667
chr5	25000000	29999999	0.157727
chr5	35000000	39999999	0.135251
chr5	40000000	44999999	0.212151
chr5	45000000	49999999	0.108005
chr5	50000000	54999999	0.202523
chr5	55000000	59999999	0.141756
chr5	60000000	64999999	0.198889
chr5	65000000	69999999	0.036018
chr5	80000000	84999999	0.193057
chr5	85000000	89999999	0.376494
chr5	90000000	94999999	0.331613
chr5	95000000	99999999	0.182445
chr5	100000000	104999999	0.258081
chr5	105000000	109999999	0.276651
chr5	110000000	114999999	0.138339
chr5	115000000	119999999	0.185728
chr5	120000000	124999999	0.280432
chr5	125000000	129999999	0.231587
chr5	140000000	144999999	0.219056
chr5	160000000	164999999	0.220651
chr5	165000000	169999999	0.264562
chr6	5000000	9999999	0.039022
chr6	25000000	29999999	0.060995
chr6	30000000	34999999	0.026132
chr6	45000000	49999999	0.152129
chr6	50000000	54999999	0.153833
chr6	55000000	59999999	0.16414
chr6	60000000	64999999	0.119126
chr6	65000000	69999999	0.108043
chr6	70000000	74999999	0.073205
chr6	75000000	79999999	0.190887
chr6	80000000	84999999	0.202893
chr6	85000000	89999999	0.192816
chr6	90000000	94999999	0.312103
chr6	95000000	99999999	0.334671
chr6	100000000	104999999	0.282048
chr6	115000000	119999999	0.239301
chr6	120000000	124999999	0.200419
chr6	125000000	129999999	0.245078
chr6	140000000	144999999	0.183516
chr6	145000000	149999999	0.147346
chr6	170000000	174999999	0.056223
chr7	10000000	14999999	0.22298
chr7	15000000	19999999	0.204196
chr7	25000000	29999999	0.217879
chr7	30000000	34999999	0.184464
chr7	40000000	44999999	0.052866
chr7	50000000	54999999	0.048205
chr7	65000000	69999999	0.035049
chr7	80000000	84999999	0.13274
chr7	85000000	89999999	0.209133
chr7	90000000	94999999	0.304275
chr7	105000000	109999999	0.118309
chr7	110000000	114999999	0.334958
chr7	115000000	119999999	0.231211
chr7	120000000	124999999	0.195226
chr7	140000000	144999999	0.069827
chr8	20000000	24999999	0.006915
chr8	50000000	54999999	0.034235
chr8	60000000	64999999	0.217537
chr8	65000000	69999999	0.120969
chr8	70000000	74999999	0.183611
chr8	75000000	79999999	0.281687
chr8	85000000	89999999	0.112075
chr8	90000000	94999999	0.310729
chr8	95000000	99999999	0.029676
chr8	105000000	109999999	0.259072
chr8	110000000	114999999	0.167306
chr8	115000000	119999999	0.276128
chr8	120000000	124999999	0.07873
chr8	130000000	134999999	0.068647
chr8	135000000	139999999	0.074395
chr8	140000000	144999999	0.001728
chr8	145000000	149999999	0.201011
chr9	0	4999999	0.145533
chr9	5000000	9999999	0.094978
chr9	10000000	14999999	0.231767
chr9	15000000	19999999	0.141332
chr9	20000000	24999999	0.311918
chr9	25000000	29999999	0.210772
chr9	30000000	34999999	0.049249
chr9	40000000	44999999	0.148875
chr9	45000000	49999999	0.08773
chr9	65000000	69999999	0.182395
chr9	80000000	84999999	0.341093
chr9	100000000	104999999	0.168489
chr9	115000000	119999999	0.139553
chr9	140000000	144999999	0.037919
chr10	40000000	44999999	0.069198
chr10	45000000	49999999	0.059373
chr10	50000000	54999999	0.094541
chr10	65000000	69999999	0.102449
chr10	75000000	79999999	0.131872
chr10	80000000	84999999	0.067972
chr10	90000000	94999999	0.081228
chr10	105000000	109999999	0.159827
chr10	130000000	134999999	0.011768
chr10	135000000	139999999	0.015948
chr11	0	4999999	0.049448
chr11	5000000	9999999	0.178401
chr11	10000000	14999999	0.203679
chr11	15000000	19999999	0.150254
chr11	20000000	24999999	0.114591
chr11	25000000	29999999	0.20258
chr11	30000000	34999999	0.126903
chr11	35000000	39999999	0.094663
chr11	40000000	44999999	0.105383
chr11	50000000	54999999	0.442162
chr11	55000000	59999999	0.151954
chr11	80000000	84999999	0.233682
chr11	85000000	89999999	0.097854
chr11	90000000	94999999	0.202255
chr11	95000000	99999999	0.161879
chr11	100000000	104999999	0.036104
chr11	110000000	114999999	0.240378
chr11	120000000	124999999	0.119544
chr11	125000000	129999999	0.129117
chr11	130000000	134999999	0.13476
chr12	15000000	19999999	0.20276
chr12	30000000	34999999	0.010777
chr12	35000000	39999999	0.112535
chr12	40000000	44999999	0.195458
chr12	55000000	59999999	0.147028
chr12	70000000	74999999	0.177857
chr12	75000000	79999999	0.129291
chr12	80000000	84999999	0.162775
chr12	85000000	89999999	0.233374
chr12	110000000	114999999	0.010515
chr12	125000000	129999999	0.021818
chr12	130000000	134999999	0.03015
chr13	35000000	39999999	0.153345
chr13	50000000	54999999	0.117015
chr13	55000000	59999999	0.182564
chr13	60000000	64999999	0.187096
chr13	65000000	69999999	0.177656
chr13	70000000	74999999	0.179224
chr13	75000000	79999999	0.230108
chr13	80000000	84999999	0.099215
chr13	85000000	89999999	0.102714
chr13	100000000	104999999	0.121626
chr13	110000000	114999999	0.052188
chr14	15000000	19999999	0.212517
chr14	20000000	24999999	0.097492
chr14	25000000	29999999	0.332257
chr14	35000000	39999999	0.302913
chr14	40000000	44999999	0.137202
chr14	65000000	69999999	0.133464
chr14	80000000	84999999	0.145301
chr14	95000000	99999999	0.031903
chr14	105000000	109999999	0.21811
chr15	15000000	19999999	0.169078
chr15	30000000	34999999	0.195057
