chr_name	start	end	log2FoldChange	padj	MSTRG_transcript_id	MSTRG_gene_id	v4_gene_model	v3_gene_model	function	source
chr3	162503582	162506982	5.00775419404811	1.07452225534386e-05	MSTRG.24662.6	MSTRG.24662	Zm00001d042349	GRMZM2G038512	Whole genome shotgun sequence of line PN40024 scaffold_35.assembly12x (Fragment)	[source:homolog]
chr8	170593430	170595286	5.016997518711519	0.0363609583979954	MSTRG.56174.1	MSTRG.56174	Zm00001d012233	GRMZM2G119397	PHD finger protein 	[source:homolog]
chr2	173379579	173382443	5.03737158221226	0.00589471960489107	Zm00001d005421_T018	MSTRG.18005	Zm00001d005421	GRMZM2G092125	Aquaporin PIP2-2  	 [source: RefGen_v3] 
chr10	83961992	83966015	5.04437740117115	0.000172711778226924	MSTRG.11007.13	MSTRG.11007	Zm00001d024698	GRMZM2G148924	Polycomb group protein FIE2  	 [source: RefGen_v3] 
chr9	129720431	129732203	5.0482054945255195	0.000686524718697627	MSTRG.60082.5	MSTRG.60082	Zm00001d047428	GRMZM2G117796	CDPK-related kinase 1	[source:homolog]
chr6	95592329	95594036	5.04994084267001	0.0019327715469993302	Zm00001d036628_T001	MSTRG.43335	Zm00001d036628	GRMZM2G054998	Single-stranded nucleic acid binding R3H protein	[source:homolog]
chr2	165152618	165157841	5.05698897272745	0.023567437838862004	Zm00001d005238_T002	MSTRG.17795	Zm00001d005238	GRMZM2G151549	Eukaryotic translation initiation factor 3 subunit E  	 [source: RefGen_v3] 
chr2	2322335	2329732	5.06293044931016	2.40427114824805e-05	Zm00001d001882_T006	MSTRG.13697	Zm00001d001882	GRMZM2G077744	Signal recognition particle 19 kDa protein	[source:homolog]
chr4	43845337	43848071	5.0805475618189	0.0153939959639929	MSTRG.28973.2	MSTRG.28973	Zm00001d049766	GRMZM2G075496	Oxysterol-binding protein-related protein 4B	[source:homolog]
chr4	36134691	36139076	5.080733112752809	0.0208553360514244	Zm00001d049583_T007	MSTRG.28717	Zm00001d049583	GRMZM2G091811	Chaperone protein dnaJ A6 chloroplastic	[source:homolog]
chr2	177986538	178020074	5.08129259970549	0.0451349156071866	Zm00001d005538_T009	MSTRG.18145	Zm00001d005538	GRMZM2G167886	Transducin family protein / WD-40 repeat family protein	[source:homolog]
chr3	156802050	156804169	5.08258281227534	0.0357985967995667	MSTRG.24481.8	MSTRG.24481	Zm00001d042225	GRMZM5G822137	Heavy metal transport/detoxification superfamily protein	[source:homolog]
chr8	10652129	10655029	5.08486551254363	3.5749483907315897e-05	MSTRG.50982.6	MSTRG.50982	Zm00001d008502	GRMZM2G003861	SLL2  	 [source: RefGen_v3] 
chr5	18632503	18633478	5.086269569526309	0.00140903497198884	MSTRG.34648.8	MSTRG.34648	Zm00001d013725	GRMZM2G060940	 ga20ox4;gibberellin 20-oxidase4:	 [source: characterized gene (MaizeGDB_09082017)]
chr3	150544723	150546923	5.1100928329852096	0.000615966461902039	Zm00001d042092_T002	MSTRG.24358	Zm00001d042091	GRMZM5G881296	Flowering time control protein FY	[source:homolog]
chr4	197047248	197051033	5.11277782961558	0.000632547136962576	MSTRG.32602.4	MSTRG.32602	Zm00001d052678	GRMZM2G046574	Succinate dehydrogenase assembly factor 2 mitochondrial	[source:homolog]
chr8	70200588	70205748	5.11490951776589	0.0290848659276473	Zm00001d009562_T085	MSTRG.52404	Zm00001d009552	GRMZM2G015287	Ubiquitin-conjugating enzyme E2 36	[source:homolog]
chr1	285422671	285425538	5.11592575792387	0.0097395464444119	Zm00001d034161_T015	MSTRG.8210	Zm00001d034161	GRMZM2G138861	 snrkII8;SnRK2 serine threonine protein kinase8: salt tolerance expressed in Arabidopsis host (Vilela 2013)	 [source: characterized gene (MaizeGDB_09082017)]
chr1	274055520	274062043	5.13325817223621	0.00603133824941686	Zm00001d033798_T030	MSTRG.7769	Zm00001d033798	GRMZM2G015073	Protein kinase superfamily protein	[source:homolog]
chr10	75993903	76000959	5.13756562905282	0.030288063272374002	Zm00001d024523_T021	MSTRG.10792	Zm00001d024523	GRMZM2G042992	Ramosa 1 enhancer locus 2%3B Ramosa1 enhancer locus2  	 [source: RefGen_v3] 
chr10	82482086	82482747	5.13770699819035	0.018468751813301997	Zm00001d024659_T001	MSTRG.10889	Zm00001d024659	GRMZM2G121137		
chr3	219867709	219869656	5.14254786744504	0.0180707463057872	MSTRG.26842.3	MSTRG.26842	Zm00001d044122	GRMZM2G026930	Dihydroflavonol-4-reductase  	 [source: RefGen_v3] 
chr1	163877245	163880577	5.151453510265269	0.0089487735964399	MSTRG.4271.5	MSTRG.4271	Zm00001d030859	GRMZM2G039238	Serine hydroxymethyltransferase  	 [source: RefGen_v3] 
chr7	142484402	142493288	5.15237150862813	0.00029221481709362795	MSTRG.49501.11	MSTRG.49501	Zm00001d021087	GRMZM2G059225	 dsc3;Discolored-paralog3:	 [source: characterized gene (MaizeGDB_09082017)]
chr5	49397205	49407885	5.15676132485423	0.0022983351589905103	MSTRG.35762.13	MSTRG.35762	Zm00001d014472	GRMZM2G336065	Zinc finger CCCH domain-containing protein 40	[source:homolog]
chr2	30712643	30715250	5.161001010593231	1.4975379003112399e-05	Zm00001d003059_T004	MSTRG.14724	Zm00001d003058	GRMZM2G147256	Probable low-specificity L-threonine aldolase 1	[source:homolog]
chr1	196766822	197054001	5.16599526418655	0.0037641049392520397	MSTRG.5315.1	MSTRG.5315	Zm00001d031635	GRMZM2G136534	Peroxidase 55	[source:homolog]
chr2	2802125	2872732	5.16968040945619	2.85008759213464e-06	MSTRG.13735.3	MSTRG.13735	Zm00001d001914	GRMZM2G043862	Actin-related protein 8	[source:homolog]
chr1	193767746	193780464	5.16995869214944	3.57260944948247e-06	Zm00001d031543_T001	MSTRG.5201	Zm00001d031543	GRMZM2G132712	Calcium-transporting ATPase 9 plasma membrane-type	[source:homolog]
chr10	95809988	95811035	5.18765406282916	0.000189107506985395	MSTRG.11280.21	MSTRG.11280	Zm00001d024937	GRMZM2G103841	OSJNBa0089E12.13 protein;  protein	[source:homolog]
chr2	41027436	41030617	5.203524353281759	0.0108731380011024	MSTRG.15155.9	MSTRG.15155	Zm00001d003349	GRMZM2G107199	cytochrome P450 family 724 subfamily A polypeptide 1	[source:homolog]
chr4	7985199	7985836	5.21151536582064	0.0433922215261043	MSTRG.27870.1	MSTRG.27870	Zm00001d048920	GRMZM2G132162		
chr3	139335175	139335830	5.21225423406524	0.00675880272647812	Zm00001d041822_T001	MSTRG.24072	Zm00001d041822	GRMZM2G087413	 betl9;basal endosperm transfer layer9: endosperm transfer cell specific protein regulated by mrp1 myb related protein1; RFLP gpm92	 [source: characterized gene (MaizeGDB_09082017)]
chr2	211260227	211265293	5.21485114078708	9.14766755011319e-14	Zm00001d006573_T050	MSTRG.19376	Zm00001d006573	GRMZM5G821988	Eukaryotic translation initiation factor 4G	[source:homolog]
chr8	140853509	140859879	5.217678465173309	0.00487518655595043	Zm00001d011152_T111	MSTRG.54902	Zm00001d011152	GRMZM5G876518	40S ribosomal protein S4-3	[source:homolog]
